Timestamp,Memory Usage (kB)
2025-03-02 03:34:04.941,32364
2025-03-02 03:34:05.152,50776
2025-03-02 03:34:05.354,67688
2025-03-02 03:34:05.557,92444
2025-03-02 03:34:05.762,122904
2025-03-02 03:34:05.964,898080
2025-03-02 03:34:06.171,1729064
2025-03-02 03:34:06.376,2297048
2025-03-02 03:34:06.583,3262332
2025-03-02 03:34:06.790,3262496
2025-03-02 03:34:06.997,4070856
2025-03-02 03:34:07.204,4837100
2025-03-02 03:34:07.410,5455684
2025-03-02 03:34:07.617,5993984
2025-03-02 03:34:07.821,3580924
2025-03-02 03:34:08.027,881600
