Timestamp,Memory Usage (kB)
2025-03-02 03:48:06.135,31864
2025-03-02 03:48:06.339,49364
2025-03-02 03:48:06.542,70492
2025-03-02 03:48:06.749,92176
2025-03-02 03:48:06.954,117008
2025-03-02 03:48:07.161,446488
2025-03-02 03:48:07.364,1414928
2025-03-02 03:48:07.566,1738868
2025-03-02 03:48:07.773,2965612
2025-03-02 03:48:07.976,3272840
2025-03-02 03:48:08.179,3591876
2025-03-02 03:48:08.382,4094996
2025-03-02 03:48:08.583,4604772
2025-03-02 03:48:08.787,5230720
2025-03-02 03:48:08.994,5738540
2025-03-02 03:48:09.201,5974884
2025-03-02 03:48:09.403,3706504
2025-03-02 03:48:09.608,558012
