Timestamp,Memory Usage (kB)
2025-03-02 03:45:26.089,27108
2025-03-02 03:45:26.294,42624
2025-03-02 03:45:26.501,63468
2025-03-02 03:45:26.709,91616
2025-03-02 03:45:26.911,666336
2025-03-02 03:45:27.114,1703736
2025-03-02 03:45:27.321,2027844
2025-03-02 03:45:27.528,2692688
2025-03-02 03:45:27.730,3066088
2025-03-02 03:45:27.935,3239544
2025-03-02 03:45:28.139,3350032
2025-03-02 03:45:28.346,4153036
2025-03-02 03:45:28.549,4430120
2025-03-02 03:45:28.751,4593768
2025-03-02 03:45:28.958,4977596
2025-03-02 03:45:29.162,4470084
2025-03-02 03:45:29.364,105912
2025-03-02 03:45:29.572,25488
