Timestamp,Memory Usage (kB)
2025-03-02 03:49:03.445,31196
2025-03-02 03:49:03.651,49136
2025-03-02 03:49:03.853,73828
2025-03-02 03:49:04.056,102420
2025-03-02 03:49:04.258,303304
2025-03-02 03:49:04.460,1293880
2025-03-02 03:49:04.666,1731484
2025-03-02 03:49:04.867,2678228
2025-03-02 03:49:05.072,3265700
2025-03-02 03:49:05.274,3265728
2025-03-02 03:49:05.476,3877380
2025-03-02 03:49:05.681,4336956
2025-03-02 03:49:05.886,4930948
2025-03-02 03:49:06.088,5544160
2025-03-02 03:49:06.289,5940108
2025-03-02 03:49:06.494,3408464
2025-03-02 03:49:06.696,792960
2025-03-02 03:49:06.899,792408
