Timestamp,Memory Usage (kB)
2025-03-02 03:37:53.084,27344
2025-03-02 03:37:53.289,47352
2025-03-02 03:37:53.495,70140
2025-03-02 03:37:53.697,97740
2025-03-02 03:37:53.904,793556
2025-03-02 03:37:54.106,1703296
2025-03-02 03:37:54.308,2132128
2025-03-02 03:37:54.510,2768072
2025-03-02 03:37:54.714,3237544
2025-03-02 03:37:54.918,3238716
2025-03-02 03:37:55.120,3841284
2025-03-02 03:37:55.324,4352648
2025-03-02 03:37:55.527,4799544
2025-03-02 03:37:55.729,5300584
2025-03-02 03:37:55.935,5629840
2025-03-02 03:37:56.141,2990652
2025-03-02 03:37:56.345,316160
2025-03-02 03:37:56.548,237400
2025-03-02 03:37:56.758,236664
