Timestamp,Minor Page Faults,Major Page Faults
2025-03-02 03:46:09.764,625,18
2025-03-02 03:46:09.972,4163,37
2025-03-02 03:46:10.175,8272,158
2025-03-02 03:46:10.378,10805,167
2025-03-02 03:46:10.581,13743,178
2025-03-02 03:46:10.784,18138,236
2025-03-02 03:46:10.988,21453,402
2025-03-02 03:46:11.191,24636,440
2025-03-02 03:46:11.393,24903,440
2025-03-02 03:46:11.596,25199,444
2025-03-02 03:46:11.798,56174,444
2025-03-02 03:46:12.001,66788,444
2025-03-02 03:46:12.204,90394,444
2025-03-02 03:46:12.407,90394,444
2025-03-02 03:46:12.610,111516,444
2025-03-02 03:46:12.812,143783,444
2025-03-02 03:46:13.015,192935,444
2025-03-02 03:46:13.217,242087,444
2025-03-02 03:46:13.419,291239,444
2025-03-02 03:46:13.622,354215,444
2025-03-02 03:46:13.825,405930,444
2025-03-02 03:46:14.028,479924,444
2025-03-02 03:46:14.231,536000,444
2025-03-02 03:46:14.434,587188,444
2025-03-02 03:46:14.637,648826,444
2025-03-02 03:46:14.841,696932,444
2025-03-02 03:46:15.044,755301,444
2025-03-02 03:46:15.247,843118,444
2025-03-02 03:46:15.449,843643,444
