Timestamp,Minor Page Faults,Major Page Faults
2025-03-02 03:56:09.080,611,0
2025-03-02 03:56:09.286,7002,0
2025-03-02 03:56:09.491,13751,0
2025-03-02 03:56:09.696,23834,0
2025-03-02 03:56:09.898,24620,0
2025-03-02 03:56:10.100,25156,0
2025-03-02 03:56:10.305,25886,0
2025-03-02 03:56:10.509,76352,0
2025-03-02 03:56:10.714,154009,0
2025-03-02 03:56:10.917,154009,0
2025-03-02 03:56:11.123,285357,0
2025-03-02 03:56:11.329,500397,0
2025-03-02 03:56:11.532,643913,0
2025-03-02 03:56:11.737,774503,0
2025-03-02 03:56:11.943,877056,0
2025-03-02 03:56:12.149,920433,0
