Timestamp,Minor Page Faults,Major Page Faults
2025-03-02 03:34:37.817,756,0
2025-03-02 03:34:38.022,4912,0
2025-03-02 03:34:38.231,11013,0
2025-03-02 03:34:38.438,15999,0
2025-03-02 03:34:38.647,23605,0
2025-03-02 03:34:38.853,24366,0
2025-03-02 03:34:39.055,24939,0
2025-03-02 03:34:39.258,25635,0
2025-03-02 03:34:39.460,26550,0
2025-03-02 03:34:39.662,26550,0
2025-03-02 03:34:39.866,94119,0
2025-03-02 03:34:40.069,249041,0
2025-03-02 03:34:40.276,406121,0
2025-03-02 03:34:40.479,536673,0
2025-03-02 03:34:40.685,655753,0
2025-03-02 03:34:40.888,657081,0
