Timestamp,Minor Page Faults,Major Page Faults
2025-03-02 03:37:53.086,755,0
2025-03-02 03:37:53.290,6378,0
2025-03-02 03:37:53.505,13708,0
2025-03-02 03:37:53.707,22956,0
2025-03-02 03:37:53.910,24385,0
2025-03-02 03:37:54.112,24942,0
2025-03-02 03:37:54.315,25605,0
2025-03-02 03:37:54.519,82457,0
2025-03-02 03:37:54.722,195694,0
2025-03-02 03:37:54.925,195694,0
2025-03-02 03:37:55.127,354180,0
2025-03-02 03:37:55.330,523613,0
2025-03-02 03:37:55.533,668499,0
2025-03-02 03:37:55.736,794614,0
2025-03-02 03:37:55.939,906395,0
2025-03-02 03:37:56.141,960492,0
2025-03-02 03:37:56.345,961129,0
