Timestamp,Memory Usage (kB)
2025-03-05 03:17:47.876,31180
2025-03-05 03:17:47.888,32172
2025-03-05 03:17:47.899,36676
2025-03-05 03:17:47.911,35848
2025-03-05 03:17:47.922,35196
2025-03-05 03:17:47.935,35300
2025-03-05 03:17:47.948,37328
2025-03-05 03:17:47.960,37736
2025-03-05 03:17:47.972,41108
2025-03-05 03:17:47.983,40792
2025-03-05 03:17:47.999,39708
2025-03-05 03:17:48.010,39544
2025-03-05 03:17:48.021,40380
2025-03-05 03:17:48.032,40520
2025-03-05 03:17:48.047,43364
2025-03-05 03:17:48.061,43016
2025-03-05 03:17:48.072,43268
2025-03-05 03:17:48.083,48328
2025-03-05 03:17:48.095,47064
2025-03-05 03:17:48.110,49736
2025-03-05 03:17:48.127,50396
2025-03-05 03:17:48.142,50352
2025-03-05 03:17:48.155,49556
2025-03-05 03:17:48.167,51764
2025-03-05 03:17:48.182,51116
2025-03-05 03:17:48.193,50028
2025-03-05 03:17:48.204,50948
2025-03-05 03:17:48.218,53808
2025-03-05 03:17:48.230,52768
2025-03-05 03:17:48.244,52428
2025-03-05 03:17:48.255,52852
2025-03-05 03:17:48.267,53504
2025-03-05 03:17:48.283,55592
2025-03-05 03:17:48.297,56940
2025-03-05 03:17:48.309,56836
2025-03-05 03:17:48.325,59316
2025-03-05 03:17:48.336,62136
2025-03-05 03:17:48.347,68424
2025-03-05 03:17:48.358,68236
2025-03-05 03:17:48.373,69108
2025-03-05 03:17:48.384,69752
2025-03-05 03:17:48.396,71452
2025-03-05 03:17:48.410,70136
2025-03-05 03:17:48.421,72348
2025-03-05 03:17:48.432,73132
2025-03-05 03:17:48.445,71632
2025-03-05 03:17:48.457,71528
2025-03-05 03:17:48.469,74040
2025-03-05 03:17:48.483,74320
2025-03-05 03:17:48.494,74376
2025-03-05 03:17:48.507,75648
2025-03-05 03:17:48.519,76520
2025-03-05 03:17:48.531,77840
2025-03-05 03:17:48.543,81480
2025-03-05 03:17:48.557,82024
2025-03-05 03:17:48.570,84564
2025-03-05 03:17:48.582,84180
2025-03-05 03:17:48.593,86184
2025-03-05 03:17:48.604,88208
2025-03-05 03:17:48.619,90756
2025-03-05 03:17:48.630,96856
2025-03-05 03:17:48.643,96656
2025-03-05 03:17:48.656,96700
2025-03-05 03:17:48.668,97836
2025-03-05 03:17:48.679,98356
2025-03-05 03:17:48.694,101724
2025-03-05 03:17:48.705,102396
2025-03-05 03:17:48.716,105488
2025-03-05 03:17:48.728,106964
2025-03-05 03:17:48.739,107384
2025-03-05 03:17:48.750,110780
2025-03-05 03:17:48.761,111736
2025-03-05 03:17:48.774,111520
2025-03-05 03:17:48.787,111792
2025-03-05 03:17:48.807,117100
2025-03-05 03:17:48.819,115364
2025-03-05 03:17:48.831,153832
2025-03-05 03:17:48.843,199912
2025-03-05 03:17:48.855,241152
2025-03-05 03:17:48.866,274324
2025-03-05 03:17:48.879,317080
2025-03-05 03:17:48.892,359184
