Timestamp,Some (avg10),Some (avg60),Some (avg300),Full (avg10),Full (avg60),Full (avg300),OOM Kills,OOM Failures
2025-03-05 03:42:05.503,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:05.524,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:05.545,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:05.569,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:05.588,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:05.608,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:05.628,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:05.648,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:05.669,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:05.694,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:05.714,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:05.737,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:05.761,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:05.776,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:05.797,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:05.820,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:05.837,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:05.860,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:05.881,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:05.899,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:05.920,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:05.940,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:05.963,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:05.981,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.004,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.025,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.043,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.059,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.079,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.098,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.121,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.140,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.162,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.181,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.199,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.223,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.249,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.268,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.286,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.310,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.328,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.350,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.368,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.391,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.409,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.434,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.455,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.471,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.497,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.518,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.536,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.559,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.579,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.596,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.620,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.639,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.659,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.679,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.698,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.716,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.735,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.756,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.776,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.794,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.813,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.831,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.850,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.868,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.887,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.905,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.924,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.942,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.962,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.980,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:06.998,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:07.017,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:07.034,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:07.052,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:07.070,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:07.089,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:07.108,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:07.126,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-03-05 03:42:07.146,0.00,0.00,0.00,0.00,0.00,0.00,0,0
