Timestamp,Memory Usage (kB)
2025-03-05 03:43:54.979,25064
2025-03-05 03:43:55.000,26388
2025-03-05 03:43:55.014,32064
2025-03-05 03:43:55.026,36752
2025-03-05 03:43:55.038,35536
2025-03-05 03:43:55.052,35404
2025-03-05 03:43:55.064,37392
2025-03-05 03:43:55.077,37448
2025-03-05 03:43:55.090,38368
2025-03-05 03:43:55.109,37376
2025-03-05 03:43:55.121,39688
2025-03-05 03:43:55.132,43244
2025-03-05 03:43:55.144,41752
2025-03-05 03:43:55.157,37824
2025-03-05 03:43:55.169,41608
2025-03-05 03:43:55.180,40196
2025-03-05 03:43:55.194,45200
2025-03-05 03:43:55.210,47420
2025-03-05 03:43:55.223,44456
2025-03-05 03:43:55.235,44560
2025-03-05 03:43:55.246,47460
2025-03-05 03:43:55.257,45012
2025-03-05 03:43:55.269,44724
2025-03-05 03:43:55.283,46928
2025-03-05 03:43:55.296,48428
2025-03-05 03:43:55.307,55692
2025-03-05 03:43:55.320,49756
2025-03-05 03:43:55.332,51996
2025-03-05 03:43:55.345,50852
2025-03-05 03:43:55.357,54196
2025-03-05 03:43:55.372,51528
2025-03-05 03:43:55.388,52532
2025-03-05 03:43:55.399,53932
2025-03-05 03:43:55.410,54812
2025-03-05 03:43:55.422,53560
2025-03-05 03:43:55.436,52404
2025-03-05 03:43:55.449,53136
2025-03-05 03:43:55.461,53004
2025-03-05 03:43:55.479,55492
2025-03-05 03:43:55.490,53808
2025-03-05 03:43:55.501,56052
2025-03-05 03:43:55.515,56220
2025-03-05 03:43:55.527,55396
2025-03-05 03:43:55.539,54108
2025-03-05 03:43:55.554,56928
2025-03-05 03:43:55.566,60612
2025-03-05 03:43:55.578,60620
2025-03-05 03:43:55.592,60036
2025-03-05 03:43:55.604,60568
2025-03-05 03:43:55.618,63640
2025-03-05 03:43:55.633,68860
2025-03-05 03:43:55.645,68020
2025-03-05 03:43:55.662,70676
2025-03-05 03:43:55.679,70556
2025-03-05 03:43:55.694,70420
2025-03-05 03:43:55.706,71200
2025-03-05 03:43:55.723,72996
2025-03-05 03:43:55.735,72436
2025-03-05 03:43:55.747,77672
2025-03-05 03:43:55.761,74420
2025-03-05 03:43:55.773,71472
2025-03-05 03:43:55.789,74440
2025-03-05 03:43:55.801,71020
2025-03-05 03:43:55.813,73828
2025-03-05 03:43:55.828,77128
2025-03-05 03:43:55.840,76188
2025-03-05 03:43:55.851,77072
2025-03-05 03:43:55.863,73896
2025-03-05 03:43:55.875,75876
2025-03-05 03:43:55.890,78828
2025-03-05 03:43:55.904,74560
2025-03-05 03:43:55.918,75940
2025-03-05 03:43:55.933,75608
2025-03-05 03:43:55.945,80828
2025-03-05 03:43:55.956,85228
2025-03-05 03:43:55.968,83728
2025-03-05 03:43:55.980,84732
2025-03-05 03:43:55.994,84232
2025-03-05 03:43:56.008,86756
2025-03-05 03:43:56.020,91312
2025-03-05 03:43:56.036,90004
2025-03-05 03:43:56.048,92064
2025-03-05 03:43:56.063,98772
2025-03-05 03:43:56.075,96664
2025-03-05 03:43:56.090,96824
2025-03-05 03:43:56.103,100256
2025-03-05 03:43:56.117,98168
2025-03-05 03:43:56.128,98460
2025-03-05 03:43:56.141,97660
2025-03-05 03:43:56.153,103260
2025-03-05 03:43:56.166,102904
2025-03-05 03:43:56.178,103720
2025-03-05 03:43:56.191,104084
2025-03-05 03:43:56.204,107912
2025-03-05 03:43:56.217,109120
2025-03-05 03:43:56.230,109192
2025-03-05 03:43:56.242,110652
2025-03-05 03:43:56.255,110820
2025-03-05 03:43:56.267,112084
2025-03-05 03:43:56.278,117464
2025-03-05 03:43:56.290,114804
2025-03-05 03:43:56.305,115192
2025-03-05 03:43:56.317,116192
2025-03-05 03:43:56.330,118644
2025-03-05 03:43:56.343,119980
2025-03-05 03:43:56.356,134436
2025-03-05 03:43:56.368,171328
2025-03-05 03:43:56.381,198852
2025-03-05 03:43:56.392,239048
2025-03-05 03:43:56.404,260836
2025-03-05 03:43:56.417,296188
2025-03-05 03:43:56.430,345820
2025-03-05 03:43:56.443,373584
2025-03-05 03:43:56.456,408348
2025-03-05 03:43:56.468,444588
2025-03-05 03:43:56.480,466464
2025-03-05 03:43:56.492,508340
2025-03-05 03:43:56.504,541160
2025-03-05 03:43:56.516,570288
2025-03-05 03:43:56.528,610708
2025-03-05 03:43:56.540,627864
2025-03-05 03:43:56.552,671960
2025-03-05 03:43:56.565,699116
2025-03-05 03:43:56.578,733820
2025-03-05 03:43:56.590,777072
2025-03-05 03:43:56.602,799944
2025-03-05 03:43:56.615,842776
2025-03-05 03:43:56.627,877952
2025-03-05 03:43:56.640,903692
2025-03-05 03:43:56.651,944196
2025-03-05 03:43:56.663,965248
2025-03-05 03:43:56.676,1000412
2025-03-05 03:43:56.689,1041360
2025-03-05 03:43:56.701,1067152
2025-03-05 03:43:56.715,1117176
2025-03-05 03:43:56.727,1156256
2025-03-05 03:43:56.740,1183584
2025-03-05 03:43:56.752,1213260
2025-03-05 03:43:56.765,1237552
2025-03-05 03:43:56.777,1270184
2025-03-05 03:43:56.789,1309868
2025-03-05 03:43:56.801,1342720
2025-03-05 03:43:56.814,1382764
2025-03-05 03:43:56.825,1417468
2025-03-05 03:43:56.836,1439568
2025-03-05 03:43:56.849,1488424
2025-03-05 03:43:56.862,1527928
2025-03-05 03:43:56.874,1555056
2025-03-05 03:43:56.886,1600968
2025-03-05 03:43:56.898,1621968
2025-03-05 03:43:56.910,1661472
2025-03-05 03:43:56.922,1699408
2025-03-05 03:43:56.935,1715536
2025-03-05 03:43:56.947,1718192
2025-03-05 03:43:56.962,1715160
2025-03-05 03:43:56.974,1718092
2025-03-05 03:43:56.986,1716880
2025-03-05 03:43:56.997,1716156
2025-03-05 03:43:57.008,1714196
2025-03-05 03:43:57.024,1715452
2025-03-05 03:43:57.035,1715848
2025-03-05 03:43:57.046,1718348
2025-03-05 03:43:57.058,1718576
2025-03-05 03:43:57.073,1719480
2025-03-05 03:43:57.085,1716324
2025-03-05 03:43:57.096,1715560
2025-03-05 03:43:57.109,1714992
2025-03-05 03:43:57.123,1716844
2025-03-05 03:43:57.134,1719112
