Timestamp,Memory Usage (kB)
2025-03-02 03:47:25.303,33120
2025-03-02 03:47:25.508,49684
2025-03-02 03:47:25.713,70832
2025-03-02 03:47:25.915,93356
2025-03-02 03:47:26.117,118532
2025-03-02 03:47:26.324,618236
2025-03-02 03:47:26.528,1613456
2025-03-02 03:47:26.730,1754848
2025-03-02 03:47:26.937,3238752
2025-03-02 03:47:27.144,3271964
2025-03-02 03:47:27.346,3591104
2025-03-02 03:47:27.554,4114216
2025-03-02 03:47:27.756,4524048
2025-03-02 03:47:27.960,5031992
2025-03-02 03:47:28.161,5635348
2025-03-02 03:47:28.365,6059708
2025-03-02 03:47:28.569,3727936
2025-03-02 03:47:28.775,850304
