Timestamp,Memory Usage (kB)
2025-03-02 03:58:34.437,26036
2025-03-02 03:58:34.641,43128
2025-03-02 03:58:34.843,69140
2025-03-02 03:58:35.049,89488
2025-03-02 03:58:35.251,511528
2025-03-02 03:58:35.452,1352248
2025-03-02 03:58:35.658,1702284
2025-03-02 03:58:35.859,2508380
2025-03-02 03:58:36.060,2851344
2025-03-02 03:58:36.262,3236560
2025-03-02 03:58:36.463,3236476
2025-03-02 03:58:36.669,4089616
2025-03-02 03:58:36.870,4729052
2025-03-02 03:58:37.072,5192820
2025-03-02 03:58:37.277,5724580
2025-03-02 03:58:37.479,5874180
2025-03-02 03:58:37.680,3278624
2025-03-02 03:58:37.884,438848
2025-03-02 03:58:38.089,438060
