Timestamp,Memory Usage (kB)
2025-03-02 03:50:36.024,32084
2025-03-02 03:50:36.228,48152
2025-03-02 03:50:36.430,71848
2025-03-02 03:50:36.632,98512
2025-03-02 03:50:36.835,183936
2025-03-02 03:50:37.038,1191672
2025-03-02 03:50:37.241,1724756
2025-03-02 03:50:37.446,2610868
2025-03-02 03:50:37.647,3259240
2025-03-02 03:50:37.849,3258988
2025-03-02 03:50:38.052,3954652
2025-03-02 03:50:38.256,4503536
2025-03-02 03:50:38.462,4955920
2025-03-02 03:50:38.663,5540180
2025-03-02 03:50:38.867,5979816
2025-03-02 03:50:39.068,3446296
2025-03-02 03:50:39.273,877144
2025-03-02 03:50:39.475,876548
