Timestamp,Memory Usage (kB)
2025-03-02 03:35:27.014,32840
2025-03-02 03:35:27.221,51604
2025-03-02 03:35:27.422,70604
2025-03-02 03:35:27.628,92688
2025-03-02 03:35:27.831,120024
2025-03-02 03:35:28.034,773508
2025-03-02 03:35:28.240,1726952
2025-03-02 03:35:28.442,2066792
2025-03-02 03:35:28.643,3260720
2025-03-02 03:35:28.846,3261412
2025-03-02 03:35:29.051,3965736
2025-03-02 03:35:29.255,4491052
2025-03-02 03:35:29.457,5102888
2025-03-02 03:35:29.660,5707312
2025-03-02 03:35:29.866,6150500
2025-03-02 03:35:30.070,3968332
2025-03-02 03:35:30.277,876092
