Timestamp,Memory Usage (kB)
2025-03-02 03:37:39.114,26764
2025-03-02 03:37:39.318,43320
2025-03-02 03:37:39.525,63472
2025-03-02 03:37:39.728,89868
2025-03-02 03:37:39.934,599440
2025-03-02 03:37:40.139,1649252
2025-03-02 03:37:40.342,1878688
2025-03-02 03:37:40.547,2731216
2025-03-02 03:37:40.750,3237604
2025-03-02 03:37:40.952,3238108
2025-03-02 03:37:41.155,3832760
2025-03-02 03:37:41.357,4540800
2025-03-02 03:37:41.560,5121052
2025-03-02 03:37:41.767,5499420
2025-03-02 03:37:41.969,5605296
2025-03-02 03:37:42.171,2964628
2025-03-02 03:37:42.378,212744
