Timestamp,Minor Page Faults,Major Page Faults
2025-03-02 03:43:41.659,605,0
2025-03-02 03:43:41.867,4917,0
2025-03-02 03:43:42.087,11320,0
2025-03-02 03:43:42.292,19106,0
2025-03-02 03:43:42.500,24392,0
2025-03-02 03:43:42.703,24627,0
2025-03-02 03:43:42.906,24940,0
2025-03-02 03:43:43.109,25374,0
2025-03-02 03:43:43.312,84280,0
2025-03-02 03:43:43.515,173393,0
2025-03-02 03:43:43.720,198248,0
2025-03-02 03:43:43.927,248830,0
2025-03-02 03:43:44.129,462968,0
2025-03-02 03:43:44.334,633324,0
2025-03-02 03:43:44.539,744273,0
2025-03-02 03:43:44.746,876217,0
2025-03-02 03:43:44.949,964017,0
2025-03-02 03:43:45.151,964704,0
