Timestamp,Minor Page Faults,Major Page Faults
2025-03-02 03:34:09.561,739,0
2025-03-02 03:34:09.766,5060,0
2025-03-02 03:34:09.973,11326,0
2025-03-02 03:34:10.178,19665,0
2025-03-02 03:34:10.382,24582,0
2025-03-02 03:34:10.584,24820,0
2025-03-02 03:34:10.787,25129,0
2025-03-02 03:34:10.990,25858,0
2025-03-02 03:34:11.196,26049,0
2025-03-02 03:34:11.400,59890,0
2025-03-02 03:34:11.602,183005,0
2025-03-02 03:34:11.804,317813,0
2025-03-02 03:34:12.008,463138,0
2025-03-02 03:34:12.211,568493,0
2025-03-02 03:34:12.414,658179,0
