Timestamp,Minor Page Faults,Major Page Faults
2025-03-02 03:50:51.088,990,0
2025-03-02 03:50:51.290,5349,0
2025-03-02 03:50:51.494,12107,0
2025-03-02 03:50:51.701,22483,0
2025-03-02 03:50:51.906,24350,0
2025-03-02 03:50:52.112,24878,0
2025-03-02 03:50:52.313,25507,0
2025-03-02 03:50:52.516,26489,0
2025-03-02 03:50:52.720,26489,0
2025-03-02 03:50:52.924,61286,0
2025-03-02 03:50:53.129,192358,0
2025-03-02 03:50:53.334,373860,0
2025-03-02 03:50:53.538,493930,0
2025-03-02 03:50:53.742,614512,0
2025-03-02 03:50:53.946,706918,0
