Timestamp,Minor Page Faults,Major Page Faults
2025-03-02 03:59:27.461,544,0
2025-03-02 03:59:27.663,5077,0
2025-03-02 03:59:27.865,12279,0
2025-03-02 03:59:28.067,22904,0
2025-03-02 03:59:28.271,24445,0
2025-03-02 03:59:28.477,24883,0
2025-03-02 03:59:28.679,25130,0
2025-03-02 03:59:28.881,93888,0
2025-03-02 03:59:29.088,221696,0
2025-03-02 03:59:29.294,221696,0
2025-03-02 03:59:29.496,388925,0
2025-03-02 03:59:29.701,574547,0
2025-03-02 03:59:29.908,713013,0
2025-03-02 03:59:30.112,842753,0
2025-03-02 03:59:30.316,952848,0
2025-03-02 03:59:30.521,987707,0
