Timestamp,Minor Page Faults,Major Page Faults
2025-03-02 03:46:38.789,756,0
2025-03-02 03:46:38.996,4928,0
2025-03-02 03:46:39.204,11029,0
2025-03-02 03:46:39.409,15361,0
2025-03-02 03:46:39.616,23605,0
2025-03-02 03:46:39.820,24387,0
2025-03-02 03:46:40.025,24942,0
2025-03-02 03:46:40.230,25625,0
2025-03-02 03:46:40.434,26554,0
2025-03-02 03:46:40.637,26554,0
2025-03-02 03:46:40.840,94055,0
2025-03-02 03:46:41.044,184628,0
2025-03-02 03:46:41.246,301144,0
2025-03-02 03:46:41.450,448857,0
2025-03-02 03:46:41.653,586734,0
2025-03-02 03:46:41.857,682420,0
2025-03-02 03:46:42.060,733723,0
