Timestamp,Memory Usage (kB)
2025-03-05 03:19:00.543,27368
2025-03-05 03:19:00.558,28240
2025-03-05 03:19:00.573,34600
2025-03-05 03:19:00.584,35640
2025-03-05 03:19:00.595,35608
2025-03-05 03:19:00.606,35140
2025-03-05 03:19:00.617,36124
2025-03-05 03:19:00.630,38632
2025-03-05 03:19:00.641,39048
2025-03-05 03:19:00.655,39720
2025-03-05 03:19:00.673,38892
2025-03-05 03:19:00.685,39060
2025-03-05 03:19:00.699,39464
2025-03-05 03:19:00.712,38816
2025-03-05 03:19:00.725,39444
2025-03-05 03:19:00.736,40516
2025-03-05 03:19:00.752,41936
2025-03-05 03:19:00.764,43888
2025-03-05 03:19:00.776,43096
2025-03-05 03:19:00.788,42900
2025-03-05 03:19:00.802,50440
2025-03-05 03:19:00.816,46488
2025-03-05 03:19:00.828,49696
2025-03-05 03:19:00.839,49120
2025-03-05 03:19:00.852,47776
2025-03-05 03:19:00.866,48256
2025-03-05 03:19:00.878,49936
2025-03-05 03:19:00.891,50388
2025-03-05 03:19:00.905,50804
2025-03-05 03:19:00.919,50744
2025-03-05 03:19:00.931,53580
2025-03-05 03:19:00.947,52408
2025-03-05 03:19:00.958,52384
2025-03-05 03:19:00.969,52960
2025-03-05 03:19:00.982,54260
2025-03-05 03:19:00.994,55092
2025-03-05 03:19:01.008,54160
2025-03-05 03:19:01.019,55568
2025-03-05 03:19:01.032,57148
2025-03-05 03:19:01.044,60728
2025-03-05 03:19:01.055,61744
2025-03-05 03:19:01.066,65720
2025-03-05 03:19:01.078,66252
2025-03-05 03:19:01.090,66752
2025-03-05 03:19:01.104,69320
2025-03-05 03:19:01.119,68736
2025-03-05 03:19:01.130,70748
2025-03-05 03:19:01.141,70540
2025-03-05 03:19:01.152,71228
2025-03-05 03:19:01.163,73068
2025-03-05 03:19:01.179,68288
2025-03-05 03:19:01.191,69416
2025-03-05 03:19:01.206,73056
2025-03-05 03:19:01.217,72720
2025-03-05 03:19:01.231,72596
2025-03-05 03:19:01.243,74444
2025-03-05 03:19:01.255,76668
2025-03-05 03:19:01.266,79996
2025-03-05 03:19:01.277,77516
2025-03-05 03:19:01.289,79180
2025-03-05 03:19:01.304,81184
2025-03-05 03:19:01.318,85260
2025-03-05 03:19:01.333,85112
2025-03-05 03:19:01.344,86024
2025-03-05 03:19:01.359,85876
2025-03-05 03:19:01.371,93728
2025-03-05 03:19:01.386,94248
2025-03-05 03:19:01.400,94260
2025-03-05 03:19:01.412,93748
2025-03-05 03:19:01.423,96776
2025-03-05 03:19:01.434,97504
2025-03-05 03:19:01.448,99420
2025-03-05 03:19:01.462,102208
2025-03-05 03:19:01.474,106880
2025-03-05 03:19:01.485,106924
2025-03-05 03:19:01.497,108100
2025-03-05 03:19:01.509,111708
2025-03-05 03:19:01.524,113324
2025-03-05 03:19:01.536,113372
2025-03-05 03:19:01.548,113536
2025-03-05 03:19:01.559,115228
2025-03-05 03:19:01.570,116524
2025-03-05 03:19:01.581,130608
2025-03-05 03:19:01.593,175744
2025-03-05 03:19:01.605,222064
2025-03-05 03:19:01.617,267308
2025-03-05 03:19:01.629,310760
2025-03-05 03:19:01.641,354136
2025-03-05 03:19:01.652,395704
2025-03-05 03:19:01.663,436424
2025-03-05 03:19:01.675,483052
2025-03-05 03:19:01.687,526176
2025-03-05 03:19:01.700,564364
2025-03-05 03:19:01.712,605340
2025-03-05 03:19:01.724,646292
2025-03-05 03:19:01.736,689608
2025-03-05 03:19:01.749,714280
2025-03-05 03:19:01.761,767700
2025-03-05 03:19:01.773,822092
2025-03-05 03:19:01.785,868584
2025-03-05 03:19:01.796,905728
2025-03-05 03:19:01.807,947104
2025-03-05 03:19:01.821,990912
2025-03-05 03:19:01.834,1035936
2025-03-05 03:19:01.846,1077444
2025-03-05 03:19:01.858,1110008
2025-03-05 03:19:01.871,1132708
2025-03-05 03:19:01.884,1175364
2025-03-05 03:19:01.896,1216732
2025-03-05 03:19:01.908,1266140
2025-03-05 03:19:01.920,1311628
2025-03-05 03:19:01.932,1350620
2025-03-05 03:19:01.944,1396140
2025-03-05 03:19:01.956,1437960
2025-03-05 03:19:01.967,1479352
2025-03-05 03:19:01.978,1521960
2025-03-05 03:19:01.990,1568952
2025-03-05 03:19:02.002,1617836
2025-03-05 03:19:02.014,1661824
2025-03-05 03:19:02.026,1707540
2025-03-05 03:19:02.041,1713772
2025-03-05 03:19:02.054,1714012
2025-03-05 03:19:02.065,1716584
2025-03-05 03:19:02.078,1710636
2025-03-05 03:19:02.091,1713544
2025-03-05 03:19:02.104,1713140
2025-03-05 03:19:02.120,1712940
2025-03-05 03:19:02.131,1715672
2025-03-05 03:19:02.142,1715780
2025-03-05 03:19:02.155,1715856
2025-03-05 03:19:02.167,1713616
2025-03-05 03:19:02.179,1713772
2025-03-05 03:19:02.190,1715908
2025-03-05 03:19:02.201,1715052
2025-03-05 03:19:02.214,1713704
2025-03-05 03:19:02.227,1713428
2025-03-05 03:19:02.241,1713136
2025-03-05 03:19:02.253,1713104
2025-03-05 03:19:02.270,1718132
2025-03-05 03:19:02.292,1719888
2025-03-05 03:19:02.307,1725536
2025-03-05 03:19:02.323,1730980
2025-03-05 03:19:02.334,1751432
2025-03-05 03:19:02.350,1796384
2025-03-05 03:19:02.367,1845300
2025-03-05 03:19:02.383,1890736
2025-03-05 03:19:02.395,1918876
2025-03-05 03:19:02.411,1963988
2025-03-05 03:19:02.422,1996048
2025-03-05 03:19:02.438,2036756
2025-03-05 03:19:02.455,2090668
2025-03-05 03:19:02.470,2150036
2025-03-05 03:19:02.481,2216820
2025-03-05 03:19:02.492,2267356
2025-03-05 03:19:02.503,2322888
2025-03-05 03:19:02.515,2377988
2025-03-05 03:19:02.527,2437136
2025-03-05 03:19:02.538,2471232
2025-03-05 03:19:02.550,2496764
2025-03-05 03:19:02.563,2502724
2025-03-05 03:19:02.574,2502536
2025-03-05 03:19:02.586,2505104
2025-03-05 03:19:02.598,2505040
2025-03-05 03:19:02.610,2505736
2025-03-05 03:19:02.621,2505532
2025-03-05 03:19:02.632,2512200
2025-03-05 03:19:02.648,2539952
2025-03-05 03:19:02.659,2565748
2025-03-05 03:19:02.671,2592428
2025-03-05 03:19:02.687,2634752
2025-03-05 03:19:02.700,2645228
2025-03-05 03:19:02.712,2644492
2025-03-05 03:19:02.724,2644292
2025-03-05 03:19:02.735,2646864
2025-03-05 03:19:02.748,2646564
2025-03-05 03:19:02.761,2651936
2025-03-05 03:19:02.773,2682312
2025-03-05 03:19:02.786,2710056
2025-03-05 03:19:02.798,2709896
2025-03-05 03:19:02.812,2712724
2025-03-05 03:19:02.824,2751468
2025-03-05 03:19:02.837,2777608
2025-03-05 03:19:02.848,2777680
2025-03-05 03:19:02.860,2776252
2025-03-05 03:19:02.874,2813484
2025-03-05 03:19:02.885,2846372
2025-03-05 03:19:02.898,2873848
2025-03-05 03:19:02.910,2912172
2025-03-05 03:19:02.922,2940468
2025-03-05 03:19:02.934,2974624
2025-03-05 03:19:02.946,3007376
2025-03-05 03:19:02.957,3040904
2025-03-05 03:19:02.968,3065612
2025-03-05 03:19:02.981,3094380
2025-03-05 03:19:02.993,3129772
2025-03-05 03:19:03.007,3171012
2025-03-05 03:19:03.018,3210204
2025-03-05 03:19:03.030,3241240
2025-03-05 03:19:03.042,3271992
2025-03-05 03:19:03.053,3282580
2025-03-05 03:19:03.069,3283648
2025-03-05 03:19:03.080,3283168
2025-03-05 03:19:03.092,3282188
2025-03-05 03:19:03.106,3284252
2025-03-05 03:19:03.117,3284104
2025-03-05 03:19:03.130,3282592
2025-03-05 03:19:03.141,3283524
2025-03-05 03:19:03.153,3282980
2025-03-05 03:19:03.168,3282132
2025-03-05 03:19:03.180,3281944
2025-03-05 03:19:03.192,3284764
2025-03-05 03:19:03.203,3284560
2025-03-05 03:19:03.215,3283012
2025-03-05 03:19:03.230,3283076
2025-03-05 03:19:03.243,3282536
2025-03-05 03:19:03.254,3281908
2025-03-05 03:19:03.266,3282272
2025-03-05 03:19:03.277,3284848
2025-03-05 03:19:03.290,3284804
2025-03-05 03:19:03.304,3283836
2025-03-05 03:19:03.316,3283780
2025-03-05 03:19:03.332,3282620
2025-03-05 03:19:03.345,3282708
2025-03-05 03:19:03.359,3282760
2025-03-05 03:19:03.370,3282604
2025-03-05 03:19:03.383,3280400
2025-03-05 03:19:03.400,3279616
2025-03-05 03:19:03.416,3280496
2025-03-05 03:19:03.428,3282084
2025-03-05 03:19:03.444,3282284
2025-03-05 03:19:03.457,3282636
2025-03-05 03:19:03.471,3282184
2025-03-05 03:19:03.484,3303392
2025-03-05 03:19:03.495,3350096
2025-03-05 03:19:03.506,3396192
2025-03-05 03:19:03.517,3433680
2025-03-05 03:19:03.532,3478484
2025-03-05 03:19:03.543,3537920
2025-03-05 03:19:03.555,3582364
2025-03-05 03:19:03.571,3647392
2025-03-05 03:19:03.583,3691664
2025-03-05 03:19:03.595,3728688
2025-03-05 03:19:03.610,3769316
2025-03-05 03:19:03.623,3805988
2025-03-05 03:19:03.637,3842140
2025-03-05 03:19:03.653,3869692
2025-03-05 03:19:03.665,3898948
2025-03-05 03:19:03.677,3935884
2025-03-05 03:19:03.693,3937748
2025-03-05 03:19:03.704,3952256
2025-03-05 03:19:03.716,3990412
2025-03-05 03:19:03.731,4001844
2025-03-05 03:19:03.744,4035804
2025-03-05 03:19:03.755,4066928
2025-03-05 03:19:03.766,4067312
2025-03-05 03:19:03.779,4105344
2025-03-05 03:19:03.791,4131564
2025-03-05 03:19:03.802,4139148
2025-03-05 03:19:03.813,4176024
2025-03-05 03:19:03.825,4199168
2025-03-05 03:19:03.836,4201040
2025-03-05 03:19:03.847,4241012
2025-03-05 03:19:03.862,4264364
2025-03-05 03:19:03.873,4291480
2025-03-05 03:19:03.884,4326376
2025-03-05 03:19:03.897,4361976
2025-03-05 03:19:03.909,4418376
2025-03-05 03:19:03.922,4464248
2025-03-05 03:19:03.936,4525256
2025-03-05 03:19:03.950,4583180
2025-03-05 03:19:03.962,4610500
2025-03-05 03:19:03.976,4623120
2025-03-05 03:19:03.987,4637692
2025-03-05 03:19:03.999,4655336
2025-03-05 03:19:04.013,4673300
2025-03-05 03:19:04.027,4687480
2025-03-05 03:19:04.039,4699412
2025-03-05 03:19:04.053,4706152
2025-03-05 03:19:04.065,4715892
2025-03-05 03:19:04.076,4729528
2025-03-05 03:19:04.090,4756192
2025-03-05 03:19:04.101,4765956
2025-03-05 03:19:04.112,4787320
2025-03-05 03:19:04.127,4812656
2025-03-05 03:19:04.139,4838324
2025-03-05 03:19:04.152,4861212
2025-03-05 03:19:04.164,4887408
2025-03-05 03:19:04.179,4913672
2025-03-05 03:19:04.191,4936692
2025-03-05 03:19:04.204,4960208
2025-03-05 03:19:04.216,4979280
2025-03-05 03:19:04.227,5004844
2025-03-05 03:19:04.238,5025756
2025-03-05 03:19:04.249,5040908
2025-03-05 03:19:04.261,5066496
2025-03-05 03:19:04.273,5092640
2025-03-05 03:19:04.287,5112364
2025-03-05 03:19:04.300,5142300
2025-03-05 03:19:04.312,5163104
2025-03-05 03:19:04.324,5183380
2025-03-05 03:19:04.341,5209732
2025-03-05 03:19:04.353,5223804
2025-03-05 03:19:04.369,5241856
2025-03-05 03:19:04.382,5270212
2025-03-05 03:19:04.394,5290644
2025-03-05 03:19:04.405,5290860
2025-03-05 03:19:04.417,5306848
2025-03-05 03:19:04.429,5337288
2025-03-05 03:19:04.440,5357416
2025-03-05 03:19:04.455,5389732
2025-03-05 03:19:04.466,5412736
2025-03-05 03:19:04.480,5431776
2025-03-05 03:19:04.491,5453992
2025-03-05 03:19:04.502,5476660
2025-03-05 03:19:04.514,5499716
2025-03-05 03:19:04.527,5529248
2025-03-05 03:19:04.538,5553328
2025-03-05 03:19:04.551,5567076
2025-03-05 03:19:04.563,5599136
2025-03-05 03:19:04.577,5623800
2025-03-05 03:19:04.590,5644976
2025-03-05 03:19:04.604,5662084
2025-03-05 03:19:04.620,5687768
2025-03-05 03:19:04.632,5710284
2025-03-05 03:19:04.644,5734344
2025-03-05 03:19:04.658,5754504
2025-03-05 03:19:04.670,5775480
2025-03-05 03:19:04.682,5721272
2025-03-05 03:19:04.694,5724292
2025-03-05 03:19:04.709,5724904
2025-03-05 03:19:04.720,5725000
2025-03-05 03:19:04.733,5729972
2025-03-05 03:19:04.747,5734896
2025-03-05 03:19:04.760,5741908
2025-03-05 03:19:04.772,5742212
2025-03-05 03:19:04.783,5749864
2025-03-05 03:19:04.798,5756720
2025-03-05 03:19:04.812,5760364
2025-03-05 03:19:04.824,5763644
2025-03-05 03:19:04.839,5771148
2025-03-05 03:19:04.850,5774924
2025-03-05 03:19:04.866,5777264
2025-03-05 03:19:04.877,5781692
2025-03-05 03:19:04.888,5786460
2025-03-05 03:19:04.903,5790248
2025-03-05 03:19:04.915,5794528
2025-03-05 03:19:04.929,5799328
2025-03-05 03:19:04.944,5805536
2025-03-05 03:19:04.955,5809860
2025-03-05 03:19:04.970,5513748
2025-03-05 03:19:04.985,4918368
2025-03-05 03:19:04.999,4420792
2025-03-05 03:19:05.012,3232716
2025-03-05 03:19:05.024,2753656
2025-03-05 03:19:05.039,2793140
2025-03-05 03:19:05.050,2851612
2025-03-05 03:19:05.062,2896460
2025-03-05 03:19:05.077,2957908
2025-03-05 03:19:05.088,2999036
2025-03-05 03:19:05.099,3045796
2025-03-05 03:19:05.111,3104000
2025-03-05 03:19:05.125,3159408
2025-03-05 03:19:05.140,3229284
2025-03-05 03:19:05.152,3283992
2025-03-05 03:19:05.166,3347544
2025-03-05 03:19:05.177,3394116
2025-03-05 03:19:05.189,3450160
2025-03-05 03:19:05.202,3503692
2025-03-05 03:19:05.217,3372216
2025-03-05 03:19:05.228,2952128
2025-03-05 03:19:05.239,2586200
2025-03-05 03:19:05.251,2191776
2025-03-05 03:19:05.262,1214560
2025-03-05 03:19:05.273,1206844
2025-03-05 03:19:05.285,1194872
2025-03-05 03:19:05.299,1193284
2025-03-05 03:19:05.313,1193412
2025-03-05 03:19:05.328,426676
2025-03-05 03:19:05.342,425384
2025-03-05 03:19:05.355,426036
2025-03-05 03:19:05.367,425780
2025-03-05 03:19:05.378,428236
2025-03-05 03:19:05.392,335764
2025-03-05 03:19:05.405,324964
