Timestamp,Memory Usage (kB)
2025-03-05 03:19:47.838,31140
2025-03-05 03:19:47.854,27760
2025-03-05 03:19:47.865,34556
2025-03-05 03:19:47.876,33740
2025-03-05 03:19:47.888,33456
2025-03-05 03:19:47.900,36184
2025-03-05 03:19:47.914,34680
2025-03-05 03:19:47.926,37764
2025-03-05 03:19:47.937,36324
2025-03-05 03:19:47.951,41676
2025-03-05 03:19:47.962,40372
2025-03-05 03:19:47.976,39712
2025-03-05 03:19:47.991,40320
2025-03-05 03:19:48.003,40320
2025-03-05 03:19:48.014,41728
2025-03-05 03:19:48.025,41520
2025-03-05 03:19:48.036,44816
2025-03-05 03:19:48.049,45288
2025-03-05 03:19:48.064,43980
2025-03-05 03:19:48.075,50508
2025-03-05 03:19:48.086,48392
2025-03-05 03:19:48.098,50004
2025-03-05 03:19:48.114,49900
2025-03-05 03:19:48.131,49848
2025-03-05 03:19:48.150,49376
2025-03-05 03:19:48.182,48920
2025-03-05 03:19:48.194,51008
2025-03-05 03:19:48.205,49760
2025-03-05 03:19:48.217,50408
2025-03-05 03:19:48.232,50016
2025-03-05 03:19:48.243,50672
2025-03-05 03:19:48.256,53512
2025-03-05 03:19:48.271,52352
2025-03-05 03:19:48.292,50836
2025-03-05 03:19:48.308,51536
2025-03-05 03:19:48.319,53780
2025-03-05 03:19:48.331,53360
2025-03-05 03:19:48.346,52708
2025-03-05 03:19:48.360,54432
2025-03-05 03:19:48.371,56664
2025-03-05 03:19:48.384,57324
2025-03-05 03:19:48.399,58740
2025-03-05 03:19:48.413,64408
2025-03-05 03:19:48.424,66824
2025-03-05 03:19:48.438,67332
2025-03-05 03:19:48.449,68380
2025-03-05 03:19:48.462,72836
2025-03-05 03:19:48.476,70508
2025-03-05 03:19:48.487,72524
2025-03-05 03:19:48.499,72244
2025-03-05 03:19:48.515,71512
2025-03-05 03:19:48.526,70804
2025-03-05 03:19:48.541,72164
2025-03-05 03:19:48.555,73328
2025-03-05 03:19:48.566,73472
2025-03-05 03:19:48.579,75700
2025-03-05 03:19:48.593,77940
2025-03-05 03:19:48.604,78516
2025-03-05 03:19:48.615,80888
2025-03-05 03:19:48.631,80084
2025-03-05 03:19:48.642,84348
2025-03-05 03:19:48.653,85768
2025-03-05 03:19:48.664,87132
2025-03-05 03:19:48.677,87744
2025-03-05 03:19:48.689,94184
2025-03-05 03:19:48.702,92792
2025-03-05 03:19:48.715,94480
2025-03-05 03:19:48.727,95004
2025-03-05 03:19:48.742,97080
2025-03-05 03:19:48.755,98752
2025-03-05 03:19:48.766,100584
2025-03-05 03:19:48.779,103248
2025-03-05 03:19:48.794,106524
2025-03-05 03:19:48.806,107468
2025-03-05 03:19:48.818,107912
2025-03-05 03:19:48.831,108456
2025-03-05 03:19:48.847,112940
2025-03-05 03:19:48.858,112492
2025-03-05 03:19:48.869,112900
2025-03-05 03:19:48.880,114948
2025-03-05 03:19:48.892,117884
2025-03-05 03:19:48.904,119548
2025-03-05 03:19:48.915,159784
2025-03-05 03:19:48.928,207156
2025-03-05 03:19:48.940,240908
2025-03-05 03:19:48.952,287880
2025-03-05 03:19:48.963,330016
2025-03-05 03:19:48.976,373632
2025-03-05 03:19:48.987,419832
2025-03-05 03:19:48.998,460456
2025-03-05 03:19:49.010,507252
2025-03-05 03:19:49.021,550844
2025-03-05 03:19:49.033,600788
2025-03-05 03:19:49.045,646752
2025-03-05 03:19:49.057,690320
2025-03-05 03:19:49.069,736240
2025-03-05 03:19:49.082,780820
2025-03-05 03:19:49.093,823128
2025-03-05 03:19:49.105,871020
2025-03-05 03:19:49.118,921708
2025-03-05 03:19:49.129,969168
2025-03-05 03:19:49.141,1015392
2025-03-05 03:19:49.153,1061864
2025-03-05 03:19:49.165,1104384
2025-03-05 03:19:49.177,1151176
2025-03-05 03:19:49.189,1194532
2025-03-05 03:19:49.200,1236964
2025-03-05 03:19:49.213,1281840
2025-03-05 03:19:49.225,1335316
2025-03-05 03:19:49.238,1382824
2025-03-05 03:19:49.249,1429504
2025-03-05 03:19:49.260,1472064
2025-03-05 03:19:49.271,1514732
2025-03-05 03:19:49.284,1557992
2025-03-05 03:19:49.295,1605648
2025-03-05 03:19:49.308,1652656
2025-03-05 03:19:49.320,1703164
2025-03-05 03:19:49.335,1713088
2025-03-05 03:19:49.346,1712948
2025-03-05 03:19:49.357,1713628
2025-03-05 03:19:49.368,1714528
2025-03-05 03:19:49.379,1715804
2025-03-05 03:19:49.392,1715368
2025-03-05 03:19:49.404,1712684
2025-03-05 03:19:49.417,1713388
2025-03-05 03:19:49.431,1713224
2025-03-05 03:19:49.447,1713564
2025-03-05 03:19:49.462,1713076
2025-03-05 03:19:49.474,1713584
2025-03-05 03:19:49.488,1712888
2025-03-05 03:19:49.499,1714576
2025-03-05 03:19:49.511,1713544
2025-03-05 03:19:49.522,1714044
2025-03-05 03:19:49.533,1713088
