Timestamp,Minor Page Faults,Major Page Faults
2025-03-05 03:18:05.570,430,0
2025-03-05 03:18:05.583,1147,0
2025-03-05 03:18:05.597,2406,0
2025-03-05 03:18:05.613,2539,0
2025-03-05 03:18:05.627,2595,0
2025-03-05 03:18:05.638,2595,0
2025-03-05 03:18:05.653,3139,0
2025-03-05 03:18:05.666,3201,0
2025-03-05 03:18:05.681,3942,0
2025-03-05 03:18:05.696,3946,0
2025-03-05 03:18:05.712,3951,0
2025-03-05 03:18:05.724,4045,0
2025-03-05 03:18:05.736,4062,0
2025-03-05 03:18:05.752,4248,0
2025-03-05 03:18:05.767,4408,0
2025-03-05 03:18:05.779,4581,0
2025-03-05 03:18:05.790,4600,0
2025-03-05 03:18:05.805,4783,0
2025-03-05 03:18:05.817,6328,0
2025-03-05 03:18:05.828,7362,0
2025-03-05 03:18:05.844,8170,0
2025-03-05 03:18:05.858,8195,0
2025-03-05 03:18:05.873,8206,0
2025-03-05 03:18:05.888,8208,0
2025-03-05 03:18:05.903,8295,0
2025-03-05 03:18:05.915,8355,0
2025-03-05 03:18:05.929,8365,0
2025-03-05 03:18:05.940,8539,0
2025-03-05 03:18:05.952,8593,0
2025-03-05 03:18:05.966,8783,0
2025-03-05 03:18:05.978,8827,0
2025-03-05 03:18:05.990,9150,0
2025-03-05 03:18:06.002,9175,0
2025-03-05 03:18:06.016,9294,0
2025-03-05 03:18:06.028,9853,0
2025-03-05 03:18:06.040,10255,0
2025-03-05 03:18:06.055,10580,0
2025-03-05 03:18:06.067,11183,0
2025-03-05 03:18:06.081,13360,0
2025-03-05 03:18:06.093,13435,0
2025-03-05 03:18:06.107,13833,0
2025-03-05 03:18:06.124,14620,0
2025-03-05 03:18:06.135,14634,0
2025-03-05 03:18:06.153,14705,0
2025-03-05 03:18:06.167,14706,0
2025-03-05 03:18:06.180,14712,0
2025-03-05 03:18:06.198,14738,0
2025-03-05 03:18:06.210,15108,0
2025-03-05 03:18:06.222,15225,0
2025-03-05 03:18:06.237,15932,0
2025-03-05 03:18:06.248,16227,0
2025-03-05 03:18:06.261,16569,0
2025-03-05 03:18:06.275,16817,0
2025-03-05 03:18:06.286,16904,0
2025-03-05 03:18:06.304,17975,0
2025-03-05 03:18:06.316,18586,0
2025-03-05 03:18:06.328,18738,0
2025-03-05 03:18:06.345,19579,0
2025-03-05 03:18:06.356,20960,0
2025-03-05 03:18:06.369,21634,0
2025-03-05 03:18:06.381,21815,0
2025-03-05 03:18:06.395,22207,0
2025-03-05 03:18:06.411,22747,0
2025-03-05 03:18:06.427,23337,0
2025-03-05 03:18:06.439,24203,0
2025-03-05 03:18:06.451,25111,0
2025-03-05 03:18:06.466,25338,0
2025-03-05 03:18:06.478,25573,0
2025-03-05 03:18:06.491,25879,0
2025-03-05 03:18:06.506,26032,0
2025-03-05 03:18:06.518,26273,0
2025-03-05 03:18:06.530,26638,0
2025-03-05 03:18:06.542,26651,0
2025-03-05 03:18:06.558,26896,0
2025-03-05 03:18:06.571,26907,0
2025-03-05 03:18:06.584,26918,0
2025-03-05 03:18:06.597,26930,0
2025-03-05 03:18:06.610,26941,0
2025-03-05 03:18:06.622,26952,0
2025-03-05 03:18:06.634,26963,0
2025-03-05 03:18:06.646,26973,0
2025-03-05 03:18:06.658,26983,0
2025-03-05 03:18:06.670,26995,0
2025-03-05 03:18:06.684,27007,0
2025-03-05 03:18:06.698,27017,0
2025-03-05 03:18:06.711,27028,0
2025-03-05 03:18:06.724,27038,0
2025-03-05 03:18:06.737,27047,0
2025-03-05 03:18:06.749,27056,0
2025-03-05 03:18:06.762,27067,0
2025-03-05 03:18:06.775,27078,0
2025-03-05 03:18:06.788,27089,0
2025-03-05 03:18:06.800,27101,0
2025-03-05 03:18:06.813,27113,0
2025-03-05 03:18:06.826,27125,0
2025-03-05 03:18:06.838,27136,0
2025-03-05 03:18:06.850,27146,0
2025-03-05 03:18:06.862,27157,0
2025-03-05 03:18:06.874,27167,0
2025-03-05 03:18:06.886,27178,0
2025-03-05 03:18:06.898,27188,0
2025-03-05 03:18:06.910,27199,0
2025-03-05 03:18:06.922,27210,0
2025-03-05 03:18:06.935,27223,0
2025-03-05 03:18:06.948,27235,0
2025-03-05 03:18:06.960,27246,0
2025-03-05 03:18:06.972,27256,0
2025-03-05 03:18:06.984,27267,0
2025-03-05 03:18:06.999,27460,0
2025-03-05 03:18:07.012,27460,0
2025-03-05 03:18:07.024,27460,0
2025-03-05 03:18:07.040,27460,0
2025-03-05 03:18:07.051,27460,0
2025-03-05 03:18:07.065,27460,0
2025-03-05 03:18:07.081,27460,0
2025-03-05 03:18:07.093,27460,0
2025-03-05 03:18:07.107,27460,0
2025-03-05 03:18:07.120,27460,0
2025-03-05 03:18:07.134,27460,0
2025-03-05 03:18:07.149,27460,0
2025-03-05 03:18:07.164,27460,0
2025-03-05 03:18:07.178,27460,0
2025-03-05 03:18:07.189,27460,0
2025-03-05 03:18:07.203,27460,0
2025-03-05 03:18:07.215,27637,0
2025-03-05 03:18:07.228,28622,0
2025-03-05 03:18:07.251,28639,0
2025-03-05 03:18:07.268,29687,0
2025-03-05 03:18:07.285,29687,0
2025-03-05 03:18:07.303,29687,0
2025-03-05 03:18:07.318,29687,0
2025-03-05 03:18:07.337,29687,0
2025-03-05 03:18:07.355,29687,0
2025-03-05 03:18:07.371,29687,0
2025-03-05 03:18:07.383,29687,0
2025-03-05 03:18:07.408,29687,0
2025-03-05 03:18:07.423,29687,0
2025-03-05 03:18:07.436,29687,0
2025-03-05 03:18:07.450,29687,0
2025-03-05 03:18:07.463,29687,0
2025-03-05 03:18:07.477,29687,0
2025-03-05 03:18:07.493,29687,0
2025-03-05 03:18:07.507,29687,0
2025-03-05 03:18:07.522,29687,0
2025-03-05 03:18:07.534,29687,0
2025-03-05 03:18:07.547,29687,0
2025-03-05 03:18:07.561,29687,0
2025-03-05 03:18:07.579,29687,0
2025-03-05 03:18:07.591,29687,0
2025-03-05 03:18:07.606,29687,0
2025-03-05 03:18:07.618,29687,0
2025-03-05 03:18:07.630,29687,0
2025-03-05 03:18:07.644,29687,0
2025-03-05 03:18:07.658,29687,0
2025-03-05 03:18:07.670,29687,0
2025-03-05 03:18:07.682,29687,0
2025-03-05 03:18:07.694,29687,0
2025-03-05 03:18:07.711,29687,0
2025-03-05 03:18:07.723,29687,0
2025-03-05 03:18:07.738,29687,0
2025-03-05 03:18:07.754,29687,0
2025-03-05 03:18:07.767,29687,0
2025-03-05 03:18:07.785,29687,0
2025-03-05 03:18:07.798,29687,0
2025-03-05 03:18:07.812,29687,0
2025-03-05 03:18:07.824,29687,0
2025-03-05 03:18:07.841,29687,0
2025-03-05 03:18:07.853,29687,0
2025-03-05 03:18:07.867,29687,0
2025-03-05 03:18:07.879,29687,0
2025-03-05 03:18:07.894,29687,0
2025-03-05 03:18:07.905,29687,0
2025-03-05 03:18:07.918,29687,0
2025-03-05 03:18:07.933,29687,0
2025-03-05 03:18:07.950,29687,0
2025-03-05 03:18:07.961,29687,0
2025-03-05 03:18:07.973,29687,0
2025-03-05 03:18:07.986,29687,0
2025-03-05 03:18:08.002,29687,0
2025-03-05 03:18:08.014,29687,0
2025-03-05 03:18:08.031,29687,0
2025-03-05 03:18:08.047,29687,0
2025-03-05 03:18:08.060,29687,0
2025-03-05 03:18:08.073,29687,0
2025-03-05 03:18:08.084,29687,0
2025-03-05 03:18:08.098,29687,0
2025-03-05 03:18:08.110,29687,0
2025-03-05 03:18:08.122,29687,0
2025-03-05 03:18:08.134,29687,0
2025-03-05 03:18:08.147,29687,0
2025-03-05 03:18:08.158,29687,0
2025-03-05 03:18:08.172,29687,0
2025-03-05 03:18:08.183,29687,0
2025-03-05 03:18:08.194,29687,0
2025-03-05 03:18:08.206,29687,0
2025-03-05 03:18:08.219,29687,0
2025-03-05 03:18:08.233,29687,0
2025-03-05 03:18:08.249,29687,0
2025-03-05 03:18:08.261,29687,0
2025-03-05 03:18:08.273,29687,0
2025-03-05 03:18:08.284,29687,0
2025-03-05 03:18:08.299,29687,0
2025-03-05 03:18:08.313,29687,0
2025-03-05 03:18:08.327,29687,0
2025-03-05 03:18:08.340,29687,0
2025-03-05 03:18:08.354,29687,0
2025-03-05 03:18:08.367,29687,0
2025-03-05 03:18:08.380,29687,0
2025-03-05 03:18:08.393,29687,0
2025-03-05 03:18:08.409,29687,0
2025-03-05 03:18:08.421,29687,0
2025-03-05 03:18:08.435,29687,0
2025-03-05 03:18:08.446,29687,0
2025-03-05 03:18:08.463,29687,0
2025-03-05 03:18:08.475,29687,0
2025-03-05 03:18:08.488,29687,0
2025-03-05 03:18:08.503,29687,0
2025-03-05 03:18:08.517,29687,0
