Timestamp,Minor Page Faults,Major Page Faults
2025-03-05 03:19:10.783,4582,0
2025-03-05 03:19:10.795,4601,0
2025-03-05 03:19:10.808,4716,0
2025-03-05 03:19:10.822,5497,0
2025-03-05 03:19:10.837,7249,0
2025-03-05 03:19:10.851,7996,0
2025-03-05 03:19:10.868,8032,0
2025-03-05 03:19:10.882,8032,0
2025-03-05 03:19:10.894,8034,0
2025-03-05 03:19:10.906,8110,0
2025-03-05 03:19:10.918,8183,0
2025-03-05 03:19:10.934,8195,0
2025-03-05 03:19:10.949,8369,0
2025-03-05 03:19:10.962,8423,0
2025-03-05 03:19:10.976,8613,0
2025-03-05 03:19:10.989,8666,0
2025-03-05 03:19:11.001,8971,0
2025-03-05 03:19:11.016,9010,0
2025-03-05 03:19:11.030,9506,0
2025-03-05 03:19:11.045,10077,0
2025-03-05 03:19:11.059,10389,0
2025-03-05 03:19:11.073,11192,0
2025-03-05 03:19:11.086,13185,0
2025-03-05 03:19:11.101,13274,0
2025-03-05 03:19:11.114,13672,0
2025-03-05 03:19:11.126,13979,0
2025-03-05 03:19:11.144,14273,0
2025-03-05 03:19:11.155,14273,0
2025-03-05 03:19:11.166,14288,0
2025-03-05 03:19:11.178,14295,0
2025-03-05 03:19:11.189,14299,0
2025-03-05 03:19:11.202,14318,0
2025-03-05 03:19:11.216,14700,0
2025-03-05 03:19:11.233,14958,0
2025-03-05 03:19:11.247,15630,0
2025-03-05 03:19:11.258,15955,0
2025-03-05 03:19:11.271,16239,0
2025-03-05 03:19:11.283,16435,0
2025-03-05 03:19:11.295,16601,0
2025-03-05 03:19:11.311,17425,0
2025-03-05 03:19:11.326,18590,0
2025-03-05 03:19:11.338,18962,0
2025-03-05 03:19:11.354,19639,0
2025-03-05 03:19:11.367,20334,0
2025-03-05 03:19:11.379,21197,0
2025-03-05 03:19:11.394,21288,0
2025-03-05 03:19:11.410,21642,0
2025-03-05 03:19:11.422,21990,0
2025-03-05 03:19:11.438,22505,0
2025-03-05 03:19:11.450,23008,0
2025-03-05 03:19:11.463,24087,0
2025-03-05 03:19:11.478,24764,0
2025-03-05 03:19:11.492,24989,0
2025-03-05 03:19:11.510,25465,0
2025-03-05 03:19:11.522,25592,0
2025-03-05 03:19:11.534,26018,0
2025-03-05 03:19:11.546,26236,0
2025-03-05 03:19:11.559,26236,0
2025-03-05 03:19:11.571,26253,0
2025-03-05 03:19:11.583,26747,0
2025-03-05 03:19:11.595,26758,0
2025-03-05 03:19:11.607,26769,0
2025-03-05 03:19:11.620,26782,0
2025-03-05 03:19:11.633,26795,0
2025-03-05 03:19:11.648,26808,0
2025-03-05 03:19:11.661,26820,0
2025-03-05 03:19:11.673,26830,0
2025-03-05 03:19:11.686,26839,0
2025-03-05 03:19:11.699,26848,0
2025-03-05 03:19:11.712,26857,0
2025-03-05 03:19:11.724,26865,0
2025-03-05 03:19:11.736,26876,0
2025-03-05 03:19:11.751,26888,0
2025-03-05 03:19:11.765,26902,0
2025-03-05 03:19:11.779,26913,0
2025-03-05 03:19:11.791,26924,0
2025-03-05 03:19:11.803,26935,0
2025-03-05 03:19:11.815,26945,0
2025-03-05 03:19:11.827,26955,0
2025-03-05 03:19:11.839,26966,0
2025-03-05 03:19:11.851,26978,0
2025-03-05 03:19:11.864,26990,0
2025-03-05 03:19:11.877,27003,0
2025-03-05 03:19:11.891,27013,0
2025-03-05 03:19:11.904,27021,0
2025-03-05 03:19:11.917,27030,0
2025-03-05 03:19:11.931,27037,0
2025-03-05 03:19:11.944,27047,0
2025-03-05 03:19:11.957,27059,0
2025-03-05 03:19:11.970,27070,0
2025-03-05 03:19:11.982,27082,0
2025-03-05 03:19:11.995,27094,0
2025-03-05 03:19:12.008,27106,0
2025-03-05 03:19:12.021,27557,0
2025-03-05 03:19:12.033,27557,0
2025-03-05 03:19:12.049,27557,0
2025-03-05 03:19:12.060,27557,0
2025-03-05 03:19:12.077,27557,0
2025-03-05 03:19:12.089,27557,0
2025-03-05 03:19:12.102,27557,0
2025-03-05 03:19:12.116,27557,0
2025-03-05 03:19:12.129,27557,0
2025-03-05 03:19:12.141,27557,0
2025-03-05 03:19:12.152,27557,0
2025-03-05 03:19:12.168,27557,0
2025-03-05 03:19:12.180,27557,0
2025-03-05 03:19:12.191,27557,0
2025-03-05 03:19:12.206,27557,0
2025-03-05 03:19:12.217,27557,0
2025-03-05 03:19:12.229,27557,0
2025-03-05 03:19:12.252,28549,0
2025-03-05 03:19:12.268,28556,0
2025-03-05 03:19:12.283,28896,0
2025-03-05 03:19:12.297,29589,0
2025-03-05 03:19:12.312,29589,0
2025-03-05 03:19:12.327,29589,0
