Timestamp,Memory Usage (kB)
2025-03-05 03:41:53.705,30068
2025-03-05 03:41:53.718,30280
2025-03-05 03:41:53.733,36528
2025-03-05 03:41:53.745,37668
2025-03-05 03:41:53.757,37728
2025-03-05 03:41:53.768,37528
2025-03-05 03:41:53.781,36528
2025-03-05 03:41:53.791,39708
2025-03-05 03:41:53.807,41812
2025-03-05 03:41:53.818,39132
2025-03-05 03:41:53.829,41620
2025-03-05 03:41:53.843,41036
2025-03-05 03:41:53.854,41868
2025-03-05 03:41:53.867,41056
2025-03-05 03:41:53.881,39436
2025-03-05 03:41:53.892,43132
2025-03-05 03:41:53.904,42656
2025-03-05 03:41:53.915,45168
2025-03-05 03:41:53.928,45460
2025-03-05 03:41:53.943,45064
2025-03-05 03:41:53.958,45236
2025-03-05 03:41:53.972,47416
2025-03-05 03:41:53.986,47616
2025-03-05 03:41:54.003,51640
2025-03-05 03:41:54.013,51892
2025-03-05 03:41:54.025,51428
2025-03-05 03:41:54.038,52388
2025-03-05 03:41:54.052,52572
2025-03-05 03:41:54.064,52404
2025-03-05 03:41:54.075,52244
2025-03-05 03:41:54.088,50744
2025-03-05 03:41:54.099,53004
2025-03-05 03:41:54.111,52916
2025-03-05 03:41:54.124,54388
2025-03-05 03:41:54.138,53216
2025-03-05 03:41:54.150,54600
2025-03-05 03:41:54.165,55516
2025-03-05 03:41:54.179,54256
2025-03-05 03:41:54.190,55672
2025-03-05 03:41:54.203,52032
2025-03-05 03:41:54.214,56032
2025-03-05 03:41:54.227,54040
2025-03-05 03:41:54.243,56288
2025-03-05 03:41:54.254,58664
2025-03-05 03:41:54.266,59280
2025-03-05 03:41:54.280,59136
2025-03-05 03:41:54.292,61572
2025-03-05 03:41:54.308,68444
2025-03-05 03:41:54.318,69860
2025-03-05 03:41:54.331,67220
2025-03-05 03:41:54.342,70720
2025-03-05 03:41:54.354,70108
2025-03-05 03:41:54.367,74100
2025-03-05 03:41:54.380,74624
2025-03-05 03:41:54.392,71756
2025-03-05 03:41:54.409,72120
2025-03-05 03:41:54.420,72944
2025-03-05 03:41:54.433,72584
2025-03-05 03:41:54.448,73980
2025-03-05 03:41:54.459,73052
2025-03-05 03:41:54.472,74944
2025-03-05 03:41:54.484,75240
2025-03-05 03:41:54.496,77652
2025-03-05 03:41:54.509,74584
2025-03-05 03:41:54.522,77792
2025-03-05 03:41:54.534,77756
2025-03-05 03:41:54.545,80384
2025-03-05 03:41:54.559,79908
2025-03-05 03:41:54.570,81900
2025-03-05 03:41:54.585,82176
2025-03-05 03:41:54.596,89144
2025-03-05 03:41:54.609,89888
2025-03-05 03:41:54.620,88088
2025-03-05 03:41:54.634,91188
2025-03-05 03:41:54.647,90056
2025-03-05 03:41:54.658,94140
2025-03-05 03:41:54.672,95164
2025-03-05 03:41:54.684,96692
2025-03-05 03:41:54.699,98692
2025-03-05 03:41:54.712,100036
2025-03-05 03:41:54.728,95352
2025-03-05 03:41:54.741,99088
2025-03-05 03:41:54.757,98168
2025-03-05 03:41:54.774,104380
2025-03-05 03:41:54.785,105424
2025-03-05 03:41:54.796,109472
2025-03-05 03:41:54.807,108104
2025-03-05 03:41:54.818,109692
2025-03-05 03:41:54.830,112176
2025-03-05 03:41:54.842,112308
2025-03-05 03:41:54.854,111792
2025-03-05 03:41:54.870,111540
2025-03-05 03:41:54.881,115096
2025-03-05 03:41:54.894,116044
2025-03-05 03:41:54.910,118760
2025-03-05 03:41:54.924,139188
2025-03-05 03:41:54.936,168328
2025-03-05 03:41:54.948,215748
2025-03-05 03:41:54.959,245300
2025-03-05 03:41:54.972,275168
2025-03-05 03:41:54.985,315220
2025-03-05 03:41:54.998,329732
2025-03-05 03:41:55.012,370032
2025-03-05 03:41:55.024,394748
2025-03-05 03:41:55.036,430864
2025-03-05 03:41:55.048,471572
2025-03-05 03:41:55.060,499204
2025-03-05 03:41:55.072,541892
2025-03-05 03:41:55.084,579184
2025-03-05 03:41:55.096,605976
2025-03-05 03:41:55.108,652844
2025-03-05 03:41:55.121,686852
2025-03-05 03:41:55.133,718532
2025-03-05 03:41:55.144,763920
2025-03-05 03:41:55.157,797680
2025-03-05 03:41:55.169,826456
2025-03-05 03:41:55.180,872920
2025-03-05 03:41:55.192,906140
2025-03-05 03:41:55.205,936212
2025-03-05 03:41:55.217,988524
2025-03-05 03:41:55.230,1022704
2025-03-05 03:41:55.242,1051520
2025-03-05 03:41:55.254,1098540
2025-03-05 03:41:55.267,1133664
2025-03-05 03:41:55.279,1163980
2025-03-05 03:41:55.291,1211800
2025-03-05 03:41:55.303,1246376
2025-03-05 03:41:55.314,1271784
2025-03-05 03:41:55.328,1327980
2025-03-05 03:41:55.339,1358456
2025-03-05 03:41:55.351,1389948
2025-03-05 03:41:55.363,1433024
2025-03-05 03:41:55.375,1455216
2025-03-05 03:41:55.387,1495884
2025-03-05 03:41:55.400,1533028
2025-03-05 03:41:55.412,1559272
2025-03-05 03:41:55.424,1605844
2025-03-05 03:41:55.437,1642956
2025-03-05 03:41:55.450,1660320
2025-03-05 03:41:55.462,1700712
2025-03-05 03:41:55.477,1715964
2025-03-05 03:41:55.490,1715648
2025-03-05 03:41:55.502,1714092
2025-03-05 03:41:55.514,1715496
2025-03-05 03:41:55.530,1714332
2025-03-05 03:41:55.541,1715364
2025-03-05 03:41:55.553,1720104
2025-03-05 03:41:55.566,1716876
2025-03-05 03:41:55.577,1716052
2025-03-05 03:41:55.589,1716532
2025-03-05 03:41:55.602,1715884
2025-03-05 03:41:55.612,1720256
2025-03-05 03:41:55.624,1716364
2025-03-05 03:41:55.635,1716132
2025-03-05 03:41:55.649,1715276
2025-03-05 03:41:55.660,1716132
2025-03-05 03:41:55.673,1714528
2025-03-05 03:41:55.685,1712592
2025-03-05 03:41:55.696,1714436
2025-03-05 03:41:55.708,1714800
2025-03-05 03:41:55.721,1714284
2025-03-05 03:41:55.733,1713328
2025-03-05 03:41:55.746,1715140
2025-03-05 03:41:55.762,1715352
2025-03-05 03:41:55.781,1720244
2025-03-05 03:41:55.801,1723380
2025-03-05 03:41:55.818,1728932
2025-03-05 03:41:55.832,1740444
2025-03-05 03:41:55.846,1748180
2025-03-05 03:41:55.858,1781592
2025-03-05 03:41:55.874,1821552
2025-03-05 03:41:55.891,1848056
2025-03-05 03:41:55.905,1891932
2025-03-05 03:41:55.924,1946016
2025-03-05 03:41:55.938,1967432
2025-03-05 03:41:55.954,2006240
2025-03-05 03:41:55.965,2018696
2025-03-05 03:41:55.978,2035716
2025-03-05 03:41:55.989,2045516
2025-03-05 03:41:56.001,2052692
2025-03-05 03:41:56.013,2050052
2025-03-05 03:41:56.024,2049632
2025-03-05 03:41:56.035,2049312
2025-03-05 03:41:56.048,2055440
2025-03-05 03:41:56.060,2054888
2025-03-05 03:41:56.071,2056300
2025-03-05 03:41:56.083,2058460
2025-03-05 03:41:56.094,2054972
2025-03-05 03:41:56.106,2072988
2025-03-05 03:41:56.122,2104432
2025-03-05 03:41:56.135,2132344
2025-03-05 03:41:56.149,2154332
2025-03-05 03:41:56.164,2181128
2025-03-05 03:41:56.176,2185476
2025-03-05 03:41:56.187,2185496
2025-03-05 03:41:56.199,2184592
2025-03-05 03:41:56.211,2191868
2025-03-05 03:41:56.223,2216188
2025-03-05 03:41:56.240,2247204
2025-03-05 03:41:56.250,2248356
2025-03-05 03:41:56.262,2252428
2025-03-05 03:41:56.276,2267820
2025-03-05 03:41:56.287,2285456
2025-03-05 03:41:56.299,2309032
2025-03-05 03:41:56.309,2317908
2025-03-05 03:41:56.322,2317452
2025-03-05 03:41:56.337,2316708
2025-03-05 03:41:56.348,2335344
2025-03-05 03:41:56.361,2359624
2025-03-05 03:41:56.376,2378572
2025-03-05 03:41:56.387,2383600
2025-03-05 03:41:56.400,2382856
2025-03-05 03:41:56.410,2401212
2025-03-05 03:41:56.422,2420072
2025-03-05 03:41:56.436,2445796
2025-03-05 03:41:56.448,2445812
2025-03-05 03:41:56.461,2460972
2025-03-05 03:41:56.472,2494672
2025-03-05 03:41:56.486,2516272
2025-03-05 03:41:56.502,2551028
2025-03-05 03:41:56.512,2576244
2025-03-05 03:41:56.523,2590112
2025-03-05 03:41:56.535,2623240
2025-03-05 03:41:56.549,2646888
2025-03-05 03:41:56.562,2683856
2025-03-05 03:41:56.574,2707960
2025-03-05 03:41:56.585,2725140
2025-03-05 03:41:56.601,2754204
2025-03-05 03:41:56.612,2789920
2025-03-05 03:41:56.623,2809808
2025-03-05 03:41:56.637,2837812
2025-03-05 03:41:56.648,2866184
2025-03-05 03:41:56.663,2891984
2025-03-05 03:41:56.675,2931400
2025-03-05 03:41:56.686,2951188
2025-03-05 03:41:56.698,2973212
2025-03-05 03:41:56.714,3015120
2025-03-05 03:41:56.725,3033208
2025-03-05 03:41:56.738,3062044
2025-03-05 03:41:56.750,3079784
2025-03-05 03:41:56.766,3109800
2025-03-05 03:41:56.777,3137648
2025-03-05 03:41:56.788,3154620
2025-03-05 03:41:56.803,3180064
2025-03-05 03:41:56.815,3193924
2025-03-05 03:41:56.828,3223996
2025-03-05 03:41:56.839,3243204
2025-03-05 03:41:56.851,3272140
2025-03-05 03:41:56.865,3285144
