Timestamp,Memory Usage (kB)
2025-03-02 03:40:38.159,26516
2025-03-02 03:40:38.362,43384
2025-03-02 03:40:38.564,62508
2025-03-02 03:40:38.771,87748
2025-03-02 03:40:38.979,534460
2025-03-02 03:40:39.183,1537692
2025-03-02 03:40:39.385,1728580
2025-03-02 03:40:39.588,2653768
2025-03-02 03:40:39.792,3033308
2025-03-02 03:40:39.994,3238360
2025-03-02 03:40:40.201,3590316
2025-03-02 03:40:40.403,4275904
2025-03-02 03:40:40.606,4933288
2025-03-02 03:40:40.808,5444952
2025-03-02 03:40:41.011,5653372
2025-03-02 03:40:41.214,2630544
2025-03-02 03:40:41.416,2509188
2025-03-02 03:40:41.618,211044
