Timestamp,Memory Usage (kB)
2025-03-02 03:56:32.162,26376
2025-03-02 03:56:32.370,40584
2025-03-02 03:56:32.575,61376
2025-03-02 03:56:32.778,84636
2025-03-02 03:56:32.980,533260
2025-03-02 03:56:33.182,1570692
2025-03-02 03:56:33.388,1765660
2025-03-02 03:56:33.590,2756720
2025-03-02 03:56:33.791,3109656
2025-03-02 03:56:33.993,3236704
2025-03-02 03:56:34.195,3309452
2025-03-02 03:56:34.397,4193964
2025-03-02 03:56:34.603,4656012
2025-03-02 03:56:34.805,4854600
2025-03-02 03:56:35.009,5281676
2025-03-02 03:56:35.211,5816012
2025-03-02 03:56:35.416,3292668
2025-03-02 03:56:35.618,442280
2025-03-02 03:56:35.821,441652
