Timestamp,Minor Page Faults,Major Page Faults
2025-03-02 03:58:04.034,988,0
2025-03-02 03:58:04.240,6788,0
2025-03-02 03:58:04.443,13398,0
2025-03-02 03:58:04.646,22906,0
2025-03-02 03:58:04.850,24664,0
2025-03-02 03:58:05.053,24885,0
2025-03-02 03:58:05.259,25737,0
2025-03-02 03:58:05.462,40523,0
2025-03-02 03:58:05.664,131050,0
2025-03-02 03:58:05.866,199724,0
2025-03-02 03:58:06.071,199724,0
2025-03-02 03:58:06.276,394334,0
2025-03-02 03:58:06.480,583452,0
2025-03-02 03:58:06.685,699850,0
2025-03-02 03:58:06.889,821886,0
2025-03-02 03:58:07.093,947578,0
2025-03-02 03:58:07.298,959423,0
