Timestamp,Minor Page Faults,Major Page Faults
2025-03-02 03:34:28.609,746,0
2025-03-02 03:34:28.815,5153,0
2025-03-02 03:34:29.026,11897,0
2025-03-02 03:34:29.233,20288,0
2025-03-02 03:34:29.435,24308,0
2025-03-02 03:34:29.639,24551,0
2025-03-02 03:34:29.841,25416,0
2025-03-02 03:34:30.046,26550,0
2025-03-02 03:34:30.248,26550,0
2025-03-02 03:34:30.450,31035,0
2025-03-02 03:34:30.653,159684,0
2025-03-02 03:34:30.861,308500,0
2025-03-02 03:34:31.065,454713,0
2025-03-02 03:34:31.267,568446,0
2025-03-02 03:34:31.470,657918,0
