Timestamp,Minor Page Faults,Major Page Faults
2025-03-02 03:45:26.097,794,0
2025-03-02 03:45:26.303,5282,0
2025-03-02 03:45:26.511,12196,0
2025-03-02 03:45:26.713,21601,0
2025-03-02 03:45:26.919,24792,0
2025-03-02 03:45:27.124,25456,0
2025-03-02 03:45:27.326,25986,0
2025-03-02 03:45:27.529,77390,0
2025-03-02 03:45:27.731,171158,0
2025-03-02 03:45:27.934,213583,0
2025-03-02 03:45:28.139,241428,0
2025-03-02 03:45:28.347,451336,0
2025-03-02 03:45:28.551,623885,0
2025-03-02 03:45:28.755,733135,0
2025-03-02 03:45:28.958,854990,0
2025-03-02 03:45:29.162,979222,0
2025-03-02 03:45:29.365,980045,0
