Timestamp,Minor Page Faults,Major Page Faults
2025-03-02 03:40:08.466,698,0
2025-03-02 03:40:08.670,4999,0
2025-03-02 03:40:08.886,11663,0
2025-03-02 03:40:09.088,19105,0
2025-03-02 03:40:09.290,24605,0
2025-03-02 03:40:09.493,24819,0
2025-03-02 03:40:09.697,24946,0
2025-03-02 03:40:09.900,32727,0
2025-03-02 03:40:10.106,134897,0
2025-03-02 03:40:10.313,234023,0
2025-03-02 03:40:10.520,261789,0
2025-03-02 03:40:10.723,454288,0
2025-03-02 03:40:10.926,648060,0
2025-03-02 03:40:11.131,777708,0
2025-03-02 03:40:11.338,885079,0
2025-03-02 03:40:11.541,995140,0
2025-03-02 03:40:11.748,1000866,0
