Timestamp,Minor Page Faults,Major Page Faults
2025-03-02 03:49:13.492,1005,0
2025-03-02 03:49:13.695,4977,0
2025-03-02 03:49:13.897,11072,0
2025-03-02 03:49:14.101,19018,0
2025-03-02 03:49:14.304,24133,0
2025-03-02 03:49:14.506,24354,0
2025-03-02 03:49:14.710,24878,0
2025-03-02 03:49:14.913,25704,0
2025-03-02 03:49:15.115,26490,0
2025-03-02 03:49:15.321,26490,0
2025-03-02 03:49:15.525,112361,0
2025-03-02 03:49:15.732,217874,0
2025-03-02 03:49:15.937,405652,0
2025-03-02 03:49:16.140,550307,0
2025-03-02 03:49:16.344,658472,0
2025-03-02 03:49:16.546,722763,0
