Timestamp,Memory Usage (kB)
2025-03-05 03:18:05.568,25888
2025-03-05 03:18:05.580,28952
2025-03-05 03:18:05.592,35100
2025-03-05 03:18:05.606,36048
2025-03-05 03:18:05.617,36184
2025-03-05 03:18:05.632,35908
2025-03-05 03:18:05.643,35788
2025-03-05 03:18:05.654,40484
2025-03-05 03:18:05.667,39284
2025-03-05 03:18:05.682,40900
2025-03-05 03:18:05.696,40104
2025-03-05 03:18:05.712,40740
2025-03-05 03:18:05.725,41116
2025-03-05 03:18:05.736,42856
2025-03-05 03:18:05.748,43332
2025-03-05 03:18:05.761,41756
2025-03-05 03:18:05.773,42356
2025-03-05 03:18:05.787,43360
2025-03-05 03:18:05.801,43752
2025-03-05 03:18:05.812,43608
2025-03-05 03:18:05.826,46212
2025-03-05 03:18:05.837,50164
2025-03-05 03:18:05.848,49448
2025-03-05 03:18:05.861,47380
2025-03-05 03:18:05.876,47628
2025-03-05 03:18:05.888,49208
2025-03-05 03:18:05.900,50024
2025-03-05 03:18:05.911,52884
2025-03-05 03:18:05.926,52528
2025-03-05 03:18:05.937,50968
2025-03-05 03:18:05.948,52944
2025-03-05 03:18:05.961,51396
2025-03-05 03:18:05.974,51884
2025-03-05 03:18:05.985,52572
2025-03-05 03:18:05.998,55408
2025-03-05 03:18:06.012,55036
2025-03-05 03:18:06.023,55132
2025-03-05 03:18:06.036,55692
2025-03-05 03:18:06.047,59240
2025-03-05 03:18:06.058,60256
2025-03-05 03:18:06.073,62612
2025-03-05 03:18:06.084,66316
2025-03-05 03:18:06.095,66340
2025-03-05 03:18:06.107,69208
2025-03-05 03:18:06.119,68480
2025-03-05 03:18:06.131,71040
2025-03-05 03:18:06.145,70780
2025-03-05 03:18:06.156,72980
2025-03-05 03:18:06.168,71788
2025-03-05 03:18:06.181,70484
2025-03-05 03:18:06.194,71032
2025-03-05 03:18:06.205,73272
2025-03-05 03:18:06.218,74128
2025-03-05 03:18:06.232,73504
2025-03-05 03:18:06.243,76044
2025-03-05 03:18:06.255,78344
2025-03-05 03:18:06.267,78604
2025-03-05 03:18:06.278,79292
2025-03-05 03:18:06.292,80948
2025-03-05 03:18:06.303,82944
2025-03-05 03:18:06.316,85996
2025-03-05 03:18:06.328,86100
2025-03-05 03:18:06.340,86172
2025-03-05 03:18:06.351,89172
2025-03-05 03:18:06.362,95980
2025-03-05 03:18:06.376,94152
2025-03-05 03:18:06.387,96912
2025-03-05 03:18:06.399,96720
2025-03-05 03:18:06.413,98332
2025-03-05 03:18:06.424,99264
2025-03-05 03:18:06.437,102564
2025-03-05 03:18:06.451,108992
2025-03-05 03:18:06.462,107820
2025-03-05 03:18:06.477,109416
2025-03-05 03:18:06.488,110076
2025-03-05 03:18:06.500,111060
2025-03-05 03:18:06.512,110924
2025-03-05 03:18:06.526,113592
2025-03-05 03:18:06.537,114268
2025-03-05 03:18:06.549,119108
2025-03-05 03:18:06.561,131552
2025-03-05 03:18:06.573,174556
2025-03-05 03:18:06.585,219488
2025-03-05 03:18:06.597,266956
2025-03-05 03:18:06.609,313504
2025-03-05 03:18:06.621,361264
2025-03-05 03:18:06.633,404132
2025-03-05 03:18:06.645,449296
2025-03-05 03:18:06.656,492888
2025-03-05 03:18:06.668,540824
2025-03-05 03:18:06.680,587096
2025-03-05 03:18:06.691,615932
2025-03-05 03:18:06.703,646952
2025-03-05 03:18:06.715,688948
2025-03-05 03:18:06.727,736036
2025-03-05 03:18:06.739,771732
2025-03-05 03:18:06.751,810576
2025-03-05 03:18:06.763,854768
2025-03-05 03:18:06.775,900852
2025-03-05 03:18:06.787,946480
2025-03-05 03:18:06.799,996848
2025-03-05 03:18:06.811,1043940
2025-03-05 03:18:06.823,1089812
2025-03-05 03:18:06.835,1133848
2025-03-05 03:18:06.847,1177752
