Timestamp,Minor Page Faults,Major Page Faults
2025-03-05 03:18:52.021,4590,0
2025-03-05 03:18:52.032,4673,0
2025-03-05 03:18:52.046,4958,0
2025-03-05 03:18:52.062,7360,0
2025-03-05 03:18:52.078,8169,0
2025-03-05 03:18:52.093,8194,0
2025-03-05 03:18:52.107,8205,0
2025-03-05 03:18:52.121,8207,0
2025-03-05 03:18:52.135,8207,0
2025-03-05 03:18:52.150,8302,0
2025-03-05 03:18:52.165,8354,0
2025-03-05 03:18:52.180,8533,0
2025-03-05 03:18:52.193,8566,0
2025-03-05 03:18:52.207,8646,0
2025-03-05 03:18:52.221,8826,0
2025-03-05 03:18:52.239,9149,0
2025-03-05 03:18:52.251,9161,0
2025-03-05 03:18:52.263,9283,0
2025-03-05 03:18:52.275,9794,0
2025-03-05 03:18:52.288,10250,0
2025-03-05 03:18:52.300,10374,0
2025-03-05 03:18:52.315,11085,0
2025-03-05 03:18:52.329,13356,0
2025-03-05 03:18:52.342,13434,0
2025-03-05 03:18:52.357,13847,0
2025-03-05 03:18:52.370,14610,0
2025-03-05 03:18:52.384,14684,0
2025-03-05 03:18:52.398,14692,0
2025-03-05 03:18:52.410,14693,0
2025-03-05 03:18:52.423,14707,0
2025-03-05 03:18:52.435,14713,0
2025-03-05 03:18:52.447,14734,0
2025-03-05 03:18:52.462,15117,0
2025-03-05 03:18:52.474,15281,0
2025-03-05 03:18:52.488,15958,0
2025-03-05 03:18:52.505,16373,0
2025-03-05 03:18:52.521,16597,0
2025-03-05 03:18:52.533,16823,0
2025-03-05 03:18:52.550,17275,0
2025-03-05 03:18:52.562,18470,0
2025-03-05 03:18:52.578,18685,0
2025-03-05 03:18:52.591,19257,0
2025-03-05 03:18:52.607,20467,0
2025-03-05 03:18:52.619,21590,0
2025-03-05 03:18:52.633,21720,0
2025-03-05 03:18:52.647,22129,0
2025-03-05 03:18:52.662,22607,0
2025-03-05 03:18:52.674,23004,0
2025-03-05 03:18:52.687,23450,0
2025-03-05 03:18:52.702,24362,0
2025-03-05 03:18:52.717,25166,0
2025-03-05 03:18:52.730,25396,0
2025-03-05 03:18:52.743,25640,0
2025-03-05 03:18:52.760,26001,0
2025-03-05 03:18:52.773,26258,0
2025-03-05 03:18:52.789,26649,0
2025-03-05 03:18:52.800,26649,0
2025-03-05 03:18:52.813,26735,0
2025-03-05 03:18:52.825,26746,0
2025-03-05 03:18:52.837,26756,0
2025-03-05 03:18:52.851,26766,0
2025-03-05 03:18:52.867,26778,0
2025-03-05 03:18:52.881,26789,0
2025-03-05 03:18:52.893,26798,0
2025-03-05 03:18:52.905,26809,0
2025-03-05 03:18:52.917,26820,0
2025-03-05 03:18:52.929,26830,0
2025-03-05 03:18:52.941,26842,0
2025-03-05 03:18:52.953,26853,0
2025-03-05 03:18:52.966,26866,0
2025-03-05 03:18:52.979,26878,0
2025-03-05 03:18:52.992,26889,0
2025-03-05 03:18:53.004,26900,0
2025-03-05 03:18:53.017,26910,0
2025-03-05 03:18:53.030,26918,0
2025-03-05 03:18:53.042,26926,0
2025-03-05 03:18:53.054,26936,0
2025-03-05 03:18:53.066,26947,0
2025-03-05 03:18:53.078,26958,0
2025-03-05 03:18:53.091,26970,0
2025-03-05 03:18:53.104,26982,0
2025-03-05 03:18:53.117,26994,0
2025-03-05 03:18:53.130,27004,0
2025-03-05 03:18:53.143,27015,0
2025-03-05 03:18:53.155,27026,0
2025-03-05 03:18:53.167,27037,0
2025-03-05 03:18:53.179,27047,0
2025-03-05 03:18:53.191,27058,0
2025-03-05 03:18:53.203,27069,0
2025-03-05 03:18:53.215,27079,0
2025-03-05 03:18:53.227,27091,0
2025-03-05 03:18:53.239,27103,0
2025-03-05 03:18:53.253,27459,0
2025-03-05 03:18:53.269,27459,0
2025-03-05 03:18:53.281,27459,0
2025-03-05 03:18:53.297,27459,0
2025-03-05 03:18:53.311,27459,0
2025-03-05 03:18:53.323,27459,0
2025-03-05 03:18:53.339,27459,0
2025-03-05 03:18:53.356,27459,0
2025-03-05 03:18:53.367,27459,0
2025-03-05 03:18:53.382,27459,0
2025-03-05 03:18:53.394,27459,0
2025-03-05 03:18:53.412,27459,0
2025-03-05 03:18:53.424,27459,0
2025-03-05 03:18:53.436,27459,0
2025-03-05 03:18:53.448,27459,0
2025-03-05 03:18:53.462,27459,0
2025-03-05 03:18:53.478,27459,0
2025-03-05 03:18:53.494,28232,0
2025-03-05 03:18:53.511,28635,0
2025-03-05 03:18:53.529,28896,0
2025-03-05 03:18:53.544,29669,0
2025-03-05 03:18:53.562,29669,0
2025-03-05 03:18:53.575,29669,0
2025-03-05 03:18:53.593,29669,0
2025-03-05 03:18:53.611,29669,0
2025-03-05 03:18:53.629,29669,0
2025-03-05 03:18:53.641,29669,0
2025-03-05 03:18:53.661,29669,0
2025-03-05 03:18:53.677,29669,0
2025-03-05 03:18:53.689,29669,0
2025-03-05 03:18:53.701,29669,0
2025-03-05 03:18:53.718,29669,0
2025-03-05 03:18:53.729,29669,0
2025-03-05 03:18:53.742,29669,0
2025-03-05 03:18:53.758,29669,0
2025-03-05 03:18:53.769,29669,0
2025-03-05 03:18:53.783,29669,0
2025-03-05 03:18:53.796,29669,0
2025-03-05 03:18:53.813,29669,0
2025-03-05 03:18:53.826,29669,0
2025-03-05 03:18:53.843,29669,0
2025-03-05 03:18:53.855,29669,0
2025-03-05 03:18:53.868,29669,0
2025-03-05 03:18:53.880,29669,0
2025-03-05 03:18:53.894,29669,0
2025-03-05 03:18:53.910,29669,0
2025-03-05 03:18:53.925,29669,0
2025-03-05 03:18:53.938,29669,0
2025-03-05 03:18:53.951,29669,0
2025-03-05 03:18:53.965,29669,0
2025-03-05 03:18:53.981,29669,0
2025-03-05 03:18:53.993,29669,0
2025-03-05 03:18:54.005,29669,0
2025-03-05 03:18:54.020,29669,0
2025-03-05 03:18:54.035,29669,0
2025-03-05 03:18:54.050,29669,0
2025-03-05 03:18:54.064,29669,0
2025-03-05 03:18:54.075,29669,0
2025-03-05 03:18:54.093,29669,0
2025-03-05 03:18:54.108,29669,0
2025-03-05 03:18:54.120,29669,0
2025-03-05 03:18:54.134,29669,0
2025-03-05 03:18:54.148,29669,0
2025-03-05 03:18:54.161,29669,0
2025-03-05 03:18:54.174,29669,0
2025-03-05 03:18:54.187,29669,0
2025-03-05 03:18:54.200,29669,0
2025-03-05 03:18:54.217,29669,0
2025-03-05 03:18:54.228,29669,0
2025-03-05 03:18:54.242,29669,0
2025-03-05 03:18:54.254,29669,0
2025-03-05 03:18:54.267,29669,0
2025-03-05 03:18:54.281,29669,0
2025-03-05 03:18:54.294,29669,0
2025-03-05 03:18:54.309,29669,0
2025-03-05 03:18:54.322,29669,0
2025-03-05 03:18:54.338,29669,0
2025-03-05 03:18:54.350,29669,0
2025-03-05 03:18:54.362,29669,0
2025-03-05 03:18:54.377,29669,0
2025-03-05 03:18:54.390,29669,0
2025-03-05 03:18:54.406,29669,0
2025-03-05 03:18:54.420,29669,0
2025-03-05 03:18:54.432,29669,0
2025-03-05 03:18:54.444,29669,0
2025-03-05 03:18:54.460,29669,0
2025-03-05 03:18:54.475,29669,0
2025-03-05 03:18:54.490,29669,0
2025-03-05 03:18:54.505,29669,0
2025-03-05 03:18:54.519,29669,0
2025-03-05 03:18:54.531,29669,0
2025-03-05 03:18:54.547,29669,0
2025-03-05 03:18:54.559,29669,0
2025-03-05 03:18:54.572,29669,0
2025-03-05 03:18:54.584,29669,0
2025-03-05 03:18:54.595,29669,0
2025-03-05 03:18:54.612,29669,0
2025-03-05 03:18:54.624,29669,0
