Timestamp,Minor Page Faults,Major Page Faults
2025-03-05 03:19:47.847,425,0
2025-03-05 03:19:47.864,2366,0
2025-03-05 03:19:47.877,2528,0
2025-03-05 03:19:47.891,2588,0
2025-03-05 03:19:47.905,2595,0
2025-03-05 03:19:47.918,3001,0
2025-03-05 03:19:47.929,3192,0
2025-03-05 03:19:47.944,3926,0
2025-03-05 03:19:47.958,3946,0
2025-03-05 03:19:47.975,3959,0
2025-03-05 03:19:47.989,4050,0
2025-03-05 03:19:48.002,4243,0
2025-03-05 03:19:48.018,4374,0
2025-03-05 03:19:48.030,4581,0
2025-03-05 03:19:48.042,4592,0
2025-03-05 03:19:48.057,4761,0
2025-03-05 03:19:48.069,5354,0
2025-03-05 03:19:48.083,7246,0
2025-03-05 03:19:48.095,7996,0
2025-03-05 03:19:48.110,8021,0
2025-03-05 03:19:48.130,8032,0
2025-03-05 03:19:48.158,8032,0
2025-03-05 03:19:48.183,8034,0
2025-03-05 03:19:48.195,8105,0
2025-03-05 03:19:48.212,8183,0
2025-03-05 03:19:48.225,8187,0
2025-03-05 03:19:48.237,8364,0
2025-03-05 03:19:48.250,8397,0
2025-03-05 03:19:48.263,8425,0
2025-03-05 03:19:48.282,8479,0
2025-03-05 03:19:48.303,8613,0
2025-03-05 03:19:48.314,8657,0
2025-03-05 03:19:48.326,8971,0
2025-03-05 03:19:48.342,9009,0
2025-03-05 03:19:48.359,9588,0
2025-03-05 03:19:48.374,10080,0
2025-03-05 03:19:48.386,10255,0
2025-03-05 03:19:48.398,10876,0
2025-03-05 03:19:48.410,12059,0
2025-03-05 03:19:48.425,13255,0
2025-03-05 03:19:48.442,13665,0
2025-03-05 03:19:48.454,13844,0
2025-03-05 03:19:48.466,14218,0
2025-03-05 03:19:48.482,14278,0
2025-03-05 03:19:48.498,14287,0
2025-03-05 03:19:48.514,14294,0
2025-03-05 03:19:48.530,14317,0
2025-03-05 03:19:48.541,14688,0
2025-03-05 03:19:48.553,14800,0
2025-03-05 03:19:48.569,15499,0
2025-03-05 03:19:48.583,15857,0
2025-03-05 03:19:48.595,16154,0
2025-03-05 03:19:48.608,16397,0
2025-03-05 03:19:48.622,16599,0
2025-03-05 03:19:48.633,17164,0
2025-03-05 03:19:48.644,18171,0
2025-03-05 03:19:48.658,19177,0
2025-03-05 03:19:48.673,19311,0
2025-03-05 03:19:48.685,19937,0
2025-03-05 03:19:48.698,21176,0
2025-03-05 03:19:48.713,21346,0
2025-03-05 03:19:48.727,21674,0
2025-03-05 03:19:48.743,22053,0
2025-03-05 03:19:48.754,22538,0
2025-03-05 03:19:48.768,23167,0
2025-03-05 03:19:48.783,24498,0
2025-03-05 03:19:48.795,24713,0
2025-03-05 03:19:48.808,24858,0
2025-03-05 03:19:48.822,25112,0
2025-03-05 03:19:48.835,25354,0
2025-03-05 03:19:48.848,25522,0
2025-03-05 03:19:48.862,25779,0
2025-03-05 03:19:48.878,26238,0
2025-03-05 03:19:48.890,26238,0
2025-03-05 03:19:48.902,26238,0
2025-03-05 03:19:48.916,26525,0
2025-03-05 03:19:48.929,26536,0
2025-03-05 03:19:48.941,26544,0
2025-03-05 03:19:48.953,26556,0
2025-03-05 03:19:48.966,26567,0
2025-03-05 03:19:48.980,26579,0
2025-03-05 03:19:48.992,26591,0
2025-03-05 03:19:49.004,26602,0
2025-03-05 03:19:49.016,26612,0
2025-03-05 03:19:49.028,26623,0
2025-03-05 03:19:49.040,26634,0
2025-03-05 03:19:49.052,26644,0
2025-03-05 03:19:49.064,26655,0
2025-03-05 03:19:49.076,26665,0
2025-03-05 03:19:49.089,26677,0
2025-03-05 03:19:49.101,26689,0
2025-03-05 03:19:49.113,26700,0
2025-03-05 03:19:49.125,26711,0
2025-03-05 03:19:49.137,26721,0
2025-03-05 03:19:49.149,26732,0
2025-03-05 03:19:49.161,26743,0
2025-03-05 03:19:49.173,26753,0
2025-03-05 03:19:49.185,26763,0
2025-03-05 03:19:49.197,26775,0
2025-03-05 03:19:49.211,26787,0
2025-03-05 03:19:49.224,26799,0
2025-03-05 03:19:49.236,26811,0
2025-03-05 03:19:49.248,26822,0
2025-03-05 03:19:49.261,26833,0
2025-03-05 03:19:49.273,26843,0
2025-03-05 03:19:49.285,26854,0
2025-03-05 03:19:49.297,26864,0
2025-03-05 03:19:49.309,26875,0
2025-03-05 03:19:49.322,26886,0
2025-03-05 03:19:49.336,27048,0
2025-03-05 03:19:49.348,27048,0
2025-03-05 03:19:49.361,27048,0
2025-03-05 03:19:49.373,27048,0
2025-03-05 03:19:49.386,27048,0
2025-03-05 03:19:49.400,27048,0
2025-03-05 03:19:49.414,27048,0
2025-03-05 03:19:49.428,27048,0
2025-03-05 03:19:49.443,27048,0
2025-03-05 03:19:49.461,27048,0
2025-03-05 03:19:49.473,27048,0
2025-03-05 03:19:49.489,27048,0
2025-03-05 03:19:49.503,27048,0
2025-03-05 03:19:49.514,27048,0
2025-03-05 03:19:49.525,27048,0
2025-03-05 03:19:49.539,27048,0
2025-03-05 03:19:49.551,27048,0
2025-03-05 03:19:49.569,28038,0
2025-03-05 03:19:49.587,28045,0
2025-03-05 03:19:49.599,28486,0
2025-03-05 03:19:49.619,29049,0
2025-03-05 03:19:49.637,29049,0
2025-03-05 03:19:49.655,29049,0
2025-03-05 03:19:49.677,29049,0
2025-03-05 03:19:49.691,29049,0
2025-03-05 03:19:49.705,29049,0
2025-03-05 03:19:49.722,29049,0
2025-03-05 03:19:49.745,29049,0
2025-03-05 03:19:49.761,29049,0
2025-03-05 03:19:49.776,29049,0
2025-03-05 03:19:49.787,29049,0
2025-03-05 03:19:49.801,29049,0
2025-03-05 03:19:49.814,29049,0
2025-03-05 03:19:49.831,29049,0
2025-03-05 03:19:49.843,29049,0
2025-03-05 03:19:49.856,29049,0
2025-03-05 03:19:49.870,29049,0
2025-03-05 03:19:49.882,29049,0
2025-03-05 03:19:49.896,29049,0
2025-03-05 03:19:49.911,29049,0
2025-03-05 03:19:49.927,29049,0
2025-03-05 03:19:49.938,29049,0
2025-03-05 03:19:49.956,29049,0
2025-03-05 03:19:49.968,29049,0
2025-03-05 03:19:49.982,29049,0
2025-03-05 03:19:49.993,29049,0
2025-03-05 03:19:50.007,29049,0
2025-03-05 03:19:50.023,29049,0
2025-03-05 03:19:50.035,29049,0
2025-03-05 03:19:50.053,29049,0
2025-03-05 03:19:50.065,29049,0
2025-03-05 03:19:50.078,29049,0
2025-03-05 03:19:50.092,29049,0
2025-03-05 03:19:50.104,29049,0
2025-03-05 03:19:50.118,29049,0
2025-03-05 03:19:50.134,29049,0
2025-03-05 03:19:50.149,29049,0
2025-03-05 03:19:50.163,29049,0
2025-03-05 03:19:50.178,29049,0
2025-03-05 03:19:50.192,29049,0
2025-03-05 03:19:50.208,29049,0
2025-03-05 03:19:50.220,29049,0
2025-03-05 03:19:50.231,29049,0
2025-03-05 03:19:50.247,29049,0
2025-03-05 03:19:50.259,29049,0
2025-03-05 03:19:50.271,29049,0
2025-03-05 03:19:50.284,29049,0
2025-03-05 03:19:50.299,29049,0
2025-03-05 03:19:50.310,29049,0
2025-03-05 03:19:50.325,29049,0
2025-03-05 03:19:50.339,29049,0
2025-03-05 03:19:50.352,29049,0
2025-03-05 03:19:50.370,29049,0
2025-03-05 03:19:50.382,29049,0
2025-03-05 03:19:50.397,29049,0
2025-03-05 03:19:50.410,29049,0
2025-03-05 03:19:50.422,29049,0
2025-03-05 03:19:50.435,29049,0
2025-03-05 03:19:50.447,29049,0
2025-03-05 03:19:50.459,29049,0
2025-03-05 03:19:50.470,29049,0
2025-03-05 03:19:50.487,29049,0
2025-03-05 03:19:50.501,29049,0
2025-03-05 03:19:50.517,29049,0
2025-03-05 03:19:50.533,29049,0
2025-03-05 03:19:50.546,29049,0
2025-03-05 03:19:50.563,29049,0
2025-03-05 03:19:50.575,29049,0
2025-03-05 03:19:50.589,29049,0
2025-03-05 03:19:50.602,29049,0
2025-03-05 03:19:50.613,29049,0
2025-03-05 03:19:50.624,29049,0
2025-03-05 03:19:50.638,29049,0
2025-03-05 03:19:50.652,29049,0
2025-03-05 03:19:50.664,29049,0
2025-03-05 03:19:50.676,29049,0
2025-03-05 03:19:50.688,29049,0
2025-03-05 03:19:50.702,29049,0
2025-03-05 03:19:50.721,29049,0
2025-03-05 03:19:50.734,29049,0
2025-03-05 03:19:50.750,29049,0
2025-03-05 03:19:50.762,29049,0
2025-03-05 03:19:50.776,29049,0
2025-03-05 03:19:50.788,29049,0
2025-03-05 03:19:50.802,29049,0
2025-03-05 03:19:50.817,29049,0
2025-03-05 03:19:50.831,29049,0
2025-03-05 03:19:50.845,29049,0
2025-03-05 03:19:50.862,29049,0
2025-03-05 03:19:50.876,29049,0
2025-03-05 03:19:50.892,29049,0
2025-03-05 03:19:50.905,29049,0
2025-03-05 03:19:50.920,29049,0
2025-03-05 03:19:50.935,29049,0
2025-03-05 03:19:50.949,29049,0
2025-03-05 03:19:50.965,29049,0
2025-03-05 03:19:50.978,29049,0
2025-03-05 03:19:50.993,29049,0
2025-03-05 03:19:51.006,29049,0
2025-03-05 03:19:51.019,29049,0
2025-03-05 03:19:51.036,29049,0
2025-03-05 03:19:51.048,29049,0
2025-03-05 03:19:51.060,29049,0
2025-03-05 03:19:51.074,29049,0
2025-03-05 03:19:51.085,29049,0
