Timestamp,Memory Usage (kB)
2025-03-05 03:52:09.899,29960
2025-03-05 03:52:09.915,31492
2025-03-05 03:52:09.927,37492
2025-03-05 03:52:09.938,39452
2025-03-05 03:52:09.950,38244
2025-03-05 03:52:09.966,39244
2025-03-05 03:52:09.979,39280
2025-03-05 03:52:09.994,40572
2025-03-05 03:52:10.005,40748
2025-03-05 03:52:10.018,41808
2025-03-05 03:52:10.029,44016
2025-03-05 03:52:10.040,44896
2025-03-05 03:52:10.052,42908
2025-03-05 03:52:10.064,46524
2025-03-05 03:52:10.079,48512
2025-03-05 03:52:10.091,45956
2025-03-05 03:52:10.107,43904
2025-03-05 03:52:10.118,45224
2025-03-05 03:52:10.129,45268
2025-03-05 03:52:10.141,44964
2025-03-05 03:52:10.154,46468
2025-03-05 03:52:10.166,46160
2025-03-05 03:52:10.177,48588
2025-03-05 03:52:10.188,54752
2025-03-05 03:52:10.202,54588
2025-03-05 03:52:10.215,52520
2025-03-05 03:52:10.226,51904
2025-03-05 03:52:10.237,54744
2025-03-05 03:52:10.251,52552
2025-03-05 03:52:10.262,52388
2025-03-05 03:52:10.274,50400
2025-03-05 03:52:10.289,53064
2025-03-05 03:52:10.302,53144
2025-03-05 03:52:10.315,51312
2025-03-05 03:52:10.328,54456
2025-03-05 03:52:10.339,55912
2025-03-05 03:52:10.352,53816
2025-03-05 03:52:10.363,54360
2025-03-05 03:52:10.375,53332
2025-03-05 03:52:10.390,56140
2025-03-05 03:52:10.404,54960
2025-03-05 03:52:10.415,56512
2025-03-05 03:52:10.426,57352
2025-03-05 03:52:10.439,57756
2025-03-05 03:52:10.450,58760
2025-03-05 03:52:10.465,58852
2025-03-05 03:52:10.479,62184
2025-03-05 03:52:10.491,61448
2025-03-05 03:52:10.504,67076
2025-03-05 03:52:10.518,66100
2025-03-05 03:52:10.534,69508
2025-03-05 03:52:10.547,71648
2025-03-05 03:52:10.559,70940
2025-03-05 03:52:10.572,70708
2025-03-05 03:52:10.583,69028
2025-03-05 03:52:10.594,73540
2025-03-05 03:52:10.607,71804
2025-03-05 03:52:10.620,68108
2025-03-05 03:52:10.635,70688
2025-03-05 03:52:10.647,71464
2025-03-05 03:52:10.658,70624
2025-03-05 03:52:10.671,73316
2025-03-05 03:52:10.684,72648
2025-03-05 03:52:10.695,71708
2025-03-05 03:52:10.706,75356
2025-03-05 03:52:10.719,71988
2025-03-05 03:52:10.732,77748
2025-03-05 03:52:10.744,77588
2025-03-05 03:52:10.759,75456
2025-03-05 03:52:10.773,77808
2025-03-05 03:52:10.784,80656
2025-03-05 03:52:10.798,77936
2025-03-05 03:52:10.809,84412
2025-03-05 03:52:10.824,84600
2025-03-05 03:52:10.835,88676
2025-03-05 03:52:10.849,88840
2025-03-05 03:52:10.861,85300
2025-03-05 03:52:10.872,88232
2025-03-05 03:52:10.884,93008
2025-03-05 03:52:10.896,98332
2025-03-05 03:52:10.910,97388
2025-03-05 03:52:10.922,97524
2025-03-05 03:52:10.937,95696
2025-03-05 03:52:10.948,95960
2025-03-05 03:52:10.959,99272
2025-03-05 03:52:10.974,97024
2025-03-05 03:52:10.985,99656
2025-03-05 03:52:10.999,101752
2025-03-05 03:52:11.014,106300
2025-03-05 03:52:11.027,108588
2025-03-05 03:52:11.039,107844
2025-03-05 03:52:11.051,108632
2025-03-05 03:52:11.063,109896
2025-03-05 03:52:11.074,110536
2025-03-05 03:52:11.087,111896
2025-03-05 03:52:11.099,110484
2025-03-05 03:52:11.111,114988
