Timestamp,Minor Page Faults,Major Page Faults
2025-03-05 03:43:42.665,4339,0
2025-03-05 03:43:42.678,4387,0
2025-03-05 03:43:42.691,4594,0
2025-03-05 03:43:42.706,4616,0
2025-03-05 03:43:42.718,4702,0
2025-03-05 03:43:42.733,4962,0
2025-03-05 03:43:42.745,7177,0
2025-03-05 03:43:42.758,7368,0
2025-03-05 03:43:42.771,8017,0
2025-03-05 03:43:42.787,8041,0
2025-03-05 03:43:42.800,8052,0
2025-03-05 03:43:42.812,8186,0
2025-03-05 03:43:42.825,8207,0
2025-03-05 03:43:42.841,8209,0
2025-03-05 03:43:42.853,8297,0
2025-03-05 03:43:42.868,8380,0
2025-03-05 03:43:42.884,8591,0
2025-03-05 03:43:42.896,8765,0
2025-03-05 03:43:42.913,8820,0
2025-03-05 03:43:42.928,9011,0
2025-03-05 03:43:42.942,9056,0
2025-03-05 03:43:42.956,9369,0
2025-03-05 03:43:42.969,9377,0
2025-03-05 03:43:42.980,9413,0
2025-03-05 03:43:42.993,9662,0
2025-03-05 03:43:43.005,10107,0
2025-03-05 03:43:43.018,10486,0
2025-03-05 03:43:43.036,10799,0
2025-03-05 03:43:43.051,11226,0
2025-03-05 03:43:43.063,11854,0
2025-03-05 03:43:43.076,13599,0
2025-03-05 03:43:43.088,13661,0
2025-03-05 03:43:43.106,14068,0
2025-03-05 03:43:43.122,14844,0
2025-03-05 03:43:43.134,14901,0
2025-03-05 03:43:43.151,14910,0
2025-03-05 03:43:43.165,14919,0
2025-03-05 03:43:43.178,14930,0
2025-03-05 03:43:43.192,14938,0
2025-03-05 03:43:43.204,14938,0
2025-03-05 03:43:43.218,14970,0
2025-03-05 03:43:43.232,15337,0
2025-03-05 03:43:43.246,15442,0
2025-03-05 03:43:43.257,15615,0
2025-03-05 03:43:43.272,16287,0
2025-03-05 03:43:43.289,16589,0
2025-03-05 03:43:43.301,16820,0
2025-03-05 03:43:43.319,17105,0
2025-03-05 03:43:43.332,17289,0
2025-03-05 03:43:43.343,17663,0
2025-03-05 03:43:43.360,18799,0
2025-03-05 03:43:43.375,18826,0
2025-03-05 03:43:43.387,18970,0
2025-03-05 03:43:43.401,19772,0
2025-03-05 03:43:43.416,20401,0
2025-03-05 03:43:43.428,21802,0
2025-03-05 03:43:43.446,21905,0
2025-03-05 03:43:43.458,21908,0
2025-03-05 03:43:43.475,22286,0
2025-03-05 03:43:43.489,22671,0
2025-03-05 03:43:43.501,22903,0
2025-03-05 03:43:43.515,23319,0
2025-03-05 03:43:43.527,24084,0
2025-03-05 03:43:43.540,24742,0
2025-03-05 03:43:43.552,25298,0
2025-03-05 03:43:43.570,25486,0
2025-03-05 03:43:43.586,25608,0
2025-03-05 03:43:43.599,25846,0
2025-03-05 03:43:43.616,26145,0
2025-03-05 03:43:43.630,26231,0
2025-03-05 03:43:43.646,26498,0
2025-03-05 03:43:43.658,26860,0
2025-03-05 03:43:43.672,26877,0
2025-03-05 03:43:43.685,26877,0
2025-03-05 03:43:43.697,27129,0
2025-03-05 03:43:43.711,27137,0
2025-03-05 03:43:43.723,27144,0
2025-03-05 03:43:43.737,27156,0
2025-03-05 03:43:43.750,27163,0
2025-03-05 03:43:43.765,27170,0
2025-03-05 03:43:43.779,27182,0
2025-03-05 03:43:43.792,27191,0
2025-03-05 03:43:43.804,27198,0
2025-03-05 03:43:43.817,27210,0
2025-03-05 03:43:43.831,27220,0
2025-03-05 03:43:43.843,27227,0
2025-03-05 03:43:43.856,27237,0
2025-03-05 03:43:43.870,27249,0
2025-03-05 03:43:43.883,27257,0
2025-03-05 03:43:43.896,27265,0
2025-03-05 03:43:43.909,27278,0
2025-03-05 03:43:43.923,27286,0
2025-03-05 03:43:43.937,27292,0
2025-03-05 03:43:43.950,27302,0
2025-03-05 03:43:43.964,27306,0
2025-03-05 03:43:43.978,27316,0
2025-03-05 03:43:43.992,27321,0
2025-03-05 03:43:44.006,27329,0
2025-03-05 03:43:44.020,27338,0
2025-03-05 03:43:44.036,27344,0
2025-03-05 03:43:44.050,27354,0
2025-03-05 03:43:44.064,27366,0
2025-03-05 03:43:44.077,27373,0
2025-03-05 03:43:44.089,27381,0
2025-03-05 03:43:44.102,27393,0
2025-03-05 03:43:44.115,27401,0
2025-03-05 03:43:44.127,27409,0
2025-03-05 03:43:44.141,27421,0
2025-03-05 03:43:44.154,27431,0
2025-03-05 03:43:44.166,27437,0
2025-03-05 03:43:44.178,27448,0
