Timestamp,Memory Usage (kB)
2025-03-02 03:57:18.383,25876
2025-03-02 03:57:18.589,40624
2025-03-02 03:57:18.791,61984
2025-03-02 03:57:18.993,85416
2025-03-02 03:57:19.196,542496
2025-03-02 03:57:19.399,1581808
2025-03-02 03:57:19.604,1723504
2025-03-02 03:57:19.805,2722932
2025-03-02 03:57:20.008,3118864
2025-03-02 03:57:20.209,3236724
2025-03-02 03:57:20.412,3577520
2025-03-02 03:57:20.616,4353204
2025-03-02 03:57:20.818,4768336
2025-03-02 03:57:21.022,5201716
2025-03-02 03:57:21.224,5676736
2025-03-02 03:57:21.429,2905424
2025-03-02 03:57:21.630,488180
2025-03-02 03:57:21.834,409132
2025-03-02 03:57:22.038,408276
