Timestamp,Memory Usage (kB)
2025-03-02 03:42:55.664,27024
2025-03-02 03:42:55.873,46308
2025-03-02 03:42:56.080,67444
2025-03-02 03:42:56.286,90512
2025-03-02 03:42:56.488,489316
2025-03-02 03:42:56.691,1428644
2025-03-02 03:42:56.896,1704168
2025-03-02 03:42:57.101,2628272
2025-03-02 03:42:57.308,3096740
2025-03-02 03:42:57.510,3238888
2025-03-02 03:42:57.713,3564564
2025-03-02 03:42:57.915,4395872
2025-03-02 03:42:58.119,4923748
2025-03-02 03:42:58.322,5431284
2025-03-02 03:42:58.528,5788508
2025-03-02 03:42:58.734,4512784
2025-03-02 03:42:58.942,548696
2025-03-02 03:42:59.150,468548
