Timestamp,Memory Usage (kB)
2025-03-02 03:38:13.813,27332
2025-03-02 03:38:14.022,44652
2025-03-02 03:38:14.225,64676
2025-03-02 03:38:14.427,91500
2025-03-02 03:38:14.632,661848
2025-03-02 03:38:14.839,1703952
2025-03-02 03:38:15.043,2045240
2025-03-02 03:38:15.245,2773040
2025-03-02 03:38:15.447,3179960
2025-03-02 03:38:15.649,3237864
2025-03-02 03:38:15.851,3666500
2025-03-02 03:38:16.056,4388712
2025-03-02 03:38:16.261,4929080
2025-03-02 03:38:16.463,5444656
2025-03-02 03:38:16.665,5626112
2025-03-02 03:38:16.873,2799944
2025-03-02 03:38:17.075,250832
