Timestamp,Minor Page Faults,Major Page Faults
2025-03-02 03:34:00.110,791,0
2025-03-02 03:34:00.314,4885,0
2025-03-02 03:34:00.524,10351,0
2025-03-02 03:34:00.730,15628,0
2025-03-02 03:34:00.939,24126,0
2025-03-02 03:34:01.143,24773,0
2025-03-02 03:34:01.345,24935,0
2025-03-02 03:34:01.547,25617,0
2025-03-02 03:34:01.750,26036,0
2025-03-02 03:34:01.953,26036,0
2025-03-02 03:34:02.156,110446,0
2025-03-02 03:34:02.358,251674,0
2025-03-02 03:34:02.560,379605,0
2025-03-02 03:34:02.764,523004,0
2025-03-02 03:34:02.967,637753,0
2025-03-02 03:34:03.173,661669,0
