Timestamp,Minor Page Faults,Major Page Faults
2025-03-02 03:47:30.356,769,0
2025-03-02 03:47:30.560,4905,0
2025-03-02 03:47:30.770,10127,0
2025-03-02 03:47:30.976,16364,0
2025-03-02 03:47:31.183,23261,0
2025-03-02 03:47:31.386,24663,0
2025-03-02 03:47:31.589,24943,0
2025-03-02 03:47:31.794,25349,0
2025-03-02 03:47:32.001,26046,0
2025-03-02 03:47:32.208,26046,0
2025-03-02 03:47:32.411,81522,0
2025-03-02 03:47:32.614,212594,0
2025-03-02 03:47:32.820,356906,0
2025-03-02 03:47:33.023,513627,0
2025-03-02 03:47:33.227,628244,0
2025-03-02 03:47:33.434,718470,0
