Timestamp,Minor Page Faults,Major Page Faults
2025-03-02 03:39:23.942,948,0
2025-03-02 03:39:24.149,5106,0
2025-03-02 03:39:24.356,12045,0
2025-03-02 03:39:24.558,20593,0
2025-03-02 03:39:24.762,24755,0
2025-03-02 03:39:24.964,25004,0
2025-03-02 03:39:25.167,25912,0
2025-03-02 03:39:25.369,87107,0
2025-03-02 03:39:25.572,211027,0
2025-03-02 03:39:25.775,211027,0
2025-03-02 03:39:25.981,211027,0
2025-03-02 03:39:26.183,211027,0
2025-03-02 03:39:26.385,211027,0
2025-03-02 03:39:26.587,211027,0
2025-03-02 03:39:26.789,211027,0
2025-03-02 03:39:26.994,211027,0
2025-03-02 03:39:27.196,385288,0
2025-03-02 03:39:27.399,559033,0
2025-03-02 03:39:27.602,684870,0
2025-03-02 03:39:27.810,785577,0
2025-03-02 03:39:28.012,906048,0
2025-03-02 03:39:28.215,977221,0
