Timestamp,Minor Page Faults,Major Page Faults
2025-03-02 03:56:24.628,665,0
2025-03-02 03:56:24.832,4989,0
2025-03-02 03:56:25.034,11754,0
2025-03-02 03:56:25.237,19453,0
2025-03-02 03:56:25.439,24332,0
2025-03-02 03:56:25.643,24558,0
2025-03-02 03:56:25.849,24860,0
2025-03-02 03:56:26.052,30984,0
2025-03-02 03:56:26.254,106097,0
2025-03-02 03:56:26.456,159331,0
2025-03-02 03:56:26.663,159331,0
2025-03-02 03:56:26.868,349148,0
2025-03-02 03:56:27.070,533457,0
2025-03-02 03:56:27.277,645780,0
2025-03-02 03:56:27.482,760996,0
2025-03-02 03:56:27.685,870573,0
2025-03-02 03:56:27.892,925131,0
2025-03-02 03:56:28.095,925795,0
