Timestamp,Minor Page Faults,Major Page Faults
2025-03-02 03:49:18.586,588,0
2025-03-02 03:49:18.790,4815,0
2025-03-02 03:49:18.993,10975,0
2025-03-02 03:49:19.196,18070,0
2025-03-02 03:49:19.400,24312,0
2025-03-02 03:49:19.602,24543,0
2025-03-02 03:49:19.808,24862,0
2025-03-02 03:49:20.011,25370,0
2025-03-02 03:49:20.212,25964,0
2025-03-02 03:49:20.415,25964,0
2025-03-02 03:49:20.622,119457,0
2025-03-02 03:49:20.827,236456,0
2025-03-02 03:49:21.032,409699,0
2025-03-02 03:49:21.235,551162,0
2025-03-02 03:49:21.440,661603,0
2025-03-02 03:49:21.646,722982,0
