Timestamp,Memory Usage (kB)
2025-03-05 03:20:14.874,29376
2025-03-05 03:20:14.886,28788
2025-03-05 03:20:14.899,34840
2025-03-05 03:20:14.911,35616
2025-03-05 03:20:14.922,36556
2025-03-05 03:20:14.937,36932
2025-03-05 03:20:14.949,36008
2025-03-05 03:20:14.959,40908
2025-03-05 03:20:14.972,39236
2025-03-05 03:20:14.985,41460
2025-03-05 03:20:15.002,40504
2025-03-05 03:20:15.017,41168
2025-03-05 03:20:15.033,40948
2025-03-05 03:20:15.045,41576
2025-03-05 03:20:15.058,44024
2025-03-05 03:20:15.069,42672
2025-03-05 03:20:15.082,42820
2025-03-05 03:20:15.095,42640
2025-03-05 03:20:15.110,45744
2025-03-05 03:20:15.121,49468
2025-03-05 03:20:15.134,49152
2025-03-05 03:20:15.148,51412
2025-03-05 03:20:15.160,49988
2025-03-05 03:20:15.172,52200
2025-03-05 03:20:15.185,52552
2025-03-05 03:20:15.196,52372
2025-03-05 03:20:15.210,50800
2025-03-05 03:20:15.222,50344
2025-03-05 03:20:15.233,50188
2025-03-05 03:20:15.246,52936
2025-03-05 03:20:15.257,52320
2025-03-05 03:20:15.270,52756
2025-03-05 03:20:15.284,51896
2025-03-05 03:20:15.296,52636
2025-03-05 03:20:15.307,52748
2025-03-05 03:20:15.323,55860
2025-03-05 03:20:15.335,58812
2025-03-05 03:20:15.348,58780
2025-03-05 03:20:15.360,58132
2025-03-05 03:20:15.370,60484
2025-03-05 03:20:15.383,67944
2025-03-05 03:20:15.397,69340
2025-03-05 03:20:15.408,70924
2025-03-05 03:20:15.421,70836
2025-03-05 03:20:15.435,72584
2025-03-05 03:20:15.446,71300
2025-03-05 03:20:15.462,71236
2025-03-05 03:20:15.473,70744
2025-03-05 03:20:15.484,73584
2025-03-05 03:20:15.495,73688
2025-03-05 03:20:15.507,72860
2025-03-05 03:20:15.521,74816
2025-03-05 03:20:15.533,73704
2025-03-05 03:20:15.549,74556
2025-03-05 03:20:15.564,75408
2025-03-05 03:20:15.579,76796
2025-03-05 03:20:15.594,77628
2025-03-05 03:20:15.606,78512
2025-03-05 03:20:15.622,81308
2025-03-05 03:20:15.632,86828
2025-03-05 03:20:15.643,85336
2025-03-05 03:20:15.657,88036
2025-03-05 03:20:15.671,87304
2025-03-05 03:20:15.685,95772
2025-03-05 03:20:15.696,94044
2025-03-05 03:20:15.706,94324
2025-03-05 03:20:15.717,97684
2025-03-05 03:20:15.733,98220
2025-03-05 03:20:15.746,98608
2025-03-05 03:20:15.760,99320
2025-03-05 03:20:15.771,102748
2025-03-05 03:20:15.784,106168
2025-03-05 03:20:15.799,106812
2025-03-05 03:20:15.810,108032
2025-03-05 03:20:15.821,111676
2025-03-05 03:20:15.837,112304
2025-03-05 03:20:15.849,112336
2025-03-05 03:20:15.860,114772
2025-03-05 03:20:15.873,117496
2025-03-05 03:20:15.886,118340
2025-03-05 03:20:15.899,158952
2025-03-05 03:20:15.911,204828
2025-03-05 03:20:15.923,246652
2025-03-05 03:20:15.935,290212
2025-03-05 03:20:15.946,336748
2025-03-05 03:20:15.958,382400
2025-03-05 03:20:15.970,431092
2025-03-05 03:20:15.981,474984
2025-03-05 03:20:15.993,516388
2025-03-05 03:20:16.005,560852
2025-03-05 03:20:16.017,604304
2025-03-05 03:20:16.030,648348
2025-03-05 03:20:16.044,690908
2025-03-05 03:20:16.056,735468
2025-03-05 03:20:16.069,773520
2025-03-05 03:20:16.081,813324
2025-03-05 03:20:16.093,858760
2025-03-05 03:20:16.105,902320
2025-03-05 03:20:16.117,948692
2025-03-05 03:20:16.128,995640
2025-03-05 03:20:16.140,1040232
2025-03-05 03:20:16.151,1078740
2025-03-05 03:20:16.162,1118512
2025-03-05 03:20:16.174,1156288
2025-03-05 03:20:16.186,1200880
2025-03-05 03:20:16.198,1250852
2025-03-05 03:20:16.210,1301056
2025-03-05 03:20:16.223,1352096
2025-03-05 03:20:16.235,1398568
2025-03-05 03:20:16.246,1440160
2025-03-05 03:20:16.258,1486792
2025-03-05 03:20:16.270,1532744
2025-03-05 03:20:16.282,1575800
2025-03-05 03:20:16.293,1616524
2025-03-05 03:20:16.305,1666112
2025-03-05 03:20:16.317,1715740
2025-03-05 03:20:16.331,1714752
2025-03-05 03:20:16.342,1715216
2025-03-05 03:20:16.353,1713664
2025-03-05 03:20:16.368,1714436
2025-03-05 03:20:16.379,1717300
2025-03-05 03:20:16.391,1715396
2025-03-05 03:20:16.402,1714636
2025-03-05 03:20:16.414,1713948
2025-03-05 03:20:16.428,1714024
2025-03-05 03:20:16.439,1716848
2025-03-05 03:20:16.451,1716248
2025-03-05 03:20:16.464,1714200
2025-03-05 03:20:16.475,1713576
2025-03-05 03:20:16.486,1713388
2025-03-05 03:20:16.501,1713244
2025-03-05 03:20:16.512,1713108
2025-03-05 03:20:16.526,1715716
2025-03-05 03:20:16.538,1715312
2025-03-05 03:20:16.551,1719768
2025-03-05 03:20:16.578,1722320
2025-03-05 03:20:16.589,1728668
2025-03-05 03:20:16.600,1740076
2025-03-05 03:20:16.612,1762976
2025-03-05 03:20:16.625,1788832
2025-03-05 03:20:16.636,1821916
2025-03-05 03:20:16.647,1850252
2025-03-05 03:20:16.662,1897404
2025-03-05 03:20:16.681,1951688
2025-03-05 03:20:16.700,2009720
2025-03-05 03:20:16.713,2025916
2025-03-05 03:20:16.731,2073536
2025-03-05 03:20:16.743,2093448
2025-03-05 03:20:16.756,2154080
2025-03-05 03:20:16.766,2218144
2025-03-05 03:20:16.778,2275868
2025-03-05 03:20:16.790,2336044
2025-03-05 03:20:16.801,2397476
2025-03-05 03:20:16.813,2451916
2025-03-05 03:20:16.827,2505248
2025-03-05 03:20:16.838,2531624
2025-03-05 03:20:16.852,2544136
2025-03-05 03:20:16.866,2545776
2025-03-05 03:20:16.880,2545620
2025-03-05 03:20:16.893,2545712
2025-03-05 03:20:16.908,2554460
2025-03-05 03:20:16.922,2590944
2025-03-05 03:20:16.937,2629120
2025-03-05 03:20:16.948,2670432
2025-03-05 03:20:16.960,2675136
2025-03-05 03:20:16.976,2678384
2025-03-05 03:20:16.988,2726676
2025-03-05 03:20:17.001,2740616
2025-03-05 03:20:17.013,2743456
2025-03-05 03:20:17.030,2750968
2025-03-05 03:20:17.042,2778064
2025-03-05 03:20:17.054,2804076
2025-03-05 03:20:17.067,2806468
2025-03-05 03:20:17.080,2806964
2025-03-05 03:20:17.098,2818488
2025-03-05 03:20:17.113,2862452
2025-03-05 03:20:17.125,2871832
2025-03-05 03:20:17.137,2871984
2025-03-05 03:20:17.150,2882820
2025-03-05 03:20:17.161,2924268
2025-03-05 03:20:17.175,2938824
2025-03-05 03:20:17.186,2939176
2025-03-05 03:20:17.205,2990932
2025-03-05 03:20:17.216,3002040
2025-03-05 03:20:17.227,3003368
2025-03-05 03:20:17.237,3011092
2025-03-05 03:20:17.249,3045932
2025-03-05 03:20:17.259,3068508
2025-03-05 03:20:17.273,3082556
2025-03-05 03:20:17.284,3116504
2025-03-05 03:20:17.295,3134776
2025-03-05 03:20:17.306,3136628
2025-03-05 03:20:17.317,3157740
2025-03-05 03:20:17.328,3193312
2025-03-05 03:20:17.344,3200964
2025-03-05 03:20:17.354,3200576
2025-03-05 03:20:17.365,3231180
2025-03-05 03:20:17.376,3258984
2025-03-05 03:20:17.388,3268068
2025-03-05 03:20:17.403,3278472
2025-03-05 03:20:17.416,3276560
2025-03-05 03:20:17.432,3276420
2025-03-05 03:20:17.444,3275964
2025-03-05 03:20:17.460,3276320
2025-03-05 03:20:17.472,3276164
