Timestamp,Minor Page Faults,Major Page Faults
2025-03-05 03:17:48.079,5312,0
2025-03-05 03:17:48.094,7362,0
2025-03-05 03:17:48.109,8170,0
2025-03-05 03:17:48.122,8195,0
2025-03-05 03:17:48.139,8206,0
2025-03-05 03:17:48.154,8208,0
2025-03-05 03:17:48.171,8303,0
2025-03-05 03:17:48.183,8355,0
2025-03-05 03:17:48.199,8534,0
2025-03-05 03:17:48.211,8567,0
2025-03-05 03:17:48.227,8648,0
2025-03-05 03:17:48.242,8827,0
2025-03-05 03:17:48.258,9150,0
2025-03-05 03:17:48.270,9184,0
2025-03-05 03:17:48.283,9340,0
2025-03-05 03:17:48.295,9916,0
2025-03-05 03:17:48.309,10282,0
2025-03-05 03:17:48.325,10909,0
2025-03-05 03:17:48.338,11722,0
2025-03-05 03:17:48.350,13369,0
2025-03-05 03:17:48.364,13618,0
2025-03-05 03:17:48.378,13860,0
2025-03-05 03:17:48.392,14633,0
2025-03-05 03:17:48.407,14703,0
2025-03-05 03:17:48.423,14705,0
2025-03-05 03:17:48.436,14710,0
2025-03-05 03:17:48.450,14712,0
2025-03-05 03:17:48.461,14729,0
2025-03-05 03:17:48.474,15090,0
2025-03-05 03:17:48.488,15216,0
2025-03-05 03:17:48.499,15384,0
2025-03-05 03:17:48.512,16166,0
2025-03-05 03:17:48.524,16504,0
2025-03-05 03:17:48.536,16674,0
2025-03-05 03:17:48.551,16903,0
2025-03-05 03:17:48.566,17773,0
2025-03-05 03:17:48.582,19018,0
2025-03-05 03:17:48.594,19589,0
2025-03-05 03:17:48.609,20113,0
2025-03-05 03:17:48.623,21041,0
2025-03-05 03:17:48.635,21618,0
2025-03-05 03:17:48.648,21739,0
2025-03-05 03:17:48.662,22138,0
2025-03-05 03:17:48.676,22552,0
2025-03-05 03:17:48.690,22964,0
2025-03-05 03:17:48.706,23513,0
2025-03-05 03:17:48.719,24785,0
2025-03-05 03:17:48.730,25145,0
2025-03-05 03:17:48.749,25468,0
2025-03-05 03:17:48.760,25691,0
2025-03-05 03:17:48.771,25926,0
2025-03-05 03:17:48.786,26334,0
2025-03-05 03:17:48.803,26649,0
2025-03-05 03:17:48.817,26649,0
2025-03-05 03:17:48.829,27141,0
2025-03-05 03:17:48.841,27151,0
2025-03-05 03:17:48.853,27161,0
2025-03-05 03:17:48.865,27169,0
2025-03-05 03:17:48.878,27180,0
2025-03-05 03:17:48.893,27190,0
2025-03-05 03:17:48.907,27201,0
2025-03-05 03:17:48.921,27211,0
2025-03-05 03:17:48.934,27221,0
2025-03-05 03:17:48.946,27231,0
2025-03-05 03:17:48.958,27241,0
2025-03-05 03:17:48.970,27251,0
2025-03-05 03:17:48.982,27261,0
2025-03-05 03:17:48.994,27272,0
2025-03-05 03:17:49.006,27283,0
2025-03-05 03:17:49.019,27296,0
2025-03-05 03:17:49.032,27308,0
2025-03-05 03:17:49.045,27320,0
2025-03-05 03:17:49.058,27330,0
2025-03-05 03:17:49.070,27340,0
2025-03-05 03:17:49.082,27351,0
2025-03-05 03:17:49.094,27361,0
2025-03-05 03:17:49.106,27372,0
2025-03-05 03:17:49.118,27382,0
2025-03-05 03:17:49.130,27392,0
2025-03-05 03:17:49.142,27402,0
