Timestamp,Memory Usage (kB)
2025-03-05 03:49:27.894,29568
2025-03-05 03:49:27.905,31624
2025-03-05 03:49:27.919,33020
2025-03-05 03:49:27.930,38064
2025-03-05 03:49:27.943,39940
2025-03-05 03:49:27.957,37592
2025-03-05 03:49:27.968,37584
2025-03-05 03:49:27.983,37660
2025-03-05 03:49:27.994,40772
2025-03-05 03:49:28.005,47120
2025-03-05 03:49:28.020,37548
2025-03-05 03:49:28.031,41532
2025-03-05 03:49:28.044,39552
2025-03-05 03:49:28.059,39456
2025-03-05 03:49:28.071,42728
2025-03-05 03:49:28.083,40232
2025-03-05 03:49:28.097,40960
2025-03-05 03:49:28.111,43452
2025-03-05 03:49:28.127,42496
2025-03-05 03:49:28.147,43532
2025-03-05 03:49:28.160,47072
2025-03-05 03:49:28.174,48804
2025-03-05 03:49:28.186,49972
2025-03-05 03:49:28.200,48940
2025-03-05 03:49:28.211,49832
2025-03-05 03:49:28.226,52028
2025-03-05 03:49:28.242,50004
2025-03-05 03:49:28.253,52148
2025-03-05 03:49:28.269,54788
2025-03-05 03:49:28.282,54220
2025-03-05 03:49:28.295,53012
2025-03-05 03:49:28.306,55228
2025-03-05 03:49:28.320,53568
2025-03-05 03:49:28.331,53564
2025-03-05 03:49:28.347,54024
2025-03-05 03:49:28.360,54308
2025-03-05 03:49:28.374,54000
2025-03-05 03:49:28.387,55092
2025-03-05 03:49:28.399,54488
2025-03-05 03:49:28.413,56684
2025-03-05 03:49:28.425,58568
2025-03-05 03:49:28.439,54860
2025-03-05 03:49:28.451,54084
2025-03-05 03:49:28.466,58300
2025-03-05 03:49:28.480,58996
2025-03-05 03:49:28.491,56796
2025-03-05 03:49:28.505,60192
2025-03-05 03:49:28.521,60436
2025-03-05 03:49:28.534,66636
2025-03-05 03:49:28.545,74156
2025-03-05 03:49:28.559,69160
2025-03-05 03:49:28.573,69512
2025-03-05 03:49:28.584,70104
2025-03-05 03:49:28.596,70676
2025-03-05 03:49:28.611,68884
2025-03-05 03:49:28.622,73380
2025-03-05 03:49:28.634,75108
2025-03-05 03:49:28.647,74952
2025-03-05 03:49:28.658,76032
2025-03-05 03:49:28.670,72900
2025-03-05 03:49:28.681,77424
2025-03-05 03:49:28.696,77528
2025-03-05 03:49:28.708,73584
2025-03-05 03:49:28.719,75144
2025-03-05 03:49:28.731,74944
2025-03-05 03:49:28.747,75336
2025-03-05 03:49:28.759,76104
2025-03-05 03:49:28.772,75140
2025-03-05 03:49:28.783,78612
2025-03-05 03:49:28.796,82272
2025-03-05 03:49:28.810,82000
2025-03-05 03:49:28.823,83904
2025-03-05 03:49:28.836,84220
2025-03-05 03:49:28.848,86236
2025-03-05 03:49:28.859,86084
2025-03-05 03:49:28.873,88688
2025-03-05 03:49:28.887,91772
2025-03-05 03:49:28.899,96880
2025-03-05 03:49:28.913,95528
2025-03-05 03:49:28.924,98168
2025-03-05 03:49:28.939,100064
2025-03-05 03:49:28.950,97992
2025-03-05 03:49:28.961,98500
2025-03-05 03:49:28.974,99312
2025-03-05 03:49:28.989,100116
2025-03-05 03:49:29.000,105508
2025-03-05 03:49:29.011,107036
2025-03-05 03:49:29.026,109880
