Timestamp,Minor Page Faults,Major Page Faults
2025-03-05 03:43:18.040,4386,0
2025-03-05 03:43:18.052,4593,0
2025-03-05 03:43:18.067,4604,0
2025-03-05 03:43:18.084,4751,0
2025-03-05 03:43:18.096,4878,0
2025-03-05 03:43:18.114,7366,0
2025-03-05 03:43:18.131,8017,0
2025-03-05 03:43:18.143,8040,0
2025-03-05 03:43:18.156,8052,0
2025-03-05 03:43:18.170,8185,0
2025-03-05 03:43:18.184,8208,0
2025-03-05 03:43:18.203,8293,0
2025-03-05 03:43:18.214,8379,0
2025-03-05 03:43:18.226,8380,0
2025-03-05 03:43:18.244,8736,0
2025-03-05 03:43:18.259,8793,0
2025-03-05 03:43:18.272,8819,0
2025-03-05 03:43:18.289,9010,0
2025-03-05 03:43:18.302,9055,0
2025-03-05 03:43:18.317,9368,0
2025-03-05 03:43:18.329,9393,0
2025-03-05 03:43:18.342,9511,0
2025-03-05 03:43:18.359,10138,0
2025-03-05 03:43:18.374,10482,0
2025-03-05 03:43:18.386,10599,0
2025-03-05 03:43:18.402,11426,0
2025-03-05 03:43:18.418,11982,0
2025-03-05 03:43:18.429,13597,0
2025-03-05 03:43:18.440,13672,0
2025-03-05 03:43:18.455,14043,0
2025-03-05 03:43:18.471,14083,0
2025-03-05 03:43:18.487,14843,0
2025-03-05 03:43:18.504,14926,0
2025-03-05 03:43:18.518,14926,0
2025-03-05 03:43:18.530,14933,0
2025-03-05 03:43:18.547,14933,0
2025-03-05 03:43:18.566,14950,0
2025-03-05 03:43:18.579,14997,0
2025-03-05 03:43:18.591,15341,0
2025-03-05 03:43:18.608,15596,0
2025-03-05 03:43:18.622,16157,0
2025-03-05 03:43:18.635,16348,0
2025-03-05 03:43:18.651,16753,0
2025-03-05 03:43:18.667,17049,0
2025-03-05 03:43:18.683,17219,0
2025-03-05 03:43:18.696,17534,0
2025-03-05 03:43:18.713,18781,0
2025-03-05 03:43:18.725,18866,0
2025-03-05 03:43:18.737,19077,0
2025-03-05 03:43:18.749,19648,0
2025-03-05 03:43:18.767,20948,0
2025-03-05 03:43:18.784,21821,0
2025-03-05 03:43:18.796,21899,0
2025-03-05 03:43:18.814,22330,0
2025-03-05 03:43:18.827,22603,0
2025-03-05 03:43:18.844,22932,0
2025-03-05 03:43:18.857,23278,0
2025-03-05 03:43:18.869,24045,0
2025-03-05 03:43:18.884,25118,0
2025-03-05 03:43:18.896,25353,0
2025-03-05 03:43:18.911,25603,0
2025-03-05 03:43:18.925,25808,0
2025-03-05 03:43:18.937,26047,0
2025-03-05 03:43:18.950,26226,0
2025-03-05 03:43:18.962,26414,0
2025-03-05 03:43:18.981,26842,0
2025-03-05 03:43:18.994,26876,0
2025-03-05 03:43:19.007,26963,0
2025-03-05 03:43:19.020,26969,0
2025-03-05 03:43:19.032,26978,0
2025-03-05 03:43:19.046,26990,0
2025-03-05 03:43:19.059,26998,0
2025-03-05 03:43:19.071,27006,0
2025-03-05 03:43:19.084,27018,0
