Timestamp,Memory Usage (kB)
2025-05-09 03:05:31.551,27896
2025-05-09 03:05:31.565,33232
2025-05-09 03:05:31.579,35596
2025-05-09 03:05:31.592,39368
2025-05-09 03:05:31.604,39460
2025-05-09 03:05:31.616,38812
2025-05-09 03:05:31.629,39248
2025-05-09 03:05:31.641,43396
2025-05-09 03:05:31.653,44188
2025-05-09 03:05:31.665,45544
2025-05-09 03:05:31.677,44656
2025-05-09 03:05:31.689,45188
2025-05-09 03:05:31.701,45612
2025-05-09 03:05:31.713,41736
2025-05-09 03:05:31.727,46896
2025-05-09 03:05:31.739,47072
2025-05-09 03:05:31.752,48992
2025-05-09 03:05:31.765,47544
2025-05-09 03:05:31.778,49944
2025-05-09 03:05:31.791,51188
2025-05-09 03:05:31.804,51096
2025-05-09 03:05:31.816,59964
2025-05-09 03:05:31.828,57464
2025-05-09 03:05:31.840,58532
2025-05-09 03:05:31.852,58220
2025-05-09 03:05:31.864,56132
2025-05-09 03:05:31.877,59608
2025-05-09 03:05:31.889,59844
2025-05-09 03:05:31.901,59820
2025-05-09 03:05:31.918,58676
2025-05-09 03:05:31.933,59224
2025-05-09 03:05:31.947,60712
2025-05-09 03:05:31.963,64716
2025-05-09 03:05:31.983,68696
2025-05-09 03:05:31.999,72992
2025-05-09 03:05:32.012,76712
2025-05-09 03:05:32.024,75536
2025-05-09 03:05:32.036,72976
2025-05-09 03:05:32.048,77256
2025-05-09 03:05:32.061,77620
2025-05-09 03:05:32.074,82544
2025-05-09 03:05:32.086,81136
2025-05-09 03:05:32.099,80788
2025-05-09 03:05:32.112,83216
2025-05-09 03:05:32.124,84772
2025-05-09 03:05:32.137,84772
2025-05-09 03:05:32.151,87884
2025-05-09 03:05:32.162,89464
2025-05-09 03:05:32.174,90888
2025-05-09 03:05:32.186,90828
2025-05-09 03:05:32.208,97896
2025-05-09 03:05:32.230,99868
2025-05-09 03:05:32.242,101504
2025-05-09 03:05:32.255,106976
2025-05-09 03:05:32.267,109972
2025-05-09 03:05:32.279,113936
2025-05-09 03:05:32.292,112028
2025-05-09 03:05:32.304,116644
2025-05-09 03:05:32.316,118064
2025-05-09 03:05:32.328,123348
2025-05-09 03:05:32.340,123620
2025-05-09 03:05:32.353,126016
2025-05-09 03:05:32.365,126768
2025-05-09 03:05:32.378,123852
2025-05-09 03:05:32.390,127372
2025-05-09 03:05:32.403,133232
2025-05-09 03:05:32.425,134768
2025-05-09 03:05:32.438,134664
2025-05-09 03:05:32.451,140640
2025-05-09 03:05:32.464,141156
2025-05-09 03:05:32.476,140452
2025-05-09 03:05:32.488,142684
2025-05-09 03:05:32.500,139772
2025-05-09 03:05:32.512,147496
2025-05-09 03:05:32.524,150736
2025-05-09 03:05:32.536,152560
2025-05-09 03:05:32.549,148344
2025-05-09 03:05:32.561,152860
2025-05-09 03:05:32.573,155264
2025-05-09 03:05:32.585,158748
2025-05-09 03:05:32.597,159660
2025-05-09 03:05:32.609,159968
2025-05-09 03:05:32.622,158624
2025-05-09 03:05:32.634,163552
2025-05-09 03:05:32.647,164508
2025-05-09 03:05:32.658,166864
2025-05-09 03:05:32.671,168956
2025-05-09 03:05:32.683,167020
2025-05-09 03:05:32.695,173068
2025-05-09 03:05:32.708,174868
2025-05-09 03:05:32.720,172260
2025-05-09 03:05:32.733,176272
2025-05-09 03:05:32.746,180136
2025-05-09 03:05:32.758,181028
2025-05-09 03:05:32.771,181548
2025-05-09 03:05:32.785,187820
2025-05-09 03:05:32.800,190036
2025-05-09 03:05:32.813,190776
2025-05-09 03:05:32.825,192948
2025-05-09 03:05:32.837,190440
