Timestamp,Memory Usage (kB)
2025-05-09 03:46:28.670,29052
2025-05-09 03:46:28.692,27472
2025-05-09 03:46:28.713,28336
2025-05-09 03:46:28.730,30260
2025-05-09 03:46:28.744,35048
2025-05-09 03:46:28.758,36732
2025-05-09 03:46:28.781,33996
2025-05-09 03:46:28.814,34032
2025-05-09 03:46:28.827,33804
2025-05-09 03:46:28.844,35808
2025-05-09 03:46:28.869,34632
2025-05-09 03:46:28.881,35524
2025-05-09 03:46:28.900,38124
2025-05-09 03:46:28.920,38200
2025-05-09 03:46:28.961,43676
2025-05-09 03:46:28.974,41116
2025-05-09 03:46:28.988,41116
2025-05-09 03:46:29.001,40100
2025-05-09 03:46:29.015,40120
2025-05-09 03:46:29.034,39672
2025-05-09 03:46:29.052,40452
2025-05-09 03:46:29.066,40648
2025-05-09 03:46:29.078,38940
2025-05-09 03:46:29.102,39820
2025-05-09 03:46:29.120,40120
2025-05-09 03:46:29.140,40188
2025-05-09 03:46:29.162,42224
2025-05-09 03:46:29.185,40412
2025-05-09 03:46:29.200,39860
2025-05-09 03:46:29.216,40476
2025-05-09 03:46:29.234,41052
2025-05-09 03:46:29.250,41212
2025-05-09 03:46:29.266,43084
2025-05-09 03:46:29.283,41328
2025-05-09 03:46:29.300,43400
2025-05-09 03:46:29.318,41000
2025-05-09 03:46:29.332,43420
2025-05-09 03:46:29.352,43572
2025-05-09 03:46:29.365,43604
2025-05-09 03:46:29.386,44112
2025-05-09 03:46:29.398,41772
2025-05-09 03:46:29.410,43768
2025-05-09 03:46:29.429,46328
2025-05-09 03:46:29.442,43920
2025-05-09 03:46:29.461,44696
2025-05-09 03:46:29.481,43820
2025-05-09 03:46:29.494,46340
2025-05-09 03:46:29.515,43484
2025-05-09 03:46:29.531,45256
2025-05-09 03:46:29.548,44976
2025-05-09 03:46:29.562,44496
2025-05-09 03:46:29.575,46848
2025-05-09 03:46:29.591,46564
2025-05-09 03:46:29.611,46748
2025-05-09 03:46:29.628,48708
2025-05-09 03:46:29.647,46572
2025-05-09 03:46:29.675,55792
2025-05-09 03:46:29.687,49084
2025-05-09 03:46:29.706,53712
2025-05-09 03:46:29.719,53940
2025-05-09 03:46:29.732,55204
2025-05-09 03:46:29.750,55956
2025-05-09 03:46:29.766,55224
2025-05-09 03:46:29.779,56596
2025-05-09 03:46:29.798,54084
2025-05-09 03:46:29.814,54248
2025-05-09 03:46:29.827,54196
2025-05-09 03:46:29.845,54924
2025-05-09 03:46:29.860,54728
2025-05-09 03:46:29.874,55556
2025-05-09 03:46:29.890,57312
2025-05-09 03:46:29.909,56464
2025-05-09 03:46:29.926,54088
2025-05-09 03:46:29.939,57052
2025-05-09 03:46:29.957,55508
2025-05-09 03:46:29.974,54608
2025-05-09 03:46:29.997,55880
2025-05-09 03:46:30.013,55908
2025-05-09 03:46:30.026,59652
2025-05-09 03:46:30.040,57392
2025-05-09 03:46:30.054,58500
2025-05-09 03:46:30.070,60376
2025-05-09 03:46:30.083,58456
2025-05-09 03:46:30.100,60544
2025-05-09 03:46:30.115,59164
2025-05-09 03:46:30.129,59276
2025-05-09 03:46:30.147,63116
2025-05-09 03:46:30.162,63200
2025-05-09 03:46:30.178,63340
