Timestamp,Memory Usage (kB)
2025-05-09 03:31:12.932,27104
2025-05-09 03:31:12.945,32896
2025-05-09 03:31:12.958,31608
2025-05-09 03:31:12.971,37312
2025-05-09 03:31:12.985,41880
2025-05-09 03:31:12.997,41792
2025-05-09 03:31:13.010,49184
2025-05-09 03:31:13.025,48540
2025-05-09 03:31:13.038,50428
2025-05-09 03:31:13.050,55036
2025-05-09 03:31:13.063,55864
2025-05-09 03:31:13.075,52576
2025-05-09 03:31:13.087,54492
2025-05-09 03:31:13.099,55672
2025-05-09 03:31:13.115,56452
2025-05-09 03:31:13.128,56668
2025-05-09 03:31:13.143,57948
2025-05-09 03:31:13.165,63524
2025-05-09 03:31:13.183,63968
2025-05-09 03:31:13.196,66796
2025-05-09 03:31:13.208,69192
2025-05-09 03:31:13.221,73940
2025-05-09 03:31:13.233,73888
2025-05-09 03:31:13.247,76968
2025-05-09 03:31:13.261,76504
2025-05-09 03:31:13.273,75316
2025-05-09 03:31:13.286,78912
2025-05-09 03:31:13.298,81180
2025-05-09 03:31:13.311,81868
2025-05-09 03:31:13.323,85532
2025-05-09 03:31:13.335,84456
2025-05-09 03:31:13.348,89596
2025-05-09 03:31:13.362,85116
2025-05-09 03:31:13.380,87824
2025-05-09 03:31:13.395,91364
2025-05-09 03:31:13.409,94976
2025-05-09 03:31:13.422,95812
2025-05-09 03:31:13.435,96016
2025-05-09 03:31:13.448,101756
2025-05-09 03:31:13.460,101272
2025-05-09 03:31:13.472,102428
2025-05-09 03:31:13.484,110356
2025-05-09 03:31:13.496,113044
2025-05-09 03:31:13.509,112992
2025-05-09 03:31:13.521,115460
2025-05-09 03:31:13.533,115820
2025-05-09 03:31:13.545,119916
2025-05-09 03:31:13.559,120316
2025-05-09 03:31:13.571,119300
2025-05-09 03:31:13.583,132192
2025-05-09 03:31:13.596,168188
2025-05-09 03:31:13.608,206468
2025-05-09 03:31:13.622,243496
2025-05-09 03:31:13.634,276736
2025-05-09 03:31:13.646,307628
2025-05-09 03:31:13.660,342404
2025-05-09 03:31:13.672,383096
2025-05-09 03:31:13.684,414780
2025-05-09 03:31:13.697,448792
2025-05-09 03:31:13.709,481308
2025-05-09 03:31:13.722,522056
2025-05-09 03:31:13.734,556296
2025-05-09 03:31:13.747,590164
2025-05-09 03:31:13.760,622492
2025-05-09 03:31:13.772,653856
2025-05-09 03:31:13.784,684692
2025-05-09 03:31:13.796,708888
2025-05-09 03:31:13.809,732792
2025-05-09 03:31:13.822,764916
2025-05-09 03:31:13.834,797028
2025-05-09 03:31:13.848,813716
2025-05-09 03:31:13.861,828732
2025-05-09 03:31:13.874,847612
2025-05-09 03:31:13.886,867828
2025-05-09 03:31:13.899,887276
2025-05-09 03:31:13.912,908916
2025-05-09 03:31:13.925,937744
2025-05-09 03:31:13.937,954436
2025-05-09 03:31:13.949,976976
2025-05-09 03:31:13.963,1000368
2025-05-09 03:31:13.976,1025608
2025-05-09 03:31:13.989,1053648
2025-05-09 03:31:14.003,1081488
2025-05-09 03:31:14.015,1103348
2025-05-09 03:31:14.027,1125424
2025-05-09 03:31:14.040,1149428
2025-05-09 03:31:14.052,1175384
2025-05-09 03:31:14.065,1192016
2025-05-09 03:31:14.077,1218968
2025-05-09 03:31:14.090,1243708
2025-05-09 03:31:14.103,1266040
2025-05-09 03:31:14.116,1290960
2025-05-09 03:31:14.128,1305964
2025-05-09 03:31:14.142,1325976
2025-05-09 03:31:14.156,1353288
2025-05-09 03:31:14.168,1380604
2025-05-09 03:31:14.180,1400856
2025-05-09 03:31:14.193,1427848
2025-05-09 03:31:14.205,1456740
2025-05-09 03:31:14.218,1487096
2025-05-09 03:31:14.230,1518692
2025-05-09 03:31:14.243,1548184
2025-05-09 03:31:14.256,1577172
2025-05-09 03:31:14.268,1601848
2025-05-09 03:31:14.280,1640668
2025-05-09 03:31:14.292,1676876
2025-05-09 03:31:14.305,1715148
2025-05-09 03:31:14.318,1717992
2025-05-09 03:31:14.332,1718080
2025-05-09 03:31:14.345,1717952
2025-05-09 03:31:14.360,1716824
2025-05-09 03:31:14.374,1718364
2025-05-09 03:31:14.387,1719244
2025-05-09 03:31:14.400,1716752
2025-05-09 03:31:14.413,1715876
2025-05-09 03:31:14.426,1716668
2025-05-09 03:31:14.439,1718564
2025-05-09 03:31:14.452,1718764
2025-05-09 03:31:14.464,1720552
2025-05-09 03:31:14.476,1717848
2025-05-09 03:31:14.488,1718436
2025-05-09 03:31:14.501,1718632
2025-05-09 03:31:14.513,1718280
2025-05-09 03:31:14.526,1718812
2025-05-09 03:31:14.539,1725268
2025-05-09 03:31:14.551,1763656
2025-05-09 03:31:14.564,1804860
2025-05-09 03:31:14.576,1846356
2025-05-09 03:31:14.588,1882832
2025-05-09 03:31:14.600,1921536
2025-05-09 03:31:14.612,1958736
2025-05-09 03:31:14.625,1991112
2025-05-09 03:31:14.637,2017056
2025-05-09 03:31:14.650,2043200
2025-05-09 03:31:14.662,2074428
2025-05-09 03:31:14.674,2111240
2025-05-09 03:31:14.688,2143028
2025-05-09 03:31:14.701,2176656
2025-05-09 03:31:14.714,2200728
2025-05-09 03:31:14.727,2218748
2025-05-09 03:31:14.740,2238552
2025-05-09 03:31:14.753,2264252
2025-05-09 03:31:14.767,2294672
2025-05-09 03:31:14.779,2320496
2025-05-09 03:31:14.794,2359568
2025-05-09 03:31:14.808,2392880
2025-05-09 03:31:14.821,2419200
2025-05-09 03:31:14.834,2449156
2025-05-09 03:31:14.848,2481184
2025-05-09 03:31:14.861,2514832
2025-05-09 03:31:14.873,2540284
2025-05-09 03:31:14.886,2572060
2025-05-09 03:31:14.899,2595816
2025-05-09 03:31:14.912,2621092
2025-05-09 03:31:14.925,2636004
