Timestamp,Memory Usage (kB)
2025-05-09 03:43:50.340,24268
2025-05-09 03:43:50.353,28736
2025-05-09 03:43:50.366,32316
2025-05-09 03:43:50.379,36212
2025-05-09 03:43:50.398,35412
2025-05-09 03:43:50.411,37228
2025-05-09 03:43:50.424,38888
2025-05-09 03:43:50.438,43896
2025-05-09 03:43:50.450,40568
2025-05-09 03:43:50.462,42332
2025-05-09 03:43:50.476,40960
2025-05-09 03:43:50.489,41392
2025-05-09 03:43:50.501,40328
2025-05-09 03:43:50.514,43412
2025-05-09 03:43:50.527,42788
2025-05-09 03:43:50.538,46332
2025-05-09 03:43:50.553,43248
2025-05-09 03:43:50.567,47236
2025-05-09 03:43:50.579,46740
2025-05-09 03:43:50.592,44732
2025-05-09 03:43:50.607,47404
2025-05-09 03:43:50.621,58704
2025-05-09 03:43:50.634,54740
2025-05-09 03:43:50.647,53652
2025-05-09 03:43:50.660,56448
2025-05-09 03:43:50.672,54788
2025-05-09 03:43:50.685,57116
2025-05-09 03:43:50.701,56468
2025-05-09 03:43:50.735,57756
2025-05-09 03:43:50.765,59268
2025-05-09 03:43:50.786,63860
2025-05-09 03:43:50.800,67196
2025-05-09 03:43:50.813,73008
2025-05-09 03:43:50.825,70976
2025-05-09 03:43:50.837,75768
2025-05-09 03:43:50.850,75400
2025-05-09 03:43:50.862,72944
2025-05-09 03:43:50.875,74556
2025-05-09 03:43:50.887,76212
2025-05-09 03:43:50.899,74956
2025-05-09 03:43:50.911,78812
2025-05-09 03:43:50.923,76804
2025-05-09 03:43:50.936,80020
2025-05-09 03:43:50.948,79468
2025-05-09 03:43:50.959,84208
2025-05-09 03:43:50.971,83524
2025-05-09 03:43:50.991,87060
2025-05-09 03:43:51.008,91812
2025-05-09 03:43:51.026,95532
2025-05-09 03:43:51.049,97176
2025-05-09 03:43:51.062,97828
2025-05-09 03:43:51.077,104848
2025-05-09 03:43:51.089,106020
2025-05-09 03:43:51.101,108320
2025-05-09 03:43:51.114,112676
2025-05-09 03:43:51.126,109892
2025-05-09 03:43:51.140,112876
2025-05-09 03:43:51.153,116504
2025-05-09 03:43:51.166,114256
2025-05-09 03:43:51.178,118396
2025-05-09 03:43:51.191,121024
2025-05-09 03:43:51.204,118636
2025-05-09 03:43:51.216,121148
2025-05-09 03:43:51.228,122804
2025-05-09 03:43:51.241,122952
2025-05-09 03:43:51.255,123256
2025-05-09 03:43:51.268,143664
2025-05-09 03:43:51.282,175696
2025-05-09 03:43:51.298,216392
2025-05-09 03:43:51.312,234892
2025-05-09 03:43:51.324,263500
2025-05-09 03:43:51.337,295804
2025-05-09 03:43:51.349,327224
2025-05-09 03:43:51.362,360840
2025-05-09 03:43:51.374,398772
2025-05-09 03:43:51.387,421488
2025-05-09 03:43:51.398,455088
2025-05-09 03:43:51.412,490544
2025-05-09 03:43:51.425,520192
2025-05-09 03:43:51.438,550240
2025-05-09 03:43:51.450,584292
2025-05-09 03:43:51.463,614492
2025-05-09 03:43:51.475,648040
2025-05-09 03:43:51.487,674064
2025-05-09 03:43:51.499,718452
2025-05-09 03:43:51.511,768268
2025-05-09 03:43:51.523,810316
2025-05-09 03:43:51.535,835140
2025-05-09 03:43:51.547,866012
2025-05-09 03:43:51.560,891128
2025-05-09 03:43:51.572,921180
2025-05-09 03:43:51.584,943588
2025-05-09 03:43:51.598,973648
2025-05-09 03:43:51.610,1005520
2025-05-09 03:43:51.622,1036464
2025-05-09 03:43:51.634,1063788
2025-05-09 03:43:51.646,1095660
2025-05-09 03:43:51.662,1125892
2025-05-09 03:43:51.678,1161644
2025-05-09 03:43:51.690,1184968
2025-05-09 03:43:51.704,1204860
2025-05-09 03:43:51.716,1232364
2025-05-09 03:43:51.728,1265468
2025-05-09 03:43:51.740,1278532
2025-05-09 03:43:51.752,1322264
2025-05-09 03:43:51.764,1351636
2025-05-09 03:43:51.777,1378852
2025-05-09 03:43:51.789,1403988
2025-05-09 03:43:51.801,1427280
2025-05-09 03:43:51.814,1429800
2025-05-09 03:43:51.826,1458064
2025-05-09 03:43:51.840,1491380
2025-05-09 03:43:51.853,1523540
2025-05-09 03:43:51.869,1564060
2025-05-09 03:43:51.881,1595212
2025-05-09 03:43:51.893,1613972
