Timestamp,Memory Usage (kB)
2025-05-09 03:08:05.007,27568
2025-05-09 03:08:05.021,33156
2025-05-09 03:08:05.034,39384
2025-05-09 03:08:05.046,38820
2025-05-09 03:08:05.060,39604
2025-05-09 03:08:05.072,39432
2025-05-09 03:08:05.084,37960
2025-05-09 03:08:05.097,43164
2025-05-09 03:08:05.109,44288
2025-05-09 03:08:05.121,44356
2025-05-09 03:08:05.133,43436
2025-05-09 03:08:05.147,43600
2025-05-09 03:08:05.159,44660
2025-05-09 03:08:05.172,45200
2025-05-09 03:08:05.186,44776
2025-05-09 03:08:05.199,45756
2025-05-09 03:08:05.211,46504
2025-05-09 03:08:05.223,46452
2025-05-09 03:08:05.236,48268
2025-05-09 03:08:05.248,50796
2025-05-09 03:08:05.260,51388
2025-05-09 03:08:05.271,50600
2025-05-09 03:08:05.284,54860
2025-05-09 03:08:05.296,58220
2025-05-09 03:08:05.308,61184
2025-05-09 03:08:05.320,57428
2025-05-09 03:08:05.333,58616
2025-05-09 03:08:05.345,60308
2025-05-09 03:08:05.358,60692
2025-05-09 03:08:05.373,58356
2025-05-09 03:08:05.385,58832
2025-05-09 03:08:05.396,62004
2025-05-09 03:08:05.407,67292
2025-05-09 03:08:05.418,67184
2025-05-09 03:08:05.429,67556
2025-05-09 03:08:05.445,68472
2025-05-09 03:08:05.461,75124
2025-05-09 03:08:05.475,76304
2025-05-09 03:08:05.487,76712
2025-05-09 03:08:05.499,76048
2025-05-09 03:08:05.512,77428
2025-05-09 03:08:05.524,78512
2025-05-09 03:08:05.536,78244
2025-05-09 03:08:05.547,82408
2025-05-09 03:08:05.562,83724
2025-05-09 03:08:05.575,84656
2025-05-09 03:08:05.587,85596
2025-05-09 03:08:05.602,88896
2025-05-09 03:08:05.615,90804
2025-05-09 03:08:05.628,90988
2025-05-09 03:08:05.642,96996
2025-05-09 03:08:05.658,98140
2025-05-09 03:08:05.676,99416
2025-05-09 03:08:05.692,102508
2025-05-09 03:08:05.705,108496
2025-05-09 03:08:05.717,113436
2025-05-09 03:08:05.729,113492
2025-05-09 03:08:05.741,113892
2025-05-09 03:08:05.752,118008
2025-05-09 03:08:05.765,120128
2025-05-09 03:08:05.777,121640
2025-05-09 03:08:05.790,123528
2025-05-09 03:08:05.802,123672
2025-05-09 03:08:05.814,134072
2025-05-09 03:08:05.826,179432
2025-05-09 03:08:05.838,226028
2025-05-09 03:08:05.850,274756
2025-05-09 03:08:05.862,324368
2025-05-09 03:08:05.875,374316
2025-05-09 03:08:05.887,422784
2025-05-09 03:08:05.898,470324
2025-05-09 03:08:05.911,520428
2025-05-09 03:08:05.925,572896
2025-05-09 03:08:05.937,622132
