Timestamp,Memory Usage (kB)
2025-05-09 03:58:29.053,26040
2025-05-09 03:58:29.069,29892
2025-05-09 03:58:29.084,32660
2025-05-09 03:58:29.097,36208
2025-05-09 03:58:29.109,35824
2025-05-09 03:58:29.121,39360
2025-05-09 03:58:29.136,37588
2025-05-09 03:58:29.148,44808
2025-05-09 03:58:29.159,45040
2025-05-09 03:58:29.173,47864
2025-05-09 03:58:29.185,48292
2025-05-09 03:58:29.197,51016
2025-05-09 03:58:29.208,50392
2025-05-09 03:58:29.223,52736
2025-05-09 03:58:29.234,55128
2025-05-09 03:58:29.250,54452
2025-05-09 03:58:29.261,55132
2025-05-09 03:58:29.273,54516
2025-05-09 03:58:29.286,57236
2025-05-09 03:58:29.297,58112
2025-05-09 03:58:29.310,59012
2025-05-09 03:58:29.323,59328
2025-05-09 03:58:29.335,63116
2025-05-09 03:58:29.347,64580
2025-05-09 03:58:29.363,65072
2025-05-09 03:58:29.376,69020
2025-05-09 03:58:29.388,68520
2025-05-09 03:58:29.400,71588
2025-05-09 03:58:29.413,70244
2025-05-09 03:58:29.425,71480
2025-05-09 03:58:29.436,70988
2025-05-09 03:58:29.452,72804
2025-05-09 03:58:29.463,74512
2025-05-09 03:58:29.475,72468
2025-05-09 03:58:29.486,75596
2025-05-09 03:58:29.498,74580
2025-05-09 03:58:29.511,74384
2025-05-09 03:58:29.523,74868
2025-05-09 03:58:29.536,74740
2025-05-09 03:58:29.551,79504
2025-05-09 03:58:29.563,83596
2025-05-09 03:58:29.580,81352
2025-05-09 03:58:29.591,81748
2025-05-09 03:58:29.602,80724
2025-05-09 03:58:29.613,86292
2025-05-09 03:58:29.626,82616
2025-05-09 03:58:29.639,85628
2025-05-09 03:58:29.655,86232
2025-05-09 03:58:29.667,90224
2025-05-09 03:58:29.678,92552
2025-05-09 03:58:29.690,96984
2025-05-09 03:58:29.701,94188
2025-05-09 03:58:29.713,96056
2025-05-09 03:58:29.727,94252
2025-05-09 03:58:29.739,98292
2025-05-09 03:58:29.752,97860
2025-05-09 03:58:29.767,98256
2025-05-09 03:58:29.779,99744
2025-05-09 03:58:29.791,102700
2025-05-09 03:58:29.803,107080
2025-05-09 03:58:29.815,106800
2025-05-09 03:58:29.830,110456
2025-05-09 03:58:29.842,110076
2025-05-09 03:58:29.856,110876
2025-05-09 03:58:29.868,113456
2025-05-09 03:58:29.880,113432
2025-05-09 03:58:29.897,111436
2025-05-09 03:58:29.909,117324
2025-05-09 03:58:29.920,115540
2025-05-09 03:58:29.932,119332
2025-05-09 03:58:29.943,122996
2025-05-09 03:58:29.956,153112
2025-05-09 03:58:29.969,196004
2025-05-09 03:58:29.981,229888
2025-05-09 03:58:29.995,266988
2025-05-09 03:58:30.008,314916
2025-05-09 03:58:30.021,341156
2025-05-09 03:58:30.034,379012
2025-05-09 03:58:30.047,414672
2025-05-09 03:58:30.059,446612
2025-05-09 03:58:30.071,489892
2025-05-09 03:58:30.083,515960
2025-05-09 03:58:30.095,555128
2025-05-09 03:58:30.108,592748
2025-05-09 03:58:30.120,627704
2025-05-09 03:58:30.133,670080
2025-05-09 03:58:30.145,699712
2025-05-09 03:58:30.158,748792
2025-05-09 03:58:30.170,776112
2025-05-09 03:58:30.183,816600
2025-05-09 03:58:30.195,856556
2025-05-09 03:58:30.209,890832
2025-05-09 03:58:30.221,939472
2025-05-09 03:58:30.234,967940
2025-05-09 03:58:30.246,1002284
2025-05-09 03:58:30.259,1047796
2025-05-09 03:58:30.271,1074132
2025-05-09 03:58:30.284,1121564
2025-05-09 03:58:30.296,1155020
2025-05-09 03:58:30.309,1193484
2025-05-09 03:58:30.321,1222040
2025-05-09 03:58:30.334,1253928
2025-05-09 03:58:30.347,1298812
2025-05-09 03:58:30.359,1327068
2025-05-09 03:58:30.372,1371196
2025-05-09 03:58:30.385,1406068
2025-05-09 03:58:30.398,1441776
2025-05-09 03:58:30.412,1469200
2025-05-09 03:58:30.426,1496568
2025-05-09 03:58:30.438,1535248
2025-05-09 03:58:30.451,1557896
2025-05-09 03:58:30.464,1594868
2025-05-09 03:58:30.477,1613976
2025-05-09 03:58:30.491,1639032
2025-05-09 03:58:30.504,1659708
2025-05-09 03:58:30.516,1690196
2025-05-09 03:58:30.528,1709788
2025-05-09 03:58:30.542,1712992
2025-05-09 03:58:30.555,1714984
2025-05-09 03:58:30.571,1714816
2025-05-09 03:58:30.583,1715608
2025-05-09 03:58:30.594,1712520
2025-05-09 03:58:30.610,1715332
2025-05-09 03:58:30.624,1714492
2025-05-09 03:58:30.636,1713184
2025-05-09 03:58:30.648,1715292
2025-05-09 03:58:30.660,1713856
2025-05-09 03:58:30.675,1716412
2025-05-09 03:58:30.687,1714000
2025-05-09 03:58:30.699,1716124
2025-05-09 03:58:30.710,1716872
2025-05-09 03:58:30.725,1715548
2025-05-09 03:58:30.736,1715248
2025-05-09 03:58:30.747,1715560
2025-05-09 03:58:30.760,1717856
2025-05-09 03:58:30.773,1716084
2025-05-09 03:58:30.784,1714404
2025-05-09 03:58:30.801,1715480
2025-05-09 03:58:30.814,1742080
2025-05-09 03:58:30.825,1801444
2025-05-09 03:58:30.839,1849948
2025-05-09 03:58:30.851,1907568
2025-05-09 03:58:30.863,1949224
2025-05-09 03:58:30.876,2016364
2025-05-09 03:58:30.891,2076648
2025-05-09 03:58:30.903,2139712
2025-05-09 03:58:30.915,2174932
2025-05-09 03:58:30.927,2233568
2025-05-09 03:58:30.940,2280412
2025-05-09 03:58:30.956,2356236
2025-05-09 03:58:30.969,2405996
2025-05-09 03:58:30.980,2463128
2025-05-09 03:58:30.996,2525084
2025-05-09 03:58:31.007,2577020
2025-05-09 03:58:31.018,2620408
2025-05-09 03:58:31.031,2675256
2025-05-09 03:58:31.045,2738152
2025-05-09 03:58:31.060,2793220
2025-05-09 03:58:31.072,2858736
2025-05-09 03:58:31.085,2926008
2025-05-09 03:58:31.101,3000320
2025-05-09 03:58:31.113,3039028
2025-05-09 03:58:31.125,3106676
2025-05-09 03:58:31.136,3137484
2025-05-09 03:58:31.150,3196692
2025-05-09 03:58:31.162,3250608
2025-05-09 03:58:31.174,3251580
2025-05-09 03:58:31.187,3248936
2025-05-09 03:58:31.199,3249820
2025-05-09 03:58:31.216,3248640
2025-05-09 03:58:31.228,3249744
2025-05-09 03:58:31.240,3246504
2025-05-09 03:58:31.251,3250232
2025-05-09 03:58:31.262,3248532
2025-05-09 03:58:31.274,3250728
2025-05-09 03:58:31.285,3246820
2025-05-09 03:58:31.300,3249896
2025-05-09 03:58:31.311,3248052
2025-05-09 03:58:31.326,3247500
2025-05-09 03:58:31.337,3249032
2025-05-09 03:58:31.349,3249504
2025-05-09 03:58:31.362,3248936
2025-05-09 03:58:31.374,3249220
2025-05-09 03:58:31.385,3249496
2025-05-09 03:58:31.401,3246588
2025-05-09 03:58:31.412,3250444
2025-05-09 03:58:31.423,3248600
2025-05-09 03:58:31.438,3249936
2025-05-09 03:58:31.450,3247096
2025-05-09 03:58:31.464,3250000
2025-05-09 03:58:31.476,3247832
