Timestamp,Memory Usage (kB)
2025-05-09 03:42:06.022,27816
2025-05-09 03:42:06.035,33080
2025-05-09 03:42:06.049,35740
2025-05-09 03:42:06.062,38080
2025-05-09 03:42:06.074,39804
2025-05-09 03:42:06.086,40256
2025-05-09 03:42:06.098,45648
2025-05-09 03:42:06.111,48276
2025-05-09 03:42:06.123,48364
2025-05-09 03:42:06.135,49744
2025-05-09 03:42:06.148,53564
2025-05-09 03:42:06.161,55424
2025-05-09 03:42:06.173,57244
2025-05-09 03:42:06.185,56424
2025-05-09 03:42:06.199,58564
2025-05-09 03:42:06.212,57104
2025-05-09 03:42:06.228,60208
2025-05-09 03:42:06.240,64816
2025-05-09 03:42:06.259,67752
2025-05-09 03:42:06.279,70104
2025-05-09 03:42:06.291,71660
2025-05-09 03:42:06.303,74512
2025-05-09 03:42:06.315,72912
2025-05-09 03:42:06.328,75376
2025-05-09 03:42:06.341,76208
2025-05-09 03:42:06.354,79364
2025-05-09 03:42:06.367,79456
2025-05-09 03:42:06.382,82172
2025-05-09 03:42:06.394,82468
2025-05-09 03:42:06.406,85204
2025-05-09 03:42:06.420,85216
2025-05-09 03:42:06.435,87124
2025-05-09 03:42:06.447,88816
2025-05-09 03:42:06.458,86352
2025-05-09 03:42:06.481,95084
2025-05-09 03:42:06.497,95772
2025-05-09 03:42:06.509,97056
2025-05-09 03:42:06.522,101752
2025-05-09 03:42:06.534,103396
2025-05-09 03:42:06.546,107348
2025-05-09 03:42:06.558,111604
2025-05-09 03:42:06.571,112708
2025-05-09 03:42:06.584,113408
2025-05-09 03:42:06.596,120644
2025-05-09 03:42:06.608,118696
2025-05-09 03:42:06.622,117796
2025-05-09 03:42:06.634,117296
2025-05-09 03:42:06.646,121864
2025-05-09 03:42:06.658,143120
2025-05-09 03:42:06.671,189292
2025-05-09 03:42:06.683,236952
2025-05-09 03:42:06.696,291616
2025-05-09 03:42:06.709,345288
2025-05-09 03:42:06.721,394104
2025-05-09 03:42:06.733,426428
2025-05-09 03:42:06.746,470632
2025-05-09 03:42:06.758,518920
2025-05-09 03:42:06.770,571348
2025-05-09 03:42:06.783,613328
2025-05-09 03:42:06.795,672224
2025-05-09 03:42:06.808,727164
2025-05-09 03:42:06.820,778824
2025-05-09 03:42:06.832,831032
2025-05-09 03:42:06.845,890780
2025-05-09 03:42:06.857,946276
2025-05-09 03:42:06.869,998292
2025-05-09 03:42:06.882,1055068
2025-05-09 03:42:06.895,1112188
2025-05-09 03:42:06.907,1170268
2025-05-09 03:42:06.919,1222432
2025-05-09 03:42:06.932,1277168
