Timestamp,Memory Usage (kB)
2025-05-09 03:07:09.704,27056
2025-05-09 03:07:09.716,33832
2025-05-09 03:07:09.730,37544
2025-05-09 03:07:09.742,39316
2025-05-09 03:07:09.754,39692
2025-05-09 03:07:09.766,36224
2025-05-09 03:07:09.779,41736
2025-05-09 03:07:09.792,43188
2025-05-09 03:07:09.805,44352
2025-05-09 03:07:09.817,44776
2025-05-09 03:07:09.830,43740
2025-05-09 03:07:09.843,45920
2025-05-09 03:07:09.854,45464
2025-05-09 03:07:09.866,43792
2025-05-09 03:07:09.880,44732
2025-05-09 03:07:09.894,47024
2025-05-09 03:07:09.906,49068
2025-05-09 03:07:09.918,51028
2025-05-09 03:07:09.930,48536
2025-05-09 03:07:09.943,51420
2025-05-09 03:07:09.955,52440
2025-05-09 03:07:09.968,65508
2025-05-09 03:07:09.980,58972
2025-05-09 03:07:09.994,58016
2025-05-09 03:07:10.006,58684
2025-05-09 03:07:10.018,60444
2025-05-09 03:07:10.030,58632
2025-05-09 03:07:10.043,59904
2025-05-09 03:07:10.057,59980
2025-05-09 03:07:10.069,58952
2025-05-09 03:07:10.083,59016
2025-05-09 03:07:10.103,60080
2025-05-09 03:07:10.119,66948
2025-05-09 03:07:10.135,67728
2025-05-09 03:07:10.149,67368
2025-05-09 03:07:10.162,69856
2025-05-09 03:07:10.175,75804
2025-05-09 03:07:10.187,76848
2025-05-09 03:07:10.201,77092
2025-05-09 03:07:10.214,77172
2025-05-09 03:07:10.226,75872
2025-05-09 03:07:10.238,79116
2025-05-09 03:07:10.250,76528
2025-05-09 03:07:10.262,79800
2025-05-09 03:07:10.274,84248
2025-05-09 03:07:10.286,84088
2025-05-09 03:07:10.299,85088
2025-05-09 03:07:10.317,89236
2025-05-09 03:07:10.330,89136
2025-05-09 03:07:10.348,89040
2025-05-09 03:07:10.370,89280
2025-05-09 03:07:10.396,95488
2025-05-09 03:07:10.412,101444
2025-05-09 03:07:10.424,104660
2025-05-09 03:07:10.436,105508
2025-05-09 03:07:10.449,111104
2025-05-09 03:07:10.461,115400
2025-05-09 03:07:10.473,117856
2025-05-09 03:07:10.485,114596
2025-05-09 03:07:10.497,116568
2025-05-09 03:07:10.509,118352
2025-05-09 03:07:10.521,120332
2025-05-09 03:07:10.533,123472
2025-05-09 03:07:10.546,124836
2025-05-09 03:07:10.558,149960
2025-05-09 03:07:10.571,204612
2025-05-09 03:07:10.583,260268
2025-05-09 03:07:10.595,307664
2025-05-09 03:07:10.607,358228
2025-05-09 03:07:10.619,403288
2025-05-09 03:07:10.631,460912
2025-05-09 03:07:10.644,510056
2025-05-09 03:07:10.657,563232
2025-05-09 03:07:10.669,620924
2025-05-09 03:07:10.681,673152
2025-05-09 03:07:10.693,734216
2025-05-09 03:07:10.706,789712
2025-05-09 03:07:10.718,841032
2025-05-09 03:07:10.731,904048
2025-05-09 03:07:10.745,966268
2025-05-09 03:07:10.757,1011840
2025-05-09 03:07:10.770,1064760
2025-05-09 03:07:10.782,1115484
2025-05-09 03:07:10.795,1165108
2025-05-09 03:07:10.808,1221152
2025-05-09 03:07:10.820,1271096
2025-05-09 03:07:10.832,1318192
2025-05-09 03:07:10.844,1365940
2025-05-09 03:07:10.856,1416644
2025-05-09 03:07:10.868,1461904
2025-05-09 03:07:10.881,1512844
2025-05-09 03:07:10.893,1562100
2025-05-09 03:07:10.905,1611088
2025-05-09 03:07:10.919,1664224
2025-05-09 03:07:10.932,1714252
2025-05-09 03:07:10.946,1721164
2025-05-09 03:07:10.959,1720596
2025-05-09 03:07:10.971,1719188
2025-05-09 03:07:10.983,1718020
2025-05-09 03:07:10.995,1721208
2025-05-09 03:07:11.007,1720832
2025-05-09 03:07:11.019,1722296
2025-05-09 03:07:11.031,1720864
2025-05-09 03:07:11.044,1721044
2025-05-09 03:07:11.056,1720400
2025-05-09 03:07:11.070,1721552
2025-05-09 03:07:11.084,1720704
2025-05-09 03:07:11.096,1720224
2025-05-09 03:07:11.108,1723932
2025-05-09 03:07:11.122,1821592
2025-05-09 03:07:11.135,1921952
2025-05-09 03:07:11.149,2018428
2025-05-09 03:07:11.161,2104800
2025-05-09 03:07:11.173,2187948
2025-05-09 03:07:11.185,2271504
2025-05-09 03:07:11.198,2364832
2025-05-09 03:07:11.210,2449012
2025-05-09 03:07:11.222,2529136
2025-05-09 03:07:11.235,2626568
2025-05-09 03:07:11.248,2719676
2025-05-09 03:07:11.260,2802720
2025-05-09 03:07:11.272,2891936
2025-05-09 03:07:11.285,2984592
2025-05-09 03:07:11.299,3079372
2025-05-09 03:07:11.312,3168820
2025-05-09 03:07:11.324,3255224
2025-05-09 03:07:11.337,3256016
2025-05-09 03:07:11.349,3254516
2025-05-09 03:07:11.361,3254228
2025-05-09 03:07:11.373,3253232
2025-05-09 03:07:11.385,3255168
2025-05-09 03:07:11.399,3257400
2025-05-09 03:07:11.410,3257528
2025-05-09 03:07:11.422,3255120
2025-05-09 03:07:11.435,3255816
2025-05-09 03:07:11.447,3255380
2025-05-09 03:07:11.459,3258172
2025-05-09 03:07:11.471,3254648
2025-05-09 03:07:11.483,3255876
2025-05-09 03:07:11.495,3256220
2025-05-09 03:07:11.507,3259964
2025-05-09 03:07:11.519,3253420
2025-05-09 03:07:11.531,3254404
2025-05-09 03:07:11.544,3255632
2025-05-09 03:07:11.556,3253404
2025-05-09 03:07:11.568,3251720
2025-05-09 03:07:11.583,3254248
2025-05-09 03:07:11.596,3254788
2025-05-09 03:07:11.608,3255588
2025-05-09 03:07:11.620,3257320
2025-05-09 03:07:11.633,3254768
2025-05-09 03:07:11.646,3255448
2025-05-09 03:07:11.658,3255388
2025-05-09 03:07:11.670,3252948
2025-05-09 03:07:11.683,3318692
2025-05-09 03:07:11.695,3530044
2025-05-09 03:07:11.708,3712980
2025-05-09 03:07:11.720,3905676
2025-05-09 03:07:11.734,4104336
2025-05-09 03:07:11.746,4276908
2025-05-09 03:07:11.759,4487044
2025-05-09 03:07:11.771,4692820
2025-05-09 03:07:11.785,4808264
2025-05-09 03:07:11.797,4858596
2025-05-09 03:07:11.810,4913144
2025-05-09 03:07:11.821,4957048
2025-05-09 03:07:11.833,5009736
2025-05-09 03:07:11.845,5064460
2025-05-09 03:07:11.857,5115300
2025-05-09 03:07:11.869,5164332
2025-05-09 03:07:11.882,5212080
2025-05-09 03:07:11.894,5257332
2025-05-09 03:07:11.906,5290472
2025-05-09 03:07:11.918,5319908
2025-05-09 03:07:11.931,5361724
2025-05-09 03:07:11.943,5390820
2025-05-09 03:07:11.955,5419468
2025-05-09 03:07:11.968,5457040
2025-05-09 03:07:11.980,5485832
2025-05-09 03:07:11.992,5535128
2025-05-09 03:07:12.004,5587232
2025-05-09 03:07:12.017,5645020
2025-05-09 03:07:12.030,5701956
2025-05-09 03:07:12.042,5750564
2025-05-09 03:07:12.054,5803392
2025-05-09 03:07:12.068,5863776
2025-05-09 03:07:12.079,5913556
2025-05-09 03:07:12.091,5959716
2025-05-09 03:07:12.103,6009964
2025-05-09 03:07:12.116,6060804
2025-05-09 03:07:12.128,6114372
2025-05-09 03:07:12.140,6160244
2025-05-09 03:07:12.152,6193532
2025-05-09 03:07:12.164,6220056
2025-05-09 03:07:12.176,6247532
2025-05-09 03:07:12.188,6274000
2025-05-09 03:07:12.200,6305124
2025-05-09 03:07:12.212,3765544
2025-05-09 03:07:12.224,3337580
2025-05-09 03:07:12.237,3440084
2025-05-09 03:07:12.249,3520360
2025-05-09 03:07:12.261,3612204
2025-05-09 03:07:12.273,3695420
2025-05-09 03:07:12.287,3804272
2025-05-09 03:07:12.299,3892020
2025-05-09 03:07:12.311,3967348
2025-05-09 03:07:12.324,3999112
2025-05-09 03:07:12.336,1721448
2025-05-09 03:07:12.348,953900
2025-05-09 03:07:12.360,951956
2025-05-09 03:07:12.372,951672
2025-05-09 03:07:12.384,953220
2025-05-09 03:07:12.396,953664
2025-05-09 03:07:12.408,949848
2025-05-09 03:07:12.421,868248
2025-05-09 03:07:12.433,866664
