Timestamp,Minor Page Faults,Major Page Faults
2025-05-09 03:05:31.764,5444,0
2025-05-09 03:05:31.778,5607,0
2025-05-09 03:05:31.793,5884,0
2025-05-09 03:05:31.806,6050,0
2025-05-09 03:05:31.818,8522,0
2025-05-09 03:05:31.831,9219,0
2025-05-09 03:05:31.844,9386,0
2025-05-09 03:05:31.858,9397,0
2025-05-09 03:05:31.872,9440,0
2025-05-09 03:05:31.886,9675,0
2025-05-09 03:05:31.898,9713,0
2025-05-09 03:05:31.911,10254,0
2025-05-09 03:05:31.926,10650,0
2025-05-09 03:05:31.940,10878,0
2025-05-09 03:05:31.957,12043,0
2025-05-09 03:05:31.981,13983,0
2025-05-09 03:05:32.003,14937,0
2025-05-09 03:05:32.016,15009,0
2025-05-09 03:05:32.027,15009,0
2025-05-09 03:05:32.039,15010,0
2025-05-09 03:05:32.052,15027,0
2025-05-09 03:05:32.064,15406,0
2025-05-09 03:05:32.076,15534,0
2025-05-09 03:05:32.088,16233,0
2025-05-09 03:05:32.103,16620,0
2025-05-09 03:05:32.117,16960,0
2025-05-09 03:05:32.132,17203,0
2025-05-09 03:05:32.151,18591,0
2025-05-09 03:05:32.164,19287,0
2025-05-09 03:05:32.182,19519,0
2025-05-09 03:05:32.203,21594,0
2025-05-09 03:05:32.226,22098,0
2025-05-09 03:05:32.243,22816,0
2025-05-09 03:05:32.258,23428,0
2025-05-09 03:05:32.271,24919,0
2025-05-09 03:05:32.284,25372,0
2025-05-09 03:05:32.297,25648,0
2025-05-09 03:05:32.310,26052,0
2025-05-09 03:05:32.324,26400,0
2025-05-09 03:05:32.338,26793,0
2025-05-09 03:05:32.350,26829,0
2025-05-09 03:05:32.363,26829,0
2025-05-09 03:05:32.377,26865,0
2025-05-09 03:05:32.390,26901,0
2025-05-09 03:05:32.403,26937,0
2025-05-09 03:05:32.428,26973,0
2025-05-09 03:05:32.442,27009,0
2025-05-09 03:05:32.455,27045,0
2025-05-09 03:05:32.468,27081,0
2025-05-09 03:05:32.480,27117,0
2025-05-09 03:05:32.493,27153,0
2025-05-09 03:05:32.506,27153,0
2025-05-09 03:05:32.518,27189,0
2025-05-09 03:05:32.532,27225,0
2025-05-09 03:05:32.545,27261,0
2025-05-09 03:05:32.558,27297,0
2025-05-09 03:05:32.570,27333,0
2025-05-09 03:05:32.584,27369,0
2025-05-09 03:05:32.598,27405,0
2025-05-09 03:05:32.612,27441,0
2025-05-09 03:05:32.634,27477,0
2025-05-09 03:05:32.646,27477,0
2025-05-09 03:05:32.659,27513,0
2025-05-09 03:05:32.673,27549,0
2025-05-09 03:05:32.686,27585,0
2025-05-09 03:05:32.699,27621,0
2025-05-09 03:05:32.711,27657,0
2025-05-09 03:05:32.724,27693,0
2025-05-09 03:05:32.738,27729,0
2025-05-09 03:05:32.750,27754,0
2025-05-09 03:05:32.763,27765,0
2025-05-09 03:05:32.775,27801,0
2025-05-09 03:05:32.788,27837,0
2025-05-09 03:05:32.801,27873,0
2025-05-09 03:05:32.814,27909,0
2025-05-09 03:05:32.828,27945,0
2025-05-09 03:05:32.840,27981,0
2025-05-09 03:05:32.853,27994,0
2025-05-09 03:05:32.867,28017,0
2025-05-09 03:05:32.880,28053,0
2025-05-09 03:05:32.892,28089,0
2025-05-09 03:05:32.905,28125,0
2025-05-09 03:05:32.917,28161,0
2025-05-09 03:05:32.931,28197,0
2025-05-09 03:05:32.945,28233,0
2025-05-09 03:05:32.957,28269,0
2025-05-09 03:05:32.969,28269,0
2025-05-09 03:05:32.983,28305,0
2025-05-09 03:05:32.997,28341,0
2025-05-09 03:05:33.009,28377,0
2025-05-09 03:05:33.022,28413,0
2025-05-09 03:05:33.034,28449,0
2025-05-09 03:05:33.047,28485,0
