Timestamp,Minor Page Faults,Major Page Faults
2025-05-09 03:57:43.121,8991,0
2025-05-09 03:57:43.137,9105,0
2025-05-09 03:57:43.152,9589,0
2025-05-09 03:57:43.163,9873,0
2025-05-09 03:57:43.178,10331,0
2025-05-09 03:57:43.192,10998,0
2025-05-09 03:57:43.209,11870,0
2025-05-09 03:57:43.223,12229,0
2025-05-09 03:57:43.240,12828,0
2025-05-09 03:57:43.253,13262,0
2025-05-09 03:57:43.265,13271,0
2025-05-09 03:57:43.281,13387,0
2025-05-09 03:57:43.294,13387,0
2025-05-09 03:57:43.310,13387,0
2025-05-09 03:57:43.327,13436,0
2025-05-09 03:57:43.339,13442,0
2025-05-09 03:57:43.356,13863,0
2025-05-09 03:57:43.370,14673,0
2025-05-09 03:57:43.386,14851,0
2025-05-09 03:57:43.400,15459,0
2025-05-09 03:57:43.413,15637,0
2025-05-09 03:57:43.427,15867,0
2025-05-09 03:57:43.444,16156,0
2025-05-09 03:57:43.460,16944,0
2025-05-09 03:57:43.472,17639,0
2025-05-09 03:57:43.489,17690,0
2025-05-09 03:57:43.500,18444,0
2025-05-09 03:57:43.516,18725,0
2025-05-09 03:57:43.533,20620,0
2025-05-09 03:57:43.546,20725,0
2025-05-09 03:57:43.562,20985,0
2025-05-09 03:57:43.577,21324,0
2025-05-09 03:57:43.594,21913,0
2025-05-09 03:57:43.611,22488,0
2025-05-09 03:57:43.626,23417,0
2025-05-09 03:57:43.641,24188,0
2025-05-09 03:57:43.654,24314,0
2025-05-09 03:57:43.668,24548,0
2025-05-09 03:57:43.684,24942,0
2025-05-09 03:57:43.696,25034,0
2025-05-09 03:57:43.711,25312,0
2025-05-09 03:57:43.726,25669,0
2025-05-09 03:57:43.740,25711,0
2025-05-09 03:57:43.756,25711,0
2025-05-09 03:57:43.769,25718,0
2025-05-09 03:57:43.782,25729,0
2025-05-09 03:57:43.796,25735,0
2025-05-09 03:57:43.809,25744,0
2025-05-09 03:57:43.824,25751,0
2025-05-09 03:57:43.838,25756,0
2025-05-09 03:57:43.852,25767,0
2025-05-09 03:57:43.866,25775,0
2025-05-09 03:57:43.879,25783,0
2025-05-09 03:57:43.893,25793,0
2025-05-09 03:57:43.906,25799,0
2025-05-09 03:57:43.924,25807,0
2025-05-09 03:57:43.938,25819,0
2025-05-09 03:57:43.952,25827,0
2025-05-09 03:57:43.965,25835,0
2025-05-09 03:57:43.979,25845,0
2025-05-09 03:57:43.992,25852,0
2025-05-09 03:57:44.005,25860,0
2025-05-09 03:57:44.021,25867,0
2025-05-09 03:57:44.037,25871,0
2025-05-09 03:57:44.053,25879,0
2025-05-09 03:57:44.067,25886,0
2025-05-09 03:57:44.080,25895,0
2025-05-09 03:57:44.095,25905,0
2025-05-09 03:57:44.108,25911,0
2025-05-09 03:57:44.120,25921,0
