Timestamp,Minor Page Faults,Major Page Faults
2025-05-09 03:08:28.973,5370,0
2025-05-09 03:08:28.988,5457,0
2025-05-09 03:08:29.002,5581,0
2025-05-09 03:08:29.014,5991,0
2025-05-09 03:08:29.027,6010,0
2025-05-09 03:08:29.040,6260,0
2025-05-09 03:08:29.054,8973,0
2025-05-09 03:08:29.067,9949,0
2025-05-09 03:08:29.080,9973,0
2025-05-09 03:08:29.092,9984,0
2025-05-09 03:08:29.105,10037,0
2025-05-09 03:08:29.119,10272,0
2025-05-09 03:08:29.131,10310,0
2025-05-09 03:08:29.150,10828,0
2025-05-09 03:08:29.162,11030,0
2025-05-09 03:08:29.178,11071,0
2025-05-09 03:08:29.195,11360,0
2025-05-09 03:08:29.218,14162,0
2025-05-09 03:08:29.241,14646,0
2025-05-09 03:08:29.255,15420,0
2025-05-09 03:08:29.267,15429,0
2025-05-09 03:08:29.280,15500,0
2025-05-09 03:08:29.293,15500,0
2025-05-09 03:08:29.305,15503,0
2025-05-09 03:08:29.318,15604,0
2025-05-09 03:08:29.330,15965,0
2025-05-09 03:08:29.343,16187,0
2025-05-09 03:08:29.356,16987,0
2025-05-09 03:08:29.368,17387,0
2025-05-09 03:08:29.381,17623,0
2025-05-09 03:08:29.392,17911,0
2025-05-09 03:08:29.405,19377,0
2025-05-09 03:08:29.419,19538,0
2025-05-09 03:08:29.438,20611,0
2025-05-09 03:08:29.453,22459,0
2025-05-09 03:08:29.477,23117,0
2025-05-09 03:08:29.496,23756,0
2025-05-09 03:08:29.510,24625,0
2025-05-09 03:08:29.523,25889,0
2025-05-09 03:08:29.535,26139,0
2025-05-09 03:08:29.548,26485,0
2025-05-09 03:08:29.560,26804,0
2025-05-09 03:08:29.573,27299,0
2025-05-09 03:08:29.586,27479,0
2025-05-09 03:08:29.599,27479,0
2025-05-09 03:08:29.610,27479,0
2025-05-09 03:08:29.623,27487,0
2025-05-09 03:08:29.634,27498,0
2025-05-09 03:08:29.647,27510,0
2025-05-09 03:08:29.660,27522,0
2025-05-09 03:08:29.673,27534,0
2025-05-09 03:08:29.687,27547,0
2025-05-09 03:08:29.700,27560,0
2025-05-09 03:08:29.713,27572,0
2025-05-09 03:08:29.725,27584,0
2025-05-09 03:08:29.738,27595,0
2025-05-09 03:08:29.752,27608,0
2025-05-09 03:08:29.766,27622,0
2025-05-09 03:08:29.778,27634,0
2025-05-09 03:08:29.790,27645,0
2025-05-09 03:08:29.804,27658,0
2025-05-09 03:08:29.818,27671,0
2025-05-09 03:08:29.832,27684,0
2025-05-09 03:08:29.845,27697,0
2025-05-09 03:08:29.858,27709,0
2025-05-09 03:08:29.871,27722,0
2025-05-09 03:08:29.884,27734,0
2025-05-09 03:08:29.897,27747,0
2025-05-09 03:08:29.909,27759,0
2025-05-09 03:08:29.923,27773,0
2025-05-09 03:08:29.935,27785,0
2025-05-09 03:08:29.948,27796,0
2025-05-09 03:08:29.960,27807,0
2025-05-09 03:08:29.973,27819,0
2025-05-09 03:08:29.987,27833,0
2025-05-09 03:08:30.002,27847,0
2025-05-09 03:08:30.015,28288,0
2025-05-09 03:08:30.028,28288,0
2025-05-09 03:08:30.041,28288,0
2025-05-09 03:08:30.053,28288,0
2025-05-09 03:08:30.068,28288,0
2025-05-09 03:08:30.083,28288,0
2025-05-09 03:08:30.097,28288,0
2025-05-09 03:08:30.111,28288,0
2025-05-09 03:08:30.123,28288,0
2025-05-09 03:08:30.136,28288,0
2025-05-09 03:08:30.149,28288,0
2025-05-09 03:08:30.163,28288,0
2025-05-09 03:08:30.177,28288,0
2025-05-09 03:08:30.190,28310,0
2025-05-09 03:08:30.203,28354,0
2025-05-09 03:08:30.216,28401,0
2025-05-09 03:08:30.230,28447,0
2025-05-09 03:08:30.243,28490,0
2025-05-09 03:08:30.256,28534,0
2025-05-09 03:08:30.268,28574,0
2025-05-09 03:08:30.281,28619,0
2025-05-09 03:08:30.294,28662,0
2025-05-09 03:08:30.306,28703,0
2025-05-09 03:08:30.318,28742,0
2025-05-09 03:08:30.331,28786,0
2025-05-09 03:08:30.345,28833,0
2025-05-09 03:08:30.357,28875,0
2025-05-09 03:08:30.370,28918,0
2025-05-09 03:08:30.382,28960,0
2025-05-09 03:08:30.394,29005,0
2025-05-09 03:08:30.407,29389,0
2025-05-09 03:08:30.420,29389,0
2025-05-09 03:08:30.433,29389,0
2025-05-09 03:08:30.446,29389,0
2025-05-09 03:08:30.459,29389,0
2025-05-09 03:08:30.471,29389,0
2025-05-09 03:08:30.484,29389,0
2025-05-09 03:08:30.497,29389,0
2025-05-09 03:08:30.509,29389,0
2025-05-09 03:08:30.520,29389,0
2025-05-09 03:08:30.533,29389,0
2025-05-09 03:08:30.546,29389,0
2025-05-09 03:08:30.558,29389,0
2025-05-09 03:08:30.571,29389,0
2025-05-09 03:08:30.584,29389,0
2025-05-09 03:08:30.598,29389,0
2025-05-09 03:08:30.612,29389,0
2025-05-09 03:08:30.625,29389,0
2025-05-09 03:08:30.638,29389,0
2025-05-09 03:08:30.650,29389,0
2025-05-09 03:08:30.663,29389,0
2025-05-09 03:08:30.676,29389,0
2025-05-09 03:08:30.689,29389,0
2025-05-09 03:08:30.701,29389,0
2025-05-09 03:08:30.714,29389,0
2025-05-09 03:08:30.728,29389,0
2025-05-09 03:08:30.740,29389,0
2025-05-09 03:08:30.753,29389,0
2025-05-09 03:08:30.766,29489,0
2025-05-09 03:08:30.779,29596,0
2025-05-09 03:08:30.792,29708,0
2025-05-09 03:08:30.805,29818,0
2025-05-09 03:08:30.818,29931,0
2025-05-09 03:08:30.831,30045,0
2025-05-09 03:08:30.844,30139,0
2025-05-09 03:08:30.857,30524,0
2025-05-09 03:08:30.870,30551,0
2025-05-09 03:08:30.884,30576,0
2025-05-09 03:08:30.898,30603,0
2025-05-09 03:08:30.912,30631,0
2025-05-09 03:08:30.924,30657,0
2025-05-09 03:08:30.938,30686,0
2025-05-09 03:08:30.951,30715,0
2025-05-09 03:08:30.965,30743,0
2025-05-09 03:08:30.977,30770,0
2025-05-09 03:08:30.991,30799,0
2025-05-09 03:08:31.004,30824,0
2025-05-09 03:08:31.017,30853,0
2025-05-09 03:08:31.029,30880,0
2025-05-09 03:08:31.041,30906,0
2025-05-09 03:08:31.055,30934,0
2025-05-09 03:08:31.068,30963,0
2025-05-09 03:08:31.080,30989,0
2025-05-09 03:08:31.093,31015,0
2025-05-09 03:08:31.107,31045,0
2025-05-09 03:08:31.121,31075,0
2025-05-09 03:08:31.134,31103,0
2025-05-09 03:08:31.147,31129,0
2025-05-09 03:08:31.160,31158,0
2025-05-09 03:08:31.174,31188,0
2025-05-09 03:08:31.187,31217,0
2025-05-09 03:08:31.200,31244,0
2025-05-09 03:08:31.212,31619,0
2025-05-09 03:08:31.227,31671,0
2025-05-09 03:08:31.239,31716,0
2025-05-09 03:08:31.252,31761,0
2025-05-09 03:08:31.264,31803,0
2025-05-09 03:08:31.278,31851,0
2025-05-09 03:08:31.291,31899,0
2025-05-09 03:08:31.304,31943,0
2025-05-09 03:08:31.317,32406,0
2025-05-09 03:08:31.329,32406,0
2025-05-09 03:08:31.343,32421,0
2025-05-09 03:08:31.356,32421,0
2025-05-09 03:08:31.369,32421,0
2025-05-09 03:08:31.382,32421,0
2025-05-09 03:08:31.394,32422,0
