Timestamp,Minor Page Faults,Major Page Faults
2025-05-09 03:42:40.493,11870,0
2025-05-09 03:42:40.519,13224,0
2025-05-09 03:42:40.544,13431,0
2025-05-09 03:42:40.556,13431,0
2025-05-09 03:42:40.568,13433,0
2025-05-09 03:42:40.580,13489,0
2025-05-09 03:42:40.593,13976,0
2025-05-09 03:42:40.605,14815,0
2025-05-09 03:42:40.620,15520,0
2025-05-09 03:42:40.633,15894,0
2025-05-09 03:42:40.645,16119,0
2025-05-09 03:42:40.660,17261,0
2025-05-09 03:42:40.681,18095,0
2025-05-09 03:42:40.698,18749,0
2025-05-09 03:42:40.720,20687,0
2025-05-09 03:42:40.740,21155,0
2025-05-09 03:42:40.753,21566,0
2025-05-09 03:42:40.766,22099,0
2025-05-09 03:42:40.779,23127,0
2025-05-09 03:42:40.791,24193,0
2025-05-09 03:42:40.805,24503,0
2025-05-09 03:42:40.819,24961,0
2025-05-09 03:42:40.831,25190,0
2025-05-09 03:42:40.843,25726,0
2025-05-09 03:42:40.856,25781,0
2025-05-09 03:42:40.871,25781,0
2025-05-09 03:42:40.882,25795,0
2025-05-09 03:42:40.895,25808,0
2025-05-09 03:42:40.908,25821,0
2025-05-09 03:42:40.921,25834,0
2025-05-09 03:42:40.934,25848,0
2025-05-09 03:42:40.948,25862,0
2025-05-09 03:42:40.960,25875,0
2025-05-09 03:42:40.974,25889,0
2025-05-09 03:42:40.987,25903,0
2025-05-09 03:42:40.999,25916,0
2025-05-09 03:42:41.011,25927,0
2025-05-09 03:42:41.024,25940,0
2025-05-09 03:42:41.039,25954,0
2025-05-09 03:42:41.053,25967,0
2025-05-09 03:42:41.065,25978,0
2025-05-09 03:42:41.077,25990,0
2025-05-09 03:42:41.090,26004,0
2025-05-09 03:42:41.103,26016,0
2025-05-09 03:42:41.116,26030,0
2025-05-09 03:42:41.128,26043,0
2025-05-09 03:42:41.142,26058,0
2025-05-09 03:42:41.156,26073,0
2025-05-09 03:42:41.169,26088,0
2025-05-09 03:42:41.181,26101,0
2025-05-09 03:42:41.194,26115,0
2025-05-09 03:42:41.209,26132,0
2025-05-09 03:42:41.223,26147,0
2025-05-09 03:42:41.236,26590,0
