Timestamp,Minor Page Faults,Major Page Faults
2025-05-09 03:53:30.490,3453,0
2025-05-09 03:53:30.504,3945,0
2025-05-09 03:53:30.527,3948,0
2025-05-09 03:53:30.540,3949,0
2025-05-09 03:53:30.560,3954,0
2025-05-09 03:53:30.578,3962,0
2025-05-09 03:53:30.597,4048,0
2025-05-09 03:53:30.609,4091,0
2025-05-09 03:53:30.628,4152,0
2025-05-09 03:53:30.643,4202,0
2025-05-09 03:53:30.660,4244,0
2025-05-09 03:53:30.677,4650,0
2025-05-09 03:53:30.693,4662,0
2025-05-09 03:53:30.711,4838,0
2025-05-09 03:53:30.730,5022,0
2025-05-09 03:53:30.744,5090,0
2025-05-09 03:53:30.762,5131,0
2025-05-09 03:53:30.776,5185,0
2025-05-09 03:53:30.798,5369,0
2025-05-09 03:53:30.810,5453,0
2025-05-09 03:53:30.828,5463,0
2025-05-09 03:53:30.849,5507,0
2025-05-09 03:53:30.868,5641,0
2025-05-09 03:53:30.883,5922,0
2025-05-09 03:53:30.899,6006,0
2025-05-09 03:53:30.917,6027,0
2025-05-09 03:53:30.936,6172,0
2025-05-09 03:53:30.951,6503,0
2025-05-09 03:53:30.969,7890,0
2025-05-09 03:53:30.985,8615,0
2025-05-09 03:53:31.003,9152,0
2025-05-09 03:53:31.025,9949,0
2025-05-09 03:53:31.040,9960,0
2025-05-09 03:53:31.058,9973,0
2025-05-09 03:53:31.072,9984,0
2025-05-09 03:53:31.088,9984,0
2025-05-09 03:53:31.105,10037,0
2025-05-09 03:53:31.126,10272,0
2025-05-09 03:53:31.140,10272,0
2025-05-09 03:53:31.155,10284,0
2025-05-09 03:53:31.173,10310,0
2025-05-09 03:53:31.191,10358,0
2025-05-09 03:53:31.210,10815,0
2025-05-09 03:53:31.227,10986,0
2025-05-09 03:53:31.243,11019,0
2025-05-09 03:53:31.261,11096,0
2025-05-09 03:53:31.277,11249,0
2025-05-09 03:53:31.297,11429,0
2025-05-09 03:53:31.317,11950,0
2025-05-09 03:53:31.334,13018,0
2025-05-09 03:53:31.351,14086,0
2025-05-09 03:53:31.370,14151,0
2025-05-09 03:53:31.387,14185,0
2025-05-09 03:53:31.401,14471,0
2025-05-09 03:53:31.419,14562,0
2025-05-09 03:53:31.440,15063,0
2025-05-09 03:53:31.458,15343,0
2025-05-09 03:53:31.473,15403,0
2025-05-09 03:53:31.491,15415,0
2025-05-09 03:53:31.509,15415,0
2025-05-09 03:53:31.529,15420,0
2025-05-09 03:53:31.548,15420,0
2025-05-09 03:53:31.564,15420,0
2025-05-09 03:53:31.581,15421,0
2025-05-09 03:53:31.598,15442,0
2025-05-09 03:53:31.615,15809,0
2025-05-09 03:53:31.634,15850,0
2025-05-09 03:53:31.654,15998,0
2025-05-09 03:53:31.669,16095,0
2025-05-09 03:53:31.686,16637,0
2025-05-09 03:53:31.703,16689,0
2025-05-09 03:53:31.715,16861,0
2025-05-09 03:53:31.734,17016,0
2025-05-09 03:53:31.752,17233,0
2025-05-09 03:53:31.768,17323,0
2025-05-09 03:53:31.786,17525,0
2025-05-09 03:53:31.803,17595,0
2025-05-09 03:53:31.820,17756,0
2025-05-09 03:53:31.840,18041,0
2025-05-09 03:53:31.858,18383,0
2025-05-09 03:53:31.874,18951,0
2025-05-09 03:53:31.892,19455,0
2025-05-09 03:53:31.908,19630,0
2025-05-09 03:53:31.925,19840,0
2025-05-09 03:53:31.943,20527,0
2025-05-09 03:53:31.962,20653,0
2025-05-09 03:53:31.978,20671,0
2025-05-09 03:53:31.995,20777,0
2025-05-09 03:53:32.011,21375,0
2025-05-09 03:53:32.030,22314,0
2025-05-09 03:53:32.046,22322,0
2025-05-09 03:53:32.065,22412,0
2025-05-09 03:53:32.082,22535,0
2025-05-09 03:53:32.099,22597,0
2025-05-09 03:53:32.115,22751,0
2025-05-09 03:53:32.133,22910,0
2025-05-09 03:53:32.150,23175,0
2025-05-09 03:53:32.173,23260,0
2025-05-09 03:53:32.186,23513,0
2025-05-09 03:53:32.199,23718,0
2025-05-09 03:53:32.214,23819,0
2025-05-09 03:53:32.234,24305,0
2025-05-09 03:53:32.249,24662,0
2025-05-09 03:53:32.270,25002,0
2025-05-09 03:53:32.285,25687,0
2025-05-09 03:53:32.305,25834,0
2025-05-09 03:53:32.319,26034,0
2025-05-09 03:53:32.337,26119,0
2025-05-09 03:53:32.353,26299,0
2025-05-09 03:53:32.368,26349,0
2025-05-09 03:53:32.385,26610,0
2025-05-09 03:53:32.404,26643,0
2025-05-09 03:53:32.419,26874,0
2025-05-09 03:53:32.437,26915,0
2025-05-09 03:53:32.454,27329,0
